"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","一個月走勢圖","三個月走勢圖","一年走勢圖","三年走勢圖"
"284",="5522","遠雄","市","10/12","","58.2","+0.3","+0.52","298","17.3","57.9","58","58.2","57.9","0.52","11","1.04","    ","    ","    ","    "
"285",="3354","律勝","櫃","10/12","","14","0","0","36","0.51","14","14.05","14.1","13.95","1.07","","1.04","    ","    ","    ","    "
"286",="6164","華興","市","10/12","","11.45","+0.05","+0.44","135","1.54","11.4","11.45","11.5","11.4","0.88","52","1.05","    ","    ","    ","    "
"287",="8011","台通","市","10/12","","18.4","+0.25","+1.38","855","15.7","18.15","18.25","18.5","18.2","1.65","","1.05","    ","    ","    ","    "
"288",="5355","佳總","櫃","10/12","","7.43","-0.06","-0.8","87","0.64","7.49","7.33","7.46","7.33","1.74","","1.05","    ","    ","    ","    "
"289",="1308","亞聚","市","10/12","","24","-0.25","-1.03","409","9.83","24.25","24.25","24.25","23.9","1.44","17","1.05","    ","    ","    ","    "
"290",="2812","台中銀","市","10/12","","15","+0.05","+0.33","3,567","53.3","14.95","15","15","14.9","0.67","13.4","1.05","    ","    ","    ","    "
"291",="8074","鉅橡","櫃","10/12","","18.95","+0.05","+0.26","73","1.38","18.9","18.95","19","18.95","0.26","5.54","1.05","    ","    ","    ","    "
"292",="1737","臺鹽","市","10/12","","33.4","+0.15","+0.45","134","4.48","33.25","33.2","33.45","33.2","0.75","16.7","1.05","    ","    ","    ","    "
"293",="4972","湯石照明","櫃","10/12","","28.1","0","0","11","0.3","28.1","28","28.1","28","0.36","45.3","1.05","    ","    ","    ","    "
"294",="8089","康全電訊","櫃","10/12","","18.45","+0.15","+0.82","3","0.06","18.3","18.7","18.7","18.45","1.37","","1.05","    ","    ","    ","    "
