"排名","代號","名稱","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","平均分配率","2012分配率","2013分配率","2014分配率","2015分配率","2016分配率","2017分配率","2018分配率","2019分配率","2020分配率","2021分配率","2022分配率","2023分配率"
"548",="1519","華城","200","+18","+9.89","1.02","12.21","0.8","9.57","86.2","116","85.2","72.7","60","69.8","83.3","111","130","63.7","74.3","90.1","77.9"
"549",="1539","巨庭","27.65","+0.05","+0.18","1.95","23.43","0.85","10.19","34.7","0","0","0","44.3","35.1","40.7","85.5","35.5","74.8","0","59.3","41.7"
"550",="1615","大山","39.95","+0.1","+0.25","1.45","17.41","1.21","14.5","89.1","96.2","51.2","111","40.4","182","89.3","68.7","76.7","91.7","89.9","85.6","86.2"
"551",="1720","生達","66","+1.1","+1.69","2.37","28.45","1.67","20.06","74.1","68","71.2","145","47.8","76.9","78.9","78.8","71.8","71.1","61.4","63.3","54.8"
"552",="1722","台肥","64.1","+1.4","+2.23","2.49","29.92","2.29","27.5","-159","74.9","62.6","77.2","70.3","84.7","-2874","127","94.4","104","92","90.3","91.9"
"553",="2338","光罩","80.6","-1.1","-1.35","1.3","15.61","0.88","10.61","75.8","197","76","353","200","-200","0","0","81.8","45.7","44.9","36.6","74.2"
"554",="2364","倫飛","92.6","+2.4","+2.66","-0.3","-3.63","0.29","3.5","13.8","0","0","0","0","0","0","0","0","0","0","87.7","77.9"
"555",="2393","億光","53.8","+0.3","+0.56","3.11","37.27","2.57","30.79","88.4","79.6","158","84.7","77.9","70.2","72.6","109","83.3","75.2","80.6","80.1","89.9"
"556",="2414","精技","36.15","+0.15","+0.42","1.82","21.88","1.56","18.7","87.2","90","89.7","103","76.9","90.6","90.3","88.1","91.8","82.9","80","81.4","81.2"
"557",="2488","漢平","34","0","0","2.72","32.64","1.87","22.4","146","1000","72.1","58.3","70.8","73.8","62.1","80.2","68.5","65.7","66.1","67","64.8"
"558",="2535","達欣工","32.95","0","0","2.89","34.64","1.87","22.4","64.9","70.5","65.6","61.6","59.1","63.3","50.8","74.7","70.8","61.6","67.1","66.1","68.3"
"559",="2723","美食-KY","128.5","-1.5","-1.15","6.96","76.53","3.96","47.54","57.9","","71.9","31.9","32.1","37.2","51.1","53.7","54","57.9","70.9","82.4","93.3"
"560",="3105","穩懋","176.5","+3","+1.73","6.61","79.33","4.04","48.5","54.6","39.2","64.9","62.4","7.54","12.8","74.5","74.9","67.6","66.1","64.7","62","58.8"
"561",="3178","公準","94.5","-0.1","-0.11","2.21","26.51","0.9","10.85","33.5","0","0","0","3.53","48.8","49.9","44.6","47.2","57.4","51.3","50","49.9"
"562",="3226","至寶電","61.5","+0.4","+0.65","2.6","31.25","1.71","20.5","46.8","0","0","0","0","64.1","77.2","91.3","67","71.6","69.7","69.8","50.5"
"563",="3332","幸康","48","+0.3","+0.63","2.96","35.46","2.1","25.25","70.5","76.7","85.9","79.5","86.3","88.4","88.5","77.9","80.6","43","39.4","45.5","54.8"
"564",="3484","崧騰","41.9","+0.6","+1.45","3.22","38.65","2.14","25.69","75.9","107","125","82.1","74.3","72.3","77.5","74.8","73","63.3","61.5","50.2","49.3"
"565",="3511","矽瑪","33.45","-0.25","-0.74","0.26","3.14","0.66","7.9","45.5","250","85.5","-59.5","0","72.7","0","0","0","0","45.5","71.9","80.1"
"566",="3537","堡達","39.3","+0.1","+0.26","2.52","30.28","2.02","24.3","82.1","68.5","88.5","85.8","78.9","85.1","95.2","85.7","81.6","81.4","89","88.2","56.6"
"567",="3577","泓格","78","+3.1","+4.14","2.21","26.46","1.59","19.1","74.6","71.4","77.7","74.6","62.8","73.9","62.7","81.1","82.5","76.1","92.1","77.4","62.8"
"568",="3703","欣陸","27.05","+0.05","+0.19","1.3","15.65","0.88","10.58","87.6","42.7","23.1","91.7","0","76.9","78.1","62.5","38.1","417","74.9","75.7","71.2"
"569",="4148","全宇生技-KY","54.7","-0.4","-0.73","3.58","25.04","1.89","13.2","63","","","","","","50","49.9","50.4","133","46.1","33","78"
"570",="4581","光隆精密-KY","68.4","+4.4","+6.88","2.72","10.87","2.25","9","83","","","","","","","","","97.1","97.1","63","74.9"
"571",="4942","嘉彰","41.6","+0.1","+0.24","3.3","39.65","2.03","24.34","47.6","50","49.7","50","57.9","-36","66.4","68.6","55.6","54.7","52.5","47","55.2"
"572",="4977","眾達-KY","83.3","-1.1","-1.3","5.06","55.71","4.04","44.42","80.6","","61.7","91.1","100","92","82.8","92.8","85.9","82.9","73.6","83","40.3"
"573",="5245","智晶","44.35","+0.1","+0.23","2.66","31.97","2.17","26.1","66.4","0","0","82.1","81.2","86.6","83.1","81","48.9","123","50.3","100","61.1"
"574",="5471","松翰","49.95","+0.3","+0.6","3.37","40.43","3.12","37.48","96.5","96.4","93.8","104","103","94.8","108","106","103","103","93.3","80.4","72.5"
"575",="6023","元大期","54","+0.1","+0.19","3.68","44.16","2.8","33.55","76.7","56.6","77.9","73.4","185","68.1","68.6","53.2","65","65.4","66.2","77.4","63.3"
"576",="6104","創惟","106","-4","-3.64","2.2","26.35","2.14","25.66","64.3","0","0","0","82.2","99.7","119","89","86.4","90.1","81.3","70.2","54.3"
"577",="6161","捷波","43.25","+1.75","+4.22","1.3","15.56","1.17","14.08","66.8","86","0","47.6","53.3","58.8","101","60.8","85.6","43.3","102","91.5","71.4"
"578",="6166","凌華","74.6","+0.3","+0.4","2.11","25.27","1.74","20.91","83.3","82.5","80.6","90.6","87.3","79.2","90.2","83.8","116","78.4","89.3","54.5","67.4"
"579",="6183","關貿","66.2","+0.2","+0.3","1.79","21.48","1.49","17.88","84.4","90.2","69.7","82.9","84","97.6","89.1","88.2","88.8","89.3","80.4","72.2","80.9"
"580",="6482","弘煜科","43","-0.3","-0.69","0.89","8.89","1.19","11.86","215","","","67.6","0","73.2","184","1667","0","0","0","74.6","81.7"
"581",="6843","進典","76","+2.4","+3.26","3.01","9.02","2.17","6.5","77","","","","","","","","","","92.6","81.6","56.7"
"582",="8039","台虹","42","+0.3","+0.72","3.49","41.92","2.33","28","67.4","64.3","48.8","50.4","69.4","60.9","71.1","70.4","77.6","82.8","67.6","71.2","74.6"
"583",="8048","德勝","93.6","+3.1","+3.43","2.19","26.34","1.86","22.32","85.8","98.9","69.7","94.5","74.6","79.8","78","92.4","99.1","78.9","85.5","74.8","103"
"584",="8213","志超","42","+0.75","+1.82","4.92","59.07","2.58","30.94","51.4","25","47.8","67.3","60.1","49.8","48.7","53.5","49.9","62.4","48.1","58.1","46"
"585",="8358","金居","62","+1","+1.64","1.7","20.39","1.32","15.9","40.9","0","0","0","0","0","0","59.8","75.1","127","93.5","69.7","65.3"
"586",="8383","千附","39.05","0","0","2.69","32.3","2.1","25.22","80.1","82.2","69.7","73.6","64.6","62.3","59.9","67.2","97.3","99.6","91.2","97.7","95.4"
"587","8916A","光隆甲特","55.1","-0.3","-0.54","","","2.02","10.08","","","","","","","","","","","","",""
"588",="8931","大汽電","56.6","-0.5","-0.88","1.26","15.16","1.12","13.5","90.7","95.2","62.2","88.5","79.4","103","100","90.9","92.4","91.7","94","108","83.1"
"589",="8942","森鉅","69.7","+0.3","+0.43","5.53","66.35","3.78","45.4","-50.6","52.7","54.2","41.2","88.5","77","79.7","-1313","71.1","66.7","43.9","57.3","73.7"
"590",="9930","中聯資源","54","+0.4","+0.75","3.34","40.09","2.72","32.6","81.5","102","94.3","84.2","91.9","87.7","103","59.3","59.5","61","65.1","87.4","82.2"
"591",="9938","百和","54.5","0","0","4.2","50.35","2.34","28.1","56.6","50.3","65.2","63.3","60.8","52.2","60","55.1","56.9","58.7","57.6","50.7","49"
"592",="8367","建新國際","43.6","-0.4","-0.91","2.43","29.12","1.31","15.7","57","71.4","56.9","90.5","44.3","34.5","45.8","53.8","51","57.3","54.9","39.4","83.9"
"593",="6182","合晶","48.45","+1.1","+2.32","0.41","4.86","0.82","9.82","41.7","66.7","0","0","0","0","0","56.2","65.8","74.7","108","66.8","62.4"
"594",="5410","國眾","34","+0.1","+0.29","1.59","19.03","1.32","15.83","84.3","85.3","90.2","85.6","91.5","87.8","75.8","87.9","82.3","77.3","84.2","86.2","77"
"595","2881A","富邦特","62.2","0","0","","","2.35","16.47","","","","","","","","","","","","",""
"596",="2492","華新科","97.9","+1.5","+1.56","7.95","95.37","3.42","41.04","34.1","0","0","0","37.3","40.4","30.5","78","40.1","40.1","44","27.6","70.7"
"597",="0051","元大中型100","71.45","+0.6","+0.85","","","1.1","12.15","","","","","","","","","","","","",""
"598",="1527","鑽全","41.75","-0.05","-0.12","4.24","50.91","2.58","30.98","72.4","76.7","132","131","47.5","48.9","59.6","94.6","53.5","28.9","79.9","71.2","44.8"
"599","2838A","聯邦銀甲特","50.9","0","0","","","2.08","12.45","","","","","","","","","","","","",""
"600",="5469","瀚宇博","49.5","+2","+4.21","3.08","36.99","1.06","12.76","31.6","45.4","32.7","0","38.2","24.7","28.6","42.1","33.7","27.7","35.8","31.2","39.5"
"601",="5511","德昌","71.5","0","0","4.06","48.77","2.1","25.15","49.5","55.2","59.7","69.4","68.3","32.4","18.9","50.8","46.2","46.4","47.6","48.2","50.2"
"602",="6266","泰詠","37.4","+0.05","+0.13","1.44","17.32","1.25","15.06","89.5","87.3","112","89.2","90.6","84.7","84","89.2","86.5","89.8","93.2","86.8","80"
"603",="6721","信實","53.7","+0.1","+0.19","4.11","20.54","3.07","15.36","76.2","","","","","","","","83.3","81.4","73.1","65.4","77.9"
"604",="8088","品安","34.6","+0.6","+1.76","1.68","20.17","1.33","15.91","77.3","87.4","75.6","89.1","90.4","88.6","88.2","46.5","83","87.8","61.2","61","69"
"605","2887E","台新戊特","49.55","-0.05","-0.1","","","2.04","14.28","","","","","","","","","","","","",""
"606",="5009","榮剛","53.6","-1","-1.83","1.5","18.01","0.88","10.6","66.1","55.9","61.8","80.6","55.9","63.7","57.1","92.9","42.9","129","42.2","46.5","63.8"
"607",="3078","僑威","79.7","+3.4","+4.46","2.56","30.68","1.71","20.55","65.5","38.9","75.8","68.2","74.8","72.5","69.5","61.6","52.3","52.2","69.2","75.6","75.1"
"608","4129A","聯合甲特","70.6","0","0","","","1.29","5.16","","","","","","","","","","","","",""
"609",="1752","南光","59.4","+1.4","+2.41","1.56","18.73","1.29","15.48","-1.3","200","62.1","-1000","64.3","55","71.1","87","120","78.3","87.9","92.8","65.9"
"610",="1817","凱撒衛","37.35","+0.05","+0.13","2.92","35","1.87","22.41","64.1","55.9","64.1","63","71.7","62.9","64.7","64.2","65.7","69","65.8","65.1","56.9"
"611",="2455","全新","115.5","0","0","2.5","30.05","2.55","30.6","105","129","133","107","105","90.7","119","116","116","89.6","89.9","86.6","78"
"612",="2476","鉅祥","49.25","+0.15","+0.31","2.18","26.13","1.45","17.45","69.7","49","60.7","90.8","85.7","69.9","65.1","76.2","79.7","72.6","77.4","59.6","50.2"
"613",="3167","大量","40.85","-0.05","-0.12","3.74","44.9","2.57","30.8","71.8","56.8","102","96.9","76.5","60.7","67.6","57.6","64.6","90.1","57.4","72.6","58.8"
"614",="3426","台興","40.45","+0.45","+1.12","3.24","29.14","2.28","20.5","73.2","","","","60.3","64.1","59.7","63.3","66.5","90.5","92.6","80.6","81.3"
"615",="3447","展達","55.1","+2.3","+4.36","1.8","18","1.39","13.88","69.4","185","","","85.7","77.4","68.7","80.6","0","0","63.7","70.8","61.7"
"616",="3689","湧德","49.85","+0.85","+1.73","4.03","48.36","2.42","29.05","63.8","57.6","53.7","58","58.3","59.5","58.6","65.9","69.8","64.9","94.9","69.9","54.1"
"617",="3705","永信","43.3","+0.35","+0.81","2.61","31.36","2.06","24.7","80.3","91.7","99.7","82","88","74.6","60.7","104","83.3","78.3","67.3","61.4","73"
"618",="4155","訊映","35.4","+0.15","+0.43","2.2","26.4","2.15","25.83","112","89.4","78.4","81.3","157","87.6","114","91","105","83.9","89","217","152"
"619",="5203","訊連","97","+4","+4.3","3.7","44.44","4.07","48.87","78.5","115","110","99","98.9","71.4","54","62.2","77.1","80.3","100","-23.8","98.3"
"620",="6449","鈺邦","54.7","+1","+1.86","2.76","27.65","1.58","15.84","56.6","","","43.2","52.5","55.7","62.1","69.4","44","60.2","61.3","57.3","60.2"
"621",="6790","永豐實","40.6","+0.5","+1.25","3.71","14.83","2.75","11.01","78.8","","","","","","","","","88.8","65.4","70.8","90.2"
"622",="8150","南茂","35.45","+0.85","+2.46","3.01","36.11","1.59","19.11","50.1","0","36.2","43.5","57.4","82.4","56.2","8.41","87.6","50.7","67.5","61.8","49.6"
"623",="1102","亞泥","43.9","+0.1","+0.23","3.22","38.65","2.24","26.86","75.1","81.5","121","58.6","73.8","71","71.4","69","79.1","54","73.7","49.9","98.8"
"624","2882A","國泰特","58.3","0","0","","","1.98","13.83","","","","","","","","","","","","",""
"625",="4129","聯合","71.3","+0.3","+0.42","1.42","17.01","1.1","13.24","74.3","80","49","109","79.7","69.6","67.4","70.8","124","78.1","83.7","0","80.1"
"626",="6629","泰金-KY","47.85","+1.5","+3.24","5.33","26.67","2.91","14.56","53.4","","","","","","","","60.7","70.8","66.4","19.2","50.1"
"627",="6516","勤崴國際","94.4","-0.6","-0.63","1.1","9.91","1.85","16.68","362","","","","116","197","190","186","123","1337","807","172","131"
"628",="5704","老爺知","70.7","-0.2","-0.28","1.11","13.3","1.12","13.4","106","92.1","281","92.6","86.8","95.2","0","167","96.2","93","91.3","91.4","91"
"629",="6186","新潤","43.25","+0.05","+0.12","2.57","30.88","2.08","24.95","176","0","-51.1","46.1","89.8","54.3","56.5","1875","-278","71.3","50.7","97.4","98.2"
"630",="1235","興泰","83.2","+1.7","+2.09","1.26","15.08","1.26","15.15","113","0","0","0","82.5","0","0","86","100","224","231","469","168"
"631",="2207","和泰車","806","+16","+2.03","14.36","172.4","11.77","141.3","61.3","66.3","65.2","89.9","62.4","67","61","64.8","65.4","65","67","67.4","-6.22"
"632",="2392","正崴","43","+0.05","+0.12","3.16","37.96","2.15","25.79","73.5","56.7","63.8","71.5","57.1","62.1","96.8","76.9","125","61","61.6","78.9","70.1"
"633",="2450","神腦","35.2","+0.9","+2.62","3.26","39.14","2.73","32.79","85.9","82.6","68.7","72.1","73.3","94.6","99.1","95.9","91.2","91.2","88.8","86.6","86.3"
"634",="2453","凌群","63.7","-0.4","-0.62","1.15","13.8","0.92","11","76.8","78.1","68.4","63.2","61.9","76.9","75.8","76.9","79.4","77.5","88.2","88","87.6"
"635",="2484","希華","34.75","-0.1","-0.29","1.35","16.23","1.01","12.1","65.6","0","0","68.2","54.6","71.9","81.1","95.2","89","125","98","59.1","45.6"
"636",="2617","台航","30.65","+0.15","+0.49","1.7","20.43","0.99","11.87","59.4","53.6","52.7","61.5","89","100","0","62.5","56.8","55.6","72.6","63.3","45.5"
"637",="3206","志豐","38.6","+0.1","+0.26","2.04","24.45","1.5","18","76.9","95.7","82.2","100","64.1","73.9","76.3","80","81.8","63.5","69","75.3","61.1"
"638",="4560","強信-KY","39","0","0","3.2","25.62","2.07","16.54","64.1","","","","","0","62.7","76.2","72.9","91.1","89.3","61","59.5"
"639",="5607","遠雄港","81.7","+4.2","+5.42","1.65","19.75","0.55","6.6","21","0","0","0","0","0","0","12.7","30.8","32.9","59.7","64.5","51.5"
"640",="6128","上福","32.95","+0.4","+1.23","2.98","35.72","2.1","25.15","113","92.3","78.8","93.4","90.9","81.1","66.7","9.58","556","87","86.2","75.8","41.4"
"641",="6275","元山","39.1","+1.3","+3.44","0.95","11.39","0.66","7.96","51.9","0","0","0","80.8","196","58.1","57.7","0","0","74.6","76.7","78.6"
"642",="6417","韋僑","148","-6.5","-4.21","2.13","23.47","1.1","12.1","50.9","","50.1","41.7","49.4","59.8","59.3","52.6","50","50.2","48.3","49.7","48.9"
"643",="8032","光菱","31.05","0","0","2.69","32.32","1.67","20.03","64","43","58.2","53.8","61.1","50.4","76.6","75.9","70.4","75.3","79.4","61.9","62.1"
"644",="9960","邁達康","29","0","0","1.25","15","0.92","11.05","62.2","79.1","69.4","69","127","125","-62.5","0","43.3","97.6","70.9","66.9","60.8"
"645",="4760","勤凱","72.8","+0.2","+0.28","2.43","24.33","1.66","16.57","69.5","","","69.2","60.3","62.5","59.7","57","63.6","117","67","68.3","71.4"
"646",="4931","新盛力","40.7","+0.1","+0.25","-0.52","-6.28","0.54","6.48","33","0","0","0","0","0","58.8","45.5","63.3","67.7","87.3","0","73.9"
"647",="2612","中航","38.95","+0.45","+1.17","2.17","26.06","1.32","15.86","80","51","45","96.8","100","15.4","238","100","61.5","48.8","95.8","50.9","56.2"
"648","2881B","富邦金乙特","59.8","-0.1","-0.17","","","2.07","10.36","","","","","","","","","","","","",""
"649",="2408","南亞科","71.7","+0.8","+1.13","5.21","62.57","2.13","25.54","28.9","0","0","0","17","39.6","17.3","24.4","55.6","46.4","51.7","50","45.1"
"650",="006203","元大MSCI台灣","64.55","+0.65","+1.02","","","1.2","14.38","","","","","","","","","","","","",""
"651","2882B","國泰金乙特","58.5","-0.2","-0.34","","","1.92","9.62","","","","","","","","","","","","",""
"652",="6290","良維","61.7","+0.6","+0.98","3.11","37.27","2.09","25.1","75","43.6","100","63.5","63.6","90.1","85.9","87.9","131","55.9","74.3","65.6","38.4"
"653",="1525","江申","107.5","+0.5","+0.47","5.09","61.11","1.93","23.2","39.6","38.3","35.8","37.2","30.3","31.7","31.9","32.6","29.2","50.6","49.9","50.2","57.1"
"654",="3567","逸昌","30.6","+0.25","+0.82","1.63","19.6","1.44","17.23","58","-99.4","-32.6","75.5","68.6","89.4","81.6","83.3","76","94.9","85.1","84.1","89"
"655",="4116","明基醫","58.6","0","0","1.59","19.11","1.01","12.08","68","70.4","64.2","52.3","48.4","49","66.3","95.2","90","79.9","71.9","76.9","52"
"656",="5519","隆大","23.05","-0.05","-0.22","2.85","34.25","1.81","21.72","58.2","88.8","87.9","61.7","38.4","42.9","38.5","33.6","39.5","55.6","87","73.3","50.8"
"657",="5525","順天","26.65","+0.05","+0.19","1.65","19.75","1.26","15.1","79.7","105","48.8","74.3","61","62.5","125","100","69.6","78.3","294","-150","87.9"
"658",="6170","統振","44.25","+0.4","+0.91","0.73","8.02","0.73","8.03","61.7","89.4","0","0","85.6","87.5","73.2","","0","93.8","85.9","86","76.9"
"659",="6270","倍微","23.2","-0.1","-0.43","0.46","5.48","1.01","12.12","134","167","-10.3","278","88.7","152","139","294","102","134","93.8","84.7","90.9"
"660",="6442","光聖","64.2","+5.8","+9.93","2.41","24.11","2.01","20.07","10.9","","","96.8","51.5","59.4","75.2","282","85.5","-486","-175","76.9","43.3"
"661",="9937","全國","66.2","+1.1","+1.69","1.96","23.58","1.88","22.6","99.7","199","93","99.2","113","88.1","87.7","90.1","84","83.7","89.5","80.2","89.4"
"662",="4737","華廣","77.3","+0.2","+0.26","1.95","23.45","2.3","27.55","120","88.2","105","86.8","77","105","147","164","89.6","108","195","138","140"
"663",="4566","時碩工業","62.3","+0.3","+0.48","3.14","21.97","1.64","11.5","55.6","","","","","","42.4","70.1","59.9","50","79.7","50.4","36.6"
"664",="3646","艾恩特","30.5","0","0","1.02","12.28","1.25","15.01","123","66.2","-188","288","-143","833","88.5","132","81.1","75.2","79.6","77.3","90.8"
"665",="1595","川寶","43.8","+1.45","+3.42","4.83","57.93","2.79","33.48","86.5","55.2","53","56.3","59.4","58.9","208","56.2","59.8","60.7","278","50.9","41.8"
"666",="3032","偉訓","64.7","-2.7","-4.01","2.31","27.78","1.7","20.4","91.3","0","313","104","97.1","76.3","57.7","93","60.8","81.5","73.6","76","61.5"
"667",="8097","常珵","51.8","+0.1","+0.19","-0.24","-2.83","0.17","2.01","3.08","0","0","0","0","0","0","0","","0","0","0","33.9"
"668",="6821","聯寶","45.5","-0.1","-0.22","1.44","4.32","1.37","4.11","97.4","","","","","","","","","","104","98.2","89.7"
"669",="8027","鈦昇","61","+4","+7.02","0.89","10.69","0.58","7","281","0","0","34.5","47.1","3081","0","0","39.7","0","59.4","60.8","50.8"
"670",="1225","福懋油","55.9","+0.4","+0.72","1.22","14.63","1.04","12.42","108","250","179","75.6","114","39.2","71","111","98.3","83.9","81.4","77.3","118"
"671",="1229","聯華","71.1","+1.3","+1.86","2.35","28.18","1.95","23.45","84.6","55.2","53.7","63.7","89.6","91.2","88.6","90","89.4","127","58.8","81.8","125"
"672",="1338","廣華-KY","43","+0.05","+0.12","5.92","65.1","3.22","38.7","64.5","","55.3","42.6","47.6","49.8","49","54.1","53.8","73.2","99.7","61.9","123"
"673",="1451","年興","20","+0.05","+0.25","1.18","14.2","1.35","16.2","77.3","69.4","74.9","106","103","88.8","82","160","98.5","0","-28","81.3","93"
"674",="1503","士電","162.5","+10","+6.56","2.69","32.23","1.47","17.6","55","56.9","51.7","62.2","61.7","62.8","50.2","51","55.1","49.8","54.6","52","51.8"
"675","1522A","堤維西甲特","46.5","0","0","","","1.39","2.79","","","","","","","","","","","","",""
"676",="1569","濱川","24.3","-0.2","-0.82","1.27","15.21","0.77","9.23","34.6","56.8","47.5","0","0","0","20.3","23","71.4","29","43.8","61.1","61.9"
"677",="1597","直得","70","0","0","2.94","35.27","1.54","18.5","66.6","29.7","56.5","66.7","143","79.4","69","86.8","31.2","29.8","47.7","62.5","96.8"
"678",="1702","南僑","46.9","0","0","3.51","42.16","2.05","24.66","58.5","39.3","57.8","58.1","55","57.9","57.8","67.3","66","51.3","52.1","50.9","88.5"
"679",="1760","寶齡富錦","129","+1","+0.78","0.95","11.36","1.31","15.74","112","0","0","212","173","138","131","113","86.1","85.7","194","114","93.9"
"680",="2108","南帝","36.1","+0.4","+1.12","3.47","41.66","2.22","26.7","79.2","77.2","104","98.8","89.3","91.9","87.7","86.2","57.7","72.4","55.5","46.9","82.6"
"681",="2342","茂矽","40.85","+0.15","+0.37","-0.41","-4.95","0.27","3.27","9.79","0","0","0","0","0","0","0","17.5","0","27","16.3","56.7"
"682",="2352","佳世達","53.8","+3.6","+7.17","1.63","19.55","0.95","11.42","37.4","0","0","0","39.7","50","59.7","50.2","41.5","41.2","59.1","59.2","47.6"
"683",="2423","固緯","35.7","+0.6","+1.71","1.82","21.84","1.37","16.4","77.6","62.5","98.3","100","74.1","71.4","68.2","76.5","75.9","69.8","87.6","75","71.9"
"684",="2478","大毅","47.05","-0.05","-0.11","2.55","30.55","1.37","16.49","60.1","71.7","82.8","77","59.7","21.4","49.5","76.2","34.4","78.3","63.8","60.6","46.4"
"685",="2504","國產","26.3","-0.05","-0.19","0.8","9.55","0.6","7.25","134","38.5","153","0","75.5","1007","0","24.9","67.6","37.5","78.9","74.4","57"
"686",="2881","富邦金","62.5","+0.8","+1.3","5.58","66.92","2.27","27.3","41.8","44.2","32.6","38.5","50.9","32.2","42.3","44.3","44.2","36.6","46.8","32","56.5"
"687",="2915","潤泰全","61.4","+0.5","+0.82","15.67","188","3.66","43.89","31.6","29.2","73.6","9.12","75","18.7","9.4","26.4","40.6","30.3","33.7","20","12.9"
"688",="3003","健和興","80.5","-0.7","-0.86","2.98","35.73","1.29","15.48","43.6","31.2","30.2","44.4","38.2","40.8","60.2","56.2","58.4","36.9","51.7","40.2","34.8"
"689",="3016","嘉晶","71.5","+0.5","+0.7","0.5","6.03","0.46","5.48","115","130","0","0","55.6","0","0","67.6","63.7","618","277","87.8","84"
"690","3036A","文曄甲特","47.95","0","0","","","1.48","4.43","","","","","","","","","","","","",""
"691",="3040","遠見","30.4","0","0","2.98","35.82","2.9","34.8","129","148","37.8","312","46.7","136","205","81.4","153","110","89.9","102","125"
"692",="3048","益登","27.8","0","0","1.97","23.7","1.53","18.36","81.9","174","50.1","117","83.7","94.8","46.7","61.3","64.2","60.6","92.7","73.4","64.3"
"693",="3260","威剛","85.7","+2.4","+2.88","4.17","50.08","2.91","34.97","42.7","88.2","77.6","77.9","71.5","-250","64.4","69.8","-24.4","74.3","52.2","49","162"
"694",="3303","岱稜","25.55","-0.25","-0.97","1.33","15.99","1.17","14","90","0","51.5","81.8","100","78.4","81.1","289","72.7","75.5","90.9","90.1","68.7"
"695",="3312","弘憶股","22.75","+0.05","+0.22","0.85","10.15","0.91","10.92","60.2","62.1","88.9","42.7","151","0","0","-5.41","102","91.6","63.3","61.7","64.9"
"696",="3317","尼克森","52.5","+0.4","+0.77","1.84","22.11","0.53","6.4","14.5","0","0","0","0","0","0","33.1","28","31.5","32.9","20.8","28.2"
"697",="3338","泰碩","55.1","+5","+9.98","2.17","26.09","1.55","18.59","71.7","90.9","67.8","64.1","84","79.4","81.1","58.9","66.7","61.7","69.7","70.4","65.6"
"698",="3465","進泰電子","87.2","+0.4","+0.46","0.47","5.63","1.04","12.5","-8.12","0","0","0","0","0","0","0","0","0","36","59.2","-193"
"699",="3498","陽程","40.2","+0.8","+2.03","1.11","13.34","1.05","12.59","36.8","0","41.1","60.4","65.7","43.9","48.5","62.5","0","0","0","0","119"
"700",="3531","先益","27.9","-0.15","-0.53","1.67","20.09","1.4","16.75","108","64.1","78.6","82.9","405","83.3","71","72.5","87","78.6","119","87","66.2"
"701",="3628","盈正","49.8","+0.2","+0.4","2.66","31.94","2.46","29.5","97.7","83.6","99.7","78.1","84.9","82.9","133","141","92","114","108","78.1","78.4"
"702","3702A","大聯大甲特","48.4","-0.05","-0.1","","","1.64","6.58","","","","","","","","","","","","",""
"703",="3712","永崴投控","36.3","+0.25","+0.69","0.43","2.17","1.4","7","54.2","","","","","","","","-202","0","294","85.2","93"
"704",="4123","晟德","56.1","+1.1","+2","2.97","35.59","1.95","23.38","323","339","158","417","56.5","52.4","1429","367","16.7","-268","29.3","108","1176"
"705",="4162","智擎","88.2","+3.1","+3.64","2.27","27.2","1.69","20.23","72.4","0","0","0","81.3","103","79.6","76","114","172","61.1","91.5","90.1"
"706",="4305","世坤","32.05","+0.05","+0.16","2.44","29.31","1.98","23.8","81.9","90.2","69.3","70.6","76.9","77.7","80","96.4","81.8","89.7","86.5","88.7","74.9"
"707",="4416","三圓","82","0","0","4.87","58.44","3.66","43.96","8.93","61.8","53.9","388","51.4","27.6","-213","-127","-91.7","-30.7","0","28.6","-42.5"
"708",="4420","光明","30.05","+0.05","+0.17","2.15","25.81","1.57","18.85","48.2","86.5","137","1429","97.1","45","190","81.6","16.8","-229","443","98","-1818"
"709",="4527","方土霖","34.7","-0.1","-0.29","2.37","28.48","1.78","21.33","75","68.5","62.9","79.1","76.9","74.1","73.1","80","71.2","74.8","73.5","90.9","74.6"
"710",="4535","至興","39","+0.25","+0.65","2.61","31.36","1.88","22.6","76.3","66.5","71.5","68.7","84.2","67.8","68.6","72.1","89.8","137","51.5","66.7","70.9"
"711",="4584","君帆","47.25","+0.05","+0.11","4.34","8.68","2.25","4.5","52.4","","","","","","","","","","","49.3","55.4"
"712",="4747","強生","111.5","0","0","2.3","27.59","1.94","23.27","85.3","89.4","81.9","69.4","77.6","83.3","90","90","86.4","83.7","90.6","88.4","92.6"
"713",="4927","泰鼎-KY","66","-1.1","-1.64","4.44","48.83","2.32","27.82","47.9","","50.1","49.6","61.5","57.6","49.3","0","45.2","67.3","47.5","55.2","43.5"
"714",="4930","燦星網","25.95","+0.1","+0.39","0.67","8.01","1.28","15.3","64.9","100","0","0","109","0","90.9","0","0","109","157","150","62.5"
"715",="4973","廣穎","33.3","+2.7","+8.82","2.19","26.31","1.74","20.92","124","42.6","75.4","78.3","72.8","150","84.5","370","89.6","80","87","286","69.2"
"716",="5215","科嘉-KY","46","+0.7","+1.55","4.59","50.51","3.12","37.5","84.8","","77.7","99","70.1","69.8","149","167","73.5","65.8","61","57.1","43.3"
"717",="5223","安力-KY","40.2","0","0","4.03","28.2","2.03","14.22","51.1","","","","","","33.3","88.9","52.3","33.6","52.1","51.7","45.5"
