"排名","代號","名稱","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","平均分配率","2012分配率","2013分配率","2014分配率","2015分配率","2016分配率","2017分配率","2018分配率","2019分配率","2020分配率","2021分配率","2022分配率","2023分配率"
"132",="4137","麗豐-KY","192.5","+0.5","+0.26","11.57","127.3","8.66","95.29","76.8","","83.7","68.3","73.6","68.1","70.7","109","77.9","72.4","70.3","70.4","80.6"
"133",="4439","冠星-KY","147","-1.5","-1.01","12.22","61.08","5.61","28.04","45.4","","","","","","","","0","57.7","49.1","60.6","59.6"
"134",="4557","永新-KY","103.5","+1.5","+1.47","6.16","55.42","4.62","41.58","78.7","","","","17.6","95.3","70","95.1","96.3","92.4","97","87.2","57.8"
"135",="4919","新唐","137","+4","+3.01","3.47","41.6","2.41","28.96","70.4","82.9","56.1","96","72.7","79.6","81.4","75.3","73.1","47.4","41.9","68.8","69.6"
"136",="5478","智冠","101.5","-0.5","-0.49","4.49","53.93","3.17","38.01","69.6","76.5","68.2","59.6","56.2","62","60.6","61","59.5","80.4","53","81.7","117"
"137",="6223","旺矽","186.5","+8.5","+4.78","6.05","72.63","3.4","40.75","55.9","55.3","73","59.3","60.5","80.9","59","27.3","47.7","46.4","53.2","53.8","54.3"
"138",="6239","力成","109.5","+2","+1.86","6.31","75.7","4.18","50.15","51.8","34.6","65.5","-38.2","70.8","67.3","64.5","59.9","59.9","59.8","58.1","58.9","60.3"
"139",="6278","台表科","89.5","-0.7","-0.78","5.75","69.03","2.76","33.1","48.5","49.3","50","49.2","52.9","49.2","51.3","49.2","48.5","40.2","44","47.2","50.7"
"140",="8091","翔名","97.2","+1","+1.04","5.68","68.16","4.23","50.79","73.4","44.2","84.3","87.6","73","55.2","89","116","85.8","44","64.5","66","71.2"
"141",="9914","美利達","223.5","+5","+2.29","9.21","110.5","5.38","64.5","60.1","61.4","67","63.7","60.7","54.1","62.3","74.9","61.2","50.2","52.4","51.4","61.7"
"142",="6469","大樹","409","+12.5","+3.15","4.31","43.11","3.33","33.28","77","","","44.3","43","74.6","78.4","75.9","86.1","84.5","106","88.2","89.1"
"143",="6531","愛普*","315","-9.5","-2.93","6.73","60.56","5.29","52.93","50.4","","","","144","59.2","32.9","55.5","32.9","-18.7","45.4","43.9","57.9"
"144",="8114","振樺電","116.5","+1","+0.87","7.34","88.14","5.89","70.69","81.4","87.6","89.5","87.7","88.4","87.7","87.2","77.5","72.8","73.4","90.9","72.5","62.2"
"145",="1707","葡萄王","163.5","+1","+0.62","8.09","97.07","5.67","68.07","71.4","82.6","79.2","77.9","73.2","69.3","65.2","66.6","67.9","67.5","68.5","69.2","70.1"
"146",="6664","群翊","140","+6.5","+4.87","6.47","38.8","4.7","28.23","75.1","","","","","","","78.6","78.4","77.8","76.1","80.1","59.7"
"147",="4438","廣越","125","-1","-0.79","8.11","73","5.63","50.66","71.1","","","","47.8","70.5","83.7","89.9","80.8","77.1","61.5","68.9","59.8"
"148",="3675","德微","291","+1","+0.34","2.69","32.25","1.95","23.45","56.8","64.5","0","0","0","30","157","66.7","78.7","56.5","95.2","67.9","65.3"
"149",="2377","微星","185","-3","-1.6","6.52","78.24","4.34","52.05","95.7","327","111","85.5","84","79.7","77.7","77.1","69.9","63.5","64.8","52.4","56"
"150",="3218","大學光","389.5","+0.5","+0.13","3.03","36.41","2.12","25.38","63.8","55","0","76.3","68.2","89.4","82.7","72.7","59","63.9","66.1","70.3","62"
"151",="5871","中租-KY","212","+8.5","+4.18","9.39","103.2","4.18","50.1","49.1","","70.6","50.8","51.4","51.5","53.5","48.3","43.4","42.9","45.1","43.9","38.4"
"152",="9941","裕融","215","+2.5","+1.18","7.76","93.17","5.19","62.32","68.6","48.1","59.8","85.3","86.4","88.1","75","69.7","70.1","60.3","70.1","55.6","54.7"
"153",="1256","鮮活果汁-KY","316","-0.5","-0.16","12.75","140.3","6.39","76.72","54.9","","35.3","73.3","66","51.5","50.3","50","32","77.1","52.2","62.1","54.5"
"154",="2637","慧洋-KY","46.05","+0.9","+1.99","4.72","51.91","2.63","31.55","148","","44.3","65.5","76.6","55.2","55.8","141","50.9","48.9","1000","49.8","45.9"
"155",="3324","雙鴻","300","+3","+1.01","6.31","75.67","2.81","33.74","50.2","32.8","47.5","66.2","90.9","37.9","42.5","55.4","52.6","43.1","43.5","45.7","44.3"
"156",="3596","智易","126.5","+0.5","+0.4","5.52","66.2","3.52","42.21","59.8","36.1","39.5","50.6","51.3","52.3","54.2","62.3","75.9","68.6","77.7","78","70.7"
"157",="4763","材料-KY","757","+45","+6.32","7.42","66.8","5.15","46.36","68.2","","","","0","79","81","135","65.9","56","70.5","66.6","59.6"
"158",="5903","全家","213.5","+0.5","+0.23","6.38","76.59","5.21","62.5","81.9","80","78.6","91.6","86.2","80.4","84.3","87.3","80.2","79.3","78.6","78.1","78.8"
"159",="6494","九齊","56.3","0","0","5.4","48.6","3.63","32.7","76.8","","","","79.4","77.6","83.3","89.3","83","75.5","88.8","46.5","68.1"
"160",="6546","正基","85","+2","+2.41","3.21","25.71","2.58","20.62","80.4","","","","16.2","90.1","86.2","50","","153","84","80.5","83.7"
"161",="6581","鋼聯","90.1","+0.7","+0.78","5.87","41.06","4.26","29.83","73.3","","","","","","66","70","70","72.6","82","78.7","73.5"
"162",="3189","景碩","111.5","+1.5","+1.36","5.17","61.99","3","35.98","65.9","47.8","48","48.4","49.3","53.8","59.9","136","192","-22.1","82.6","52.6","41.9"
"163",="6263","普萊德","133.5","+4","+3.09","4.27","51.18","3.83","45.9","89.6","92.7","87.7","87.5","87.5","89.2","89","87.8","89.2","89.8","92.4","91.4","91.3"
"164",="5508","永信建","72.2","-1.1","-1.5","5.55","66.55","4.99","59.87","90","90.7","89.7","90","90.1","90.1","89.9","89.8","89.9","90","90","90","90"
"165",="6231","系微","114.5","+5","+4.57","3.06","36.68","2.62","31.44","72","79.4","75.3","75.3","72.7","74.6","-30.3","86.7","86.2","86.2","86.4","87.5","84.5"
"166",="2480","敦陽科","120","+2","+1.69","3.37","40.46","3.22","38.67","96.7","91.3","103","99.5","99.5","99","93.3","102","90","106","91.9","93.7","90.6"
"167",="8482","商億-KY","69.2","0","0","8.3","49.79","6.32","37.92","76.7","","","","","","","65.8","82.5","78.7","79.3","73.7","80.1"
"168",="2376","技嘉","296","+0.5","+0.17","5.74","68.88","3.93","47.2","74.4","81.3","80.8","79.8","70.7","82","71.4","90.7","74.3","72.1","72.7","57.1","60.3"
"169",="3010","華立","81.5","+0.5","+0.62","6.41","76.96","3.64","43.7","56.8","55.8","58.6","59.9","59.8","55.3","57.5","54.2","55","53.9","57.3","56.4","57.9"
"170",="3211","順達","78.3","+0.1","+0.13","7.41","88.92","5.67","68.06","82.7","55.5","63.5","90.9","82.1","75.4","93.5","89","80.5","89.1","92.6","67","113"
"171",="3227","原相","113","+4","+3.67","5.19","62.3","4.4","52.82","93.5","77.9","91.3","100","102","100","167","81","80.2","82.3","80","79.5","81"
"172",="3546","宇峻","87.2","0","0","3.41","40.87","3.14","37.73","103","87.5","88.7","158","278","0","90.6","88.9","93.1","90.2","83.6","83.2","89.3"
