"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(億)","2011業外損益(億)","2012業外損益(億)","2013業外損益(億)","2014業外損益(億)","2015業外損益(億)","2016業外損益(億)","2017業外損益(億)","2018業外損益(億)","2019業外損益(億)","2020業外損益(億)","2021業外損益(億)","2022業外損益(億)","23Q1業外損益(億)"
"1",="2905","三商","14.85","-0.1","-0.67","201","121","58.3","42.5","102","91.8","88.8","306","256","244","304","196","601","122"
"2",="2603","長榮","108","+1.5","+1.41","19.9","17","11.6","-8.16","-5.46","-8.35","-9.61","26.3","2.69","-38.8","-28.3","33.7","246","50.9"
"3",="2330","台積電","565","0","0","125","35.9","5","60.6","62.1","304","80","106","139","171","180","131","229","130"
"4",="1301","台塑","82","-1.2","-1.44","210","155","115","186","149","246","308","330","318","220","70.7","258","170","24.5"
"5",="1303","南亞","68.7","-0.5","-0.72","189","-0.8","-70.4","161","235","250","406","329","321","168","92.2","225","155","8.54"
"6",="1326","台化","63.7","-0.7","-1.09","159","97.9","61.2","113","116","166","212","278","252","206","94.4","157","149","11.7"
"7",="1605","華新","41.2","-0.55","-1.32","17.6","-33","-40.5","-23.6","1.58","5.08","8.52","15","56.4","6.81","18.7","57.8","139","3.71"
"8",="2317","鴻海","105.5","0","0","327","197","103","270","309","348","230","703","341","490","346","446","137","-201"
"9",="2915","潤泰全","60.6","0","0","79.8","13.1","25.2","97.7","61.8","54.9","64.5","66.1","80.7","93.5","94","176","130","1.65"
"10",="2609","陽明","50.6","-0.4","-0.78","3.6","7.1","3.61","30.2","-18","-14.8","-9.74","-1.4","-14.1","-25.7","-33.1","-10.1","129","27.6"
"11",="3706","神達","35.35","-0.2","-0.56","43.9","","0","7.75","14.1","17.2","23.8","21.6","31.4","25.8","29.1","187","125","3.33"
"12",="2474","可成","172.5","-0.5","-0.29","64.6","4.92","17.8","36.1","35.2","52.7","51.3","-6.88","117","58.7","259","33.1","116","11.8"
"13",="6505","台塑化","79.9","-1.1","-1.36","65.8","38.3","32.7","75.6","92.7","72.3","44.7","44.4","80.8","81.1","59","53.1","115","10.8"
"14",="2347","聯強","55.8","-1.7","-2.96","40","34.5","22.9","25.1","17.7","-2.11","14.6","29.5","25.7","29.1","32.7","139","111","3.3"
"15",="9904","寶成","30.95","+0.15","+0.49","79.8","26.3","47.9","86.3","79.5","78.9","84.9","77.5","64.5","75.7","80.7","147","108","8.33"
"16",="2352","佳世達","46","-0.4","-0.86","14.8","-35.4","-19.8","1.65","7.6","2.64","3.57","30.2","10.4","-2.83","16","56.3","108","-1.21"
"17",="2382","廣達","160.5","-4.5","-2.73","65.9","167","86.2","112","104","44.2","12.4","24.9","48.8","15.6","19.8","61.6","95.9","10.8"
"18",="2454","聯發科","682","-8","-1.16","70.2","18.6","40.8","43","51.1","34.6","41.4","174","75.1","44.6","43.6","188","87.7","47.4"
"19",="2357","華碩","293","-7","-2.33","58.1","19","52.3","71.9","36.9","14.4","55.3","64.4","40.1","76.9","81.6","97.6","86.3","16.9"
"20",="3008","大立光","2340","+25","+1.08","11.1","3.64","0.17","7.2","19","15.1","3.37","-1.34","15.8","0.8","-3.38","-1.22","74.4","6.4"
"21",="2371","大同","54.6","-0.7","-1.27","-12","3.6","1.25","-11.8","-16.7","-5.24","6.65","16.1","-164","-26.1","-36","18.5","69.4","-1.16"
"22",="1102","亞泥","43.95","-0.15","-0.34","40.5","51.5","26.1","74.1","54.7","27.7","2.44","10.6","22.2","63.3","44.7","42.5","66.3","17.2"
"23",="1218","泰山","25.65","-1","-3.75","8.48","5.17","1.72","2.44","1.77","2.07","-0.02","3.81","4.01","4.61","5.9","4.26","66","0.38"
"24",="1216","統一","73.2","-0.8","-1.08","102","30.6","-2.15","71.9","55.2","56.1","94.1","541","83.2","67.7","86.5","78.8","63.3","35.3"
"25",="2615","萬海","56.7","-0.9","-1.56","11.8","7.58","-6.17","2.78","11.7","16.4","-3.74","-0.23","7.88","17","14.7","12.8","60.6","7.47"
"26",="2408","南亞科","69.1","-1","-1.43","50.2","-67.8","-54.1","41","129","41.9","172","230","22.3","17.1","5.57","5.81","58.7","7.73"
"27",="9945","潤泰新","35.4","-0.15","-0.42","97.3","19.5","31.3","308","67","65","69.9","130","103","81.1","86.9","149","57.4","-4.89"
"28",="1101","台泥","37.3","+0.05","+0.13","16.3","3.53","-10.9","8.28","13.4","-10.1","-15.2","-1.38","23.6","24.8","41.8","62.9","54.8","13.1"
"29",="3481","群創","15.35","-0.35","-2.23","-24.6","-70.3","-111","-97.1","-56.4","-75.7","-14.2","19.2","17.3","34.1","7.45","-3.02","54.4","16.7"
"30",="2002","中鋼","28.65","-0.3","-1.04","1.16","-8.26","-2.55","-13.4","-12.2","13.9","-35.3","-15.2","-16.6","2.23","4.72","46.6","49.9","-0.49"
"31",="2308","台達電","348","-6","-1.69","44.8","42.6","44.8","29.9","37","42.8","39.6","40.2","46.3","97.5","28.5","42.6","46.3","15.5"
"32",="1314","中石化","9.52","-0.1","-1.04","29.1","66.5","25.5","71.2","25.3","19.4","-4.09","27.1","16","22.7","19.2","14.8","45.7","-0.74"
"33",="2409","友達","18.4","-0.5","-2.65","-22.7","-79.9","-168","-30.6","-21.8","-99.2","-11.5","2.24","45.5","6.23","7.05","33.3","44.6","-1.56"
"34",="6176","瑞儀","109.5","-2","-1.79","8.56","9.85","5.03","6.37","8.11","7.27","16.1","-8.17","15.2","9.45","-10.5","-0.31","44.4","0.63"
"35",="2207","和泰車","769","-20","-2.53","26","35","34.6","29.7","37.5","41","17.5","18.3","13.1","12.5","14.9","18.1","40","6.39"
"36",="1722","台肥","60.2","-0.1","-0.17","16.7","28.4","26.5","18.4","11.9","1.75","-5.48","6.06","16.6","8.38","17.2","32.8","37.8","6.8"
"37",="2354","鴻準","52.9","-0.1","-0.19","20.6","14.9","7.26","12","12.6","24","23.9","9.2","27.3","30.8","28.2","20.1","37.4","5.52"
"38",="1229","聯華","68","-0.2","-0.29","20.5","14.4","14","11.3","15.1","11.1","16","25.7","21.7","23.3","25.8","33.8","33.7","10.6"
"39",="2227","裕日車","197.5","-1.5","-0.75","55","35.5","55.9","69.7","72.4","37.6","43.8","59.3","63.4","77.5","78.6","36.8","29.1","3.35"
"40",="8069","元太","212.5","-4","-1.85","23","-1.14","8.13","14.4","29.6","32","23.5","22.4","28","31.6","23.9","35.3","28.9","4.52"
"41",="4938","和碩","70.5","-0.2","-0.28","34.1","38.1","19.7","34.5","-20.6","-4.89","-33.3","14.1","31.3","85.6","104","113","28.1","12.9"
"42",="1402","遠東新","32.05","-0.15","-0.47","49.7","34.9","12.1","104","97.2","51.9","14.2","14.6","62.7","53.7","61.2","61.2","28","9.49"
"43",="2301","光寶科","111","-3.5","-3.06","13.1","2.53","9.52","14.8","6.22","13.5","-0.66","-49.7","33","30.2","24","45.9","27.7","8.21"
"44",="2376","技嘉","261","-3","-1.14","11.8","9.52","5.42","9.28","11.4","14.2","12.7","9.49","6.77","8.16","12.3","16.3","26","0.65"
"45",="1907","永豐餘","36.85","-0.1","-0.27","12.5","11.7","43","11.2","6.18","-0.59","-1.51","-1.21","5.66","5.65","27.7","17.6","24.4","2.56"
"46",="1434","福懋","27.65","-0.05","-0.18","16.2","-8.57","7.18","6.42","12.8","4.29","17","28.1","36.5","41","16.9","8.37","24.4","-1.01"
"47",="5871","中租-KY","201","-3","-1.47","9.46","1.06","8.35","5.34","9.2","7.55","12.2","6.96","7.81","9.86","9.9","11.7","23.5","14.1"
"48",="2327","國巨","491.5","+2.5","+0.51","4.95","-1.72","-4.33","-7.71","8.04","10.2","8.85","2.29","29.9","9.92","-14.6","-2.79","21.4","5.14"
"49",="9910","豐泰","194.5","+3","+1.57","8","4.03","1.93","4.88","5.54","7.36","6.31","6.06","13.3","14.1","5.77","5.51","21.3","-0.31"
"50",="1409","新纖","17","-0.05","-0.29","15.7","12.3","7.18","7.19","47.3","13","14.1","10.6","10.5","9.44","22.4","14.7","20.2","3.2"
"51",="1419","新紡","43.25","0","0","4.7","1.96","1.66","2.01","1.31","2.09","1.85","15.1","3.03","2.64","2.33","2.85","19.6","0.2"
"52",="2451","創見","71.5","0","0","3.58","1.19","0.3","3.87","6.54","6.62","-0.64","-6.85","5.14","3.09","2.9","2.37","18.5","0.36"
"53",="2704","國賓","51","-0.6","-1.16","2.91","1.44","0.28","0.67","0.86","1.12","1.33","0.98","1.89","2.33","2.81","2.9","18.4","2.43"
"54",="5469","瀚宇博","48.1","-0.4","-0.82","4.83","-1.51","1.06","-0.05","2.46","3.74","3.47","0.71","2.81","8.01","4.22","14.8","18.2","-1.82"
"55",="6220","岳豐","28.75","-0.1","-0.35","0.92","0.25","-0.24","-0.2","-0.54","-1.62","-0.16","-0.82","-0.7","-1.12","-1.12","-0.8","18.1","-0.29"
"56",="2303","聯電","48.35","+0.2","+0.42","34.6","42","55.2","103","34.4","28.8","-13.5","12.3","-36.1","10.5","59.2","101","18.1","46.5"
"57",="8046","南電","246.5","-9","-3.52","8.78","11.2","5.11","7.7","20.7","17.3","16.5","-1.48","6.02","3.14","-1.04","2.24","17.9","-0.17"
"58",="3034","聯詠","435.5","0","0","3.26","2.51","1.69","2.52","3.7","4.03","1.41","1.82","2.9","-0.42","-2.29","3.42","17.8","2.01"
"59",="6147","頎邦","63.9","+0.1","+0.16","1.83","1.54","-0.58","5.51","4.57","1.43","-0.99","-3.97","-3.34","-1.56","-3.84","5.34","17.8","-0.14"
"60",="2504","國產","26.7","-0.15","-0.56","4.49","2.26","2.21","10.3","4.01","11.5","-41.4","29.4","0.9","9.07","3.82","4.02","17.8","1.95"
"61",="2912","統一超","283","+3","+1.07","41.1","0.42","-1.62","11","28.4","20.7","29.6","310","25.7","21.1","16.7","14","17.3","6.45"
"62",="3037","欣興","170","+1","+0.59","6.93","-2.31","-6.22","-3.22","-6.51","-1.07","3.5","10.9","8.92","5.45","22.2","34.6","17","22.7"
"63",="5269","祥碩","1065","-10","-0.93","3.31","0.13","-0.11","0.04","0.42","0.26","-0.01","-2.47","0.44","-0.08","8.72","16.3","16.1","1.18"
"64",="2377","微星","173","-3","-1.7","4.59","2.86","3.24","3.54","-0.16","2.11","3.03","3.65","4.59","5.66","4.09","6.56","15.9","1.76"
"65",="6121","新普","313.5","-1.5","-0.48","7.85","3.26","3.08","5.55","6.68","8.77","6.6","10.6","6.42","11.4","6.76","9.44","15.6","2.14"
"66",="1104","環泥","29.75","-0.85","-2.78","10.4","4.56","7.31","10.3","12.9","13","15.1","12.7","9.45","10.3","8.04","5.3","15.4","1.22"
"67",="1904","正隆","33.3","-0.7","-2.06","0.47","-2.73","-5.68","-2.12","-7.08","-4.7","-2.12","-3.08","21.4","-5.27","-2.45","4.13","15.4","0.29"
"68",="6120","達運","15.95","+0.55","+3.57","5.69","2.78","1.65","-2.12","24","1.18","1.47","1.94","10.6","1.7","1.71","7.95","15.4","0.27"
"69",="2344","華邦電","26.4","-0.85","-3.12","2.2","-3.53","-1.68","-2.07","2.83","1.39","0.42","4.42","4.68","4.97","1.85","-2.05","15.1","1.94"
"70",="2324","仁寶","29.2","-0.6","-2.01","1.38","-2.37","-6.31","-48.7","-19.4","4.8","7.5","-10.9","25.3","-5.78","16.3","41.2","15.1","-0.43"
"71",="2492","華新科","94.7","-0.1","-0.11","6.45","0.48","-0.67","-1.13","2.85","4.28","3.41","2.9","4.07","12.7","11.2","22.5","14.8","3.46"
"72",="3711","日月光投控","109","+0.5","+0.46","52.4","","","","","","","57.1","54","-1.64","8.58","182","14.5","1.75"
"73",="2360","致茂","256.5","+0.5","+0.2","4.62","1.69","0.64","2.49","3.02","2.63","0.29","0.79","2.68","2.79","2.32","22.1","14","0.58"
"74",="1802","台玻","18.25","-0.1","-0.54","3.88","17","3.94","15.8","23.3","-18.9","-24.8","-2.5","-7.69","-1.3","6.1","22","13.6","2.84"
"75",="2059","川湖","690","+23","+3.45","1.41","1.63","-0.87","1.78","3.62","3.55","-0.51","-4.41","4.34","0.1","-4.19","-1.24","13.2","0.31"
"76",="6005","群益證","14.4","+0.2","+1.41","8.63","","4.96","6.55","6.26","6.69","5.62","7.52","11.5","12.3","11.3","9.07","13.1","4.87"
"77",="2379","瑞昱","383","-2","-0.52","6.58","3.5","1.51","7.46","14.7","8.03","-0.07","4.22","8.93","9.05","7.17","2.5","12","4.54"
"78",="6239","力成","104","-1.5","-1.42","-5.63","-16.8","-0.33","-56.7","5.24","1.64","-3.69","-1.87","-3.48","-2.05","-3.23","1.81","11.9","0.32"
"79",="6023","元大期","52.3","-0.4","-0.76","7.51","","4.56","5.5","7.72","5.27","5.92","6.49","8.3","12.7","8.52","5.87","11.7","4.93"
"80",="8464","億豐","335","+5","+1.52","0.5","","","-0.05","-1.31","-0.89","2.27","-1.23","2.71","-0.43","-3.93","-2.95","10.8","-0.02"
"81",="3227","原相","110","-0.5","-0.45","1.55","1.52","-0.5","0.67","0.67","1.55","0.99","0.62","1.17","0.78","-0.62","0.93","10.8","-0.11"
"82",="8070","長華*","33.4","-0.4","-1.18","4.11","-5.06","0.55","1.77","2.52","9.94","6.51","3.82","3.58","6.78","2.92","5.2","10.8","0.14"
"83",="9914","美利達","219.5","+8","+3.78","15.3","8.89","8.57","12.8","16.1","10.7","8.92","0.07","12.7","14.9","33.6","46.2","10.6","-1.23"
"84",="2211","長榮鋼","65","-0.3","-0.46","3.89","","","","","","","","2.09","2.78","2.01","2.01","10.6","0.13"
"85",="8215","明基材","40.1","-0.25","-0.62","0.79","-1.82","0.09","0.87","-0.81","-0.76","-2.28","2.49","-0.67","-0.19","-0.38","2.31","10.6","-0.36"
"86",="3044","健鼎","124","-1","-0.8","7.69","3.85","3.72","3.45","6.67","6.71","7.88","7.45","11","10.3","11.8","8.85","10.6","4.1"
"87",="1440","南紡","16.2","0","0","7.36","4.18","3.16","3.59","3.17","7.26","4.85","4.34","6.18","7.79","11.8","21.5","10.5","0.62"
"88",="5347","世界","80.5","-3","-3.59","2.98","1.02","2.73","2.25","2.9","3.27","1.59","0.52","3.17","4.49","1.51","1.88","10.4","3.35"
"89",="5371","中光電","74","-0.4","-0.54","6.69","4.99","4.66","2.55","5.75","6.82","6.89","4.91","5.66","5.01","11.4","11.4","10.2","2.16"
"90",="4958","臻鼎-KY","105","0","0","2.46","3.19","0.36","-1.16","0.67","10.4","6.9","-1.63","-1.79","1.5","-3.46","4.37","10.2","-3.18"
"91",="5434","崇越","175.5","-3.5","-1.96","2.99","2.36","0.95","0.93","1.35","1.45","1.45","1.04","2.75","3.63","4.98","4.88","10.1","2.39"
"92",="2617","台航","31.2","-0.4","-1.27","2.66","2.17","2.04","4.3","1.88","0.12","-0.06","1.45","2.73","1.62","2.51","3.06","10.1","-0.8"
"93",="2498","宏達電","55.9","-0.9","-1.58","37.9","26.4","6.31","37.7","13.1","-13.8","40.2","4.67","312","4.31","3.65","10.1","9.9","2.8"
"94",="2363","矽統","17.55","0","0","2.79","3.25","0.09","1.05","1.71","3.64","2.03","0.74","2.3","1.38","1.91","5.51","9.83","0.05"
"95",="2439","美律","93.2","-0.9","-0.96","5.24","1.28","1.53","-0.32","1.2","-0.39","8.17","16.8","4.23","10.1","5.62","4.84","9.76","0"
"96",="2025","千興","5.48","-0.07","-1.26","0.43","-0.53","0.41","0.16","-0.19","-0.89","0.39","0.09","-4.29","0.19","0.12","0.11","9.56","0.01"
"97",="6531","愛普*","310","-5","-1.59","1.34","","","","0.7","0.53","-0.19","-1.15","0.55","-3.47","4.21","1.44","9.49","0.19"
"98",="2353","宏碁","31.3","-0.65","-2.03","-14","-9.44","-32.1","-96.5","-0.93","-0.92","-59.2","-2.31","5.14","6.34","-0.31","12.7","9.46","7.04"
"99",="8234","新漢","54","-2.2","-3.91","1.22","0.34","0.06","0.59","2.66","0.01","-0.48","0.47","1.42","-0.17","0.01","0.29","9.44","0.13"
"100",="2607","榮運","28.85","-0.15","-0.52","2.25","4.59","1.2","1.58","1.92","0.78","-0.03","2.22","1.16","0.97","0.81","2.46","9.38","0.96"
"101",="6456","GIS-KY","70.4","-1.7","-2.36","3.47","","-1.13","-2.86","-1.89","-0.22","0.46","-4.33","8.59","8.76","13.7","7.82","9.26","5.36"
"102",="2337","旺宏","32.25","-0.1","-0.31","5.32","3.05","-1.17","0.03","-1.47","8.23","-1.13","-2.17","27.6","-0.73","-0.25","22.6","9.23","0.51"
"103",="3533","嘉澤","829","-15","-1.78","1.74","-0.14","-0.5","0.67","2.62","3.1","1.67","0.33","1.72","0.81","-0.38","1.81","9.2","0.06"
"104",="2395","研華","374.5","-7.5","-1.96","4.48","3.18","3.74","5","5.47","3.61","4.66","7.55","5.27","0.74","0.92","4.55","9.11","1.79"
"105",="6191","精成科","47.3","-0.9","-1.87","1.43","1.37","0.51","-1.65","0.55","-0.14","0.99","-0.73","0.12","0.99","-0.05","6.15","9.04","0.72"
"106",="2316","楠梓電","27.9","-0.3","-1.06","8.64","4.02","3.51","2.14","0.83","58.6","-0.15","0.46","5.5","7.4","5.96","6.41","8.96","1.28"
"107",="3010","華立","81.5","+0.7","+0.87","5","4.1","4.8","6.2","4.99","3.13","1.32","5.1","2.83","3.92","5.28","9.43","8.92","0.17"
"108",="2636","台驊投控","72","-1.2","-1.64","1.4","-0.33","-0.02","-0.03","0.49","0.85","0.33","-0.42","0.31","0.14","0.05","6.72","8.72","0.76"
"109",="3592","瑞鼎","315","-6.5","-2.02","0.84","","-0.65","0.79","1.25","1.16","0.22","-1.22","0.36","-0.07","-1.05","-0.28","8.68","0.12"
"110",="2331","精英","31.05","-0.5","-1.58","5.85","5.24","1.2","29","4.23","1.43","4.57","3.79","3.53","0.74","3.78","4.29","8.47","0.59"
"111",="9921","巨大","232","+0.5","+0.22","2.78","4","-0.15","3.56","6.53","2.26","5.25","-0.47","3.42","0.77","-0.25","0.19","8.24","-1.65"
"112",="8150","南茂","35.25","-0.85","-2.35","1.7","-3.04","-0.17","12.2","10.2","1.98","-2.98","-7.24","-3.17","5.73","-5.93","4.73","8.11","0.43"
"113",="3532","台勝科","160","-1","-0.62","0.49","","-0.54","-0.18","0.58","0.46","-0.56","-1.35","2.28","0.5","-2.7","-1.25","8.09","0.14"
"114",="1718","中纖","8.06","-0.03","-0.37","12.7","9.57","7.09","15.8","25.4","6.21","8.84","10.3","6.95","4.63","41.9","8.17","8.07","1.28"
"115",="1476","儒鴻","495","-4.5","-0.9","0.64","0.09","-0.36","0.28","2.31","2.83","-0.51","-4.36","1.68","-0.49","-1.73","-0.13","8.03","-0.4"
"116",="2506","太設","9.21","-0.03","-0.32","2.07","-1.75","2.83","8.92","0.53","1","0.86","1.2","0.96","0.53","0.91","1","7.83","-0.08"
"117",="1626","艾美特-KY","19.5","+1.45","+8.03","0.97","0.01","1.42","2.85","-1.12","-0.59","0.16","0.53","0.04","0.33","0.03","0.13","7.82","-0.18"
"118",="6269","台郡","92.8","-0.8","-0.85","2.87","1.84","2.31","4.63","2.75","2.59","-0.93","-0.84","3.28","2.05","3.58","5.41","7.81","1.05"
"119",="2385","群光","100.5","0","0","10.4","29.9","8.96","7.3","9.24","6.14","3.31","15.2","3.86","19.2","5.55","8.39","7.79","3.5"
"120",="1312","國喬","18.65","-0.15","-0.8","14.5","5.52","18.8","5.83","3.1","1.59","9.17","17","13.2","13.7","33.5","44.4","7.71","0.25"
"121",="8926","台汽電","52.5","+0.1","+0.19","9.2","12.4","10.5","10.9","17","10.2","8.37","8.88","4.13","8","6.52","5.86","7.7","6.37"
"122",="8415","大國鋼","35.4","-0.2","-0.56","-0.82","-0.73","-1.42","-0.85","-1.22","-2.01","-1.6","-1.73","-1.02","-4.58","-3.28","0.9","7.68","-1.58"
"123",="2108","南帝","36.55","-0.6","-1.62","0.93","0.74","0.65","0.51","0.82","1.19","0.09","-0.54","1.9","0.51","-1.15","-1.15","7.57","0.62"
"124",="6111","大宇資","110.5","+2.5","+2.31","2.02","0.14","0.9","0.05","-0.06","1","-0.31","-0.11","-0.08","5.53","-0.44","10.3","7.35","-0.14"
"125",="3055","蔚華科","38.25","-0.85","-2.17","1.09","0.07","0.52","-4.52","0.35","6.24","0.62","0.07","0.7","0.59","1.09","0.04","7.33","2.08"
"126",="6415","矽力*-KY","367.5","-12.5","-3.29","0.74","-0.69","-0.11","-0.04","0.24","0.86","0.57","-0.09","0.17","0.78","2.16","-2.23","7.29","3.63"
"127",="3673","TPK-KY","43.1","-2.2","-4.86","0.24","-19.4","-0.2","-10.9","4.31","-26.6","6.29","6.65","8.95","6.56","8.62","11.6","7.1","4.06"
"128",="3376","新日興","89.2","-0.8","-0.89","0.83","0.71","-1.07","1.2","2.73","0.77","0.11","-2.59","2.15","0.83","-2.52","0.56","7.09","0.2"
"129",="6670","復盛應用","230","+4.5","+2","1.45","","","","0.24","4.12","2.6","-2.49","2.02","0.74","-1.66","0.56","6.96","-0.35"
"130",="4743","合一","205","-1","-0.49","2.17","","0.55","4.29","3.4","0.04","0.99","-0.17","-1.13","-0.15","4.23","4.82","6.93","-0.18"
"131",="2702","華園","25.55","-0.25","-0.97","0.1","-0.05","-0.11","-0.26","-0.1","-0.31","-0.67","-0.98","3.16","-1.91","-2.93","-1.39","6.76","-0.66"
"132",="3708","上緯投控","90.9","+0.4","+0.44","1.48","","","","","0","-0.32","1.13","-0.37","3.33","1.65","-0.27","6.73","-0.16"
"133",="9917","中保科","109.5","-1.5","-1.35","0.69","1","-0.02","0.48","1.36","1.81","-16","4","-0.16","1.46","3.45","4.2","6.67","0.77"
"134",="1319","東陽","51.9","+0.8","+1.57","3.42","5.32","1.38","3.07","1.12","2.37","2.79","5.06","5.67","1.93","3.45","2.24","6.66","-0.95"
"135",="2027","大成鋼","47.15","-0.35","-0.74","-9.74","-3.41","-5.57","-1.18","-4.9","-0.43","-8.44","-20.2","-2.36","-22.8","-19","-35.2","6.6","-2.17"
"136",="2641","正德","17.65","-0.15","-0.84","-0.16","0.12","-0.12","-0.13","-0.11","-0.51","-0.63","-5.28","-0.57","-0.74","-0.44","-0.05","6.54","0.06"
"137",="1313","聯成","14.3","-0.2","-1.38","3.63","8.04","2.92","8.15","-0.06","-0.25","1.11","9.39","-1.29","1.76","4.1","3.21","6.5","1.01"
"138",="6770","力積電","30.15","-0.5","-1.63","-3.88","","","","","","","","-2.47","-5.16","-9.45","-8.76","6.45","-0.94"
"139",="2345","智邦","351","-10","-2.77","1.69","1.02","0.63","3.04","4.45","0.02","0.67","-0.16","2.25","0.9","-1.9","2.9","6.43","-0.47"
"140",="2206","三陽工業","83.8","-1.4","-1.64","8.88","5.76","5.1","6.22","6.99","40.2","-4.38","1.59","12.7","19.6","5.35","1.19","6.33","1.36"
"141",="4919","新唐","131","-3","-2.24","1.61","0.05","0.62","0.66","0.91","0.86","1.04","0.86","0.84","0.83","4.21","2.18","6.29","3.65"
"142",="6414","樺漢","290","-1.5","-0.51","3.42","0.26","0.16","0.39","0.82","1.23","1.38","4.87","7.08","4.35","3.03","11.2","6.26","2.77"
"143",="4536","拓凱","190","-2.5","-1.3","1.37","1.46","0.34","1.49","0.81","2.36","4.36","-0.48","1.59","0.22","-2.11","0.25","6.2","-0.67"
"144",="1315","達新","71","+0.1","+0.14","7.73","5.8","1.2","1.21","1.78","2.05","2.23","1.24","2.52","6.93","59","2.73","6.16","0.23"
"145",="6592","和潤企業","148.5","-1","-0.67","4.1","","","","","","8.93","6.75","-1.32","0.54","4.29","3.42","6.06","0.4"
"146",="6257","矽格","56.7","-1.1","-1.9","1.01","0.16","0.91","0.7","0.93","0.82","0.33","-0.04","0.67","-0.01","-0.6","2.22","6","0.01"
"147",="2401","凌陽","28.75","-1.3","-4.33","2.25","-9.07","-4.6","1.8","3.91","3.71","1.3","5.87","2.94","1.12","2.69","11.3","5.94","0.53"
"148",="8421","旭源","15.35","-0.05","-0.32","0.24","0.22","-0.18","-0.11","-0.02","-0.08","0.09","-0.79","0.04","-0.29","-0.97","-0.91","5.9","0"
"149",="2373","震旦行","76.1","+0.3","+0.4","5.9","4.83","4.45","5.5","5","7.82","5.71","9.99","5.44","5.62","5.08","5.52","5.88","0.85"
"150",="8942","森鉅","68.6","+0.3","+0.44","0.96","0.57","-0.65","1","1.58","1.66","0.09","-14.4","2.3","1.26","5.55","6.65","5.86","0.15"
"151",="8131","福懋科","43.55","-0.5","-1.14","1.48","","-0.02","2.13","0.3","-0.66","0.21","4.18","2.38","1.24","0.18","0.52","5.85","0.12"
"152",="3022","威強電","92.9","-2.1","-2.21","5.47","7.98","4.71","9.61","10.8","4.76","4.07","1.9","6.47","2.63","3.68","3.18","5.85","1.48"
"153",="2014","中鴻","23.35","-0.45","-1.89","3.1","7.15","-0.26","-0.3","-0.56","15.7","-1.31","0.33","1.58","2.28","1.9","4.89","5.76","0.13"
"154",="2645","長榮航太","114","+0.5","+0.44","1.88","","","","","","","","","3.44","-0.9","-0.71","5.7","0.18"
"155",="3042","晶技","88.6","-1.5","-1.66","1.75","0.62","0.45","1.11","1.42","1.79","0.78","2.73","2","1.32","0.91","2.22","5.62","0.06"
"156",="4766","南寶","161.5","-3","-1.82","1.23","","","","","-0.73","0.26","-0.32","1.35","1.11","1.04","1.5","5.61","3.78"
"157",="1444","力麗","11.2","0","0","1.56","-0.6","0.12","5.57","3.41","1.51","-0.34","-1.19","3.07","-1.01","-2.1","4.82","5.5","0.27"
"158",="9802","鈺齊-KY","140","+1.5","+1.08","0.59","0.72","0.24","0.22","0.36","0.88","2.02","-1.11","0.95","0.55","-2.24","-0.8","5.29","-0.54"
"159",="2634","漢翔","59.4","-0.8","-1.33","1.1","","-2.36","1.08","3.84","3.29","-1.32","-4.91","3.06","-0.74","3","1.83","5.28","0.56"
"160",="2388","威盛","84.2","+0.4","+0.48","17.4","0.07","-3.11","8.05","-4.17","26.8","14.7","13.7","13.3","9.29","64","61.4","5.27","1.33"
"161",="6285","啟碁","107","-0.5","-0.47","2.02","1.43","-0.51","1.77","0.72","2.02","-0.47","1.29","2.1","2.88","2.53","5.31","5.22","-1.07"
"162",="1519","華城","149.5","0","0","0.69","0.47","0.25","0.24","-0.02","-0.24","-0.15","-0.31","0.62","1.7","0.75","-0.26","5.21","0.17"
"163",="1736","喬山","78.1","-0.7","-0.89","3.26","0.37","1.01","2.11","19.4","2.09","3.86","0.88","2.41","1.24","0.45","0.1","5.19","-1.27"
"164",="3023","信邦","369","-2.5","-0.67","2.05","0.86","0.36","1.34","0.93","3.03","1.79","2.26","2.88","2.76","0.79","2.41","5.16","0.83"
"165",="3293","鈊象","609","-1","-0.16","0.35","0.36","0.21","0.47","0.51","0.34","0.43","-0.65","0.68","-0.53","-1.67","-1.11","5.14","0.16"
"166",="6548","長科*","42.3","-1.9","-4.3","1.25","","","","0.05","0.14","1.35","2.34","1.12","0.66","0.06","0.39","5.13","0.7"
"167",="3006","晶豪科","77.4","-3","-3.73","1.61","-0.17","-2.53","3.04","3.93","1.45","3.6","2.43","0.42","0.01","0.99","1.06","5.13","0.04"
"168",="2387","精元","44.65","-0.85","-1.87","0.47","-0.55","-0.03","-1.8","-0.64","1.95","2.27","-1.17","1.97","3.04","-3.2","-1.27","5.09","-1.07"
"169",="2356","英業達","44.6","-0.1","-0.22","12.5","18.2","-0.86","14.1","25.7","17.8","-10.9","-15.4","6.43","1.06","59","29.7","5.08","-1.52"
"170",="3679","新至陞","82.8","0","0","0.62","-0.08","0.08","0.33","0.92","1.39","1.47","-0.98","1.42","0.46","-1.94","-0.65","5.04","0.02"
"171",="1503","士電","150.5","+0.5","+0.33","3.98","2.44","1.55","7.83","3.96","3.93","2.94","4.32","5.09","3.6","2.4","4.75","5.01","1.01"
