"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(億)","2011業外損益(億)","2012業外損益(億)","2013業外損益(億)","2014業外損益(億)","2015業外損益(億)","2016業外損益(億)","2017業外損益(億)","2018業外損益(億)","2019業外損益(億)","2020業外損益(億)","2021業外損益(億)","2022業外損益(億)","23Q1業外損益(億)"
"596",="6508","惠光","37.1","-0.55","-1.46","0.3","0.17","-0.03","0.23","0.19","0.17","0.09","-0.44","0.33","-0.04","-0.39","2.3","1","-0.04"
"597",="3563","牧德","236.5","+1","+0.42","0.11","0.16","0.53","0.1","0.22","0.13","0.01","-0.19","0.38","-0.18","-0.65","-0.24","1","-0.02"
"598",="1725","元禎","21.6","-0.65","-2.92","0.33","0.12","-2.52","0.02","0.27","0.67","0.33","0.28","0.61","0.68","1.24","1.25","1","-0.04"
"599",="3624","光頡","58.5","-0.5","-0.85","0","0.02","0.05","0.33","0.83","0.49","-0.4","-0.54","-1.58","0.03","-0.09","-0.18","1","-0.01"
"600",="6732","昇佳電子","321.5","-5.5","-1.68","0.33","","","","","","","-0.03","0.06","0.11","0.13","0.71","0.99","0.2"
"601",="6546","正基","86.1","-2.7","-3.04","0.17","","","","0.17","0.3","-0.01","-0.06","0.27","-0.2","-0.14","0.18","0.99","0"
"602",="6835","圓裕","42.85","-0.75","-1.72","0.14","","","","","","","","","0.02","-0.36","-0.09","0.99","-0.1"
"603",="6803","崑鼎","316","+4.5","+1.44","0.62","0.04","0.37","0.23","0.7","0.75","0.31","0.39","1.06","1.03","0.72","0.83","0.98","0.22"
"604",="4609","唐鋒","8.29","+0.24","+2.98","0.35","0.3","0.19","0.13","0.28","0.19","0.17","0.36","0.37","0.37","0.35","0.54","0.98","0.15"
"605",="6451","訊芯-KY","122.5","-4.5","-3.54","0.97","-0.62","0.49","-0.67","0.37","3.07","4.1","-1.7","2.02","1.65","0.45","1.47","0.98","0.33"
"606",="6715","嘉基","136","-3","-2.16","0.03","","","","","0.08","-0.07","0.02","-0.07","-0.2","-0.45","-0.07","0.97","-0.17"
"607",="5536","聖暉*","146.5","-1","-0.68","0.31","0.33","-0.27","0.56","0.31","0.37","-0.06","-0.85","1.17","0.88","-0.07","0.39","0.97","0.54"
"608",="6863","永道-KY","166.5","-2","-1.19","0.6","","","","","","","","","","0.54","0.28","0.97","0.19"
"609",="2010","春源","19.1","+0.25","+1.33","2.15","5.08","1.08","1.35","1.36","6.95","1.45","2.01","0.96","1.32","1.29","1.99","0.97","0.37"
"610",="8410","森田","47.9","-0.75","-1.54","0.18","","0.05","0.29","1.38","0.2","-0.03","-0.44","0.28","-0.11","-0.44","-0.12","0.97","-0.01"
"611",="6569","醫揚","137","+1","+0.74","0.33","","","","0.1","0.08","-0.1","-0.17","0.46","0.53","0.42","0.66","0.97","0.29"
"612",="8093","保銳","24.35","+2.2","+9.93","0.18","0.17","0.07","0.1","0","0.16","0.3","0.15","0.13","-0.05","0.13","0.08","0.96","0.01"
"613",="2538","基泰","12.3","-0.05","-0.4","0.01","","0.94","1.42","1.49","-0.14","-1.98","0.25","0.69","-1.83","-0.86","-0.82","0.96","19.5"
"614",="6124","業強","47.1","-0.55","-1.15","0.37","0.15","-0.33","0.12","-0.07","0.36","3.65","-0.64","0.35","0.11","-0.15","-0.05","0.96","0.07"
