"排名","代號","名稱","成交","漲跌價","漲跌幅","平均EPS(元)","20Q3EPS(元)","20Q4EPS(元)","21Q1EPS(元)","21Q2EPS(元)","21Q3EPS(元)","21Q4EPS(元)","22Q1EPS(元)","22Q2EPS(元)","22Q3EPS(元)","22Q4EPS(元)","23Q1EPS(元)","23Q2EPS(元)"
"1397",="2596","綠意","21.7","+0.3","+1.4","0.4","0.68","0.69","-0.11","0.57","1.47","1.12","0.65","-0.15","0.1","-0.02","-0.12","-0.12"
"1398",="2630","亞航","32.35","-0.05","-0.15","0.07","0.22","0.07","0.18","0.27","0","0.12","-0.09","0.13","0.04","0.03","0.02","-0.18"
"1399",="1732","毛寶","25.25","+0.75","+3.06","0.07","0.01","0.32","0.15","0.24","-0.01","0.08","0.03","0.15","0.05","-0.11","-0.05","0.02"
"1400",="5514","三豐","20.05","0","0","0.01","0.37","-0.04","-0.06","-0.06","0.16","-0.07","-0.05","-0.03","0.09","-0.08","-0.07","-0.05"
"1401",="8932","宏大","73.7","-1.3","-1.73","-0.12","0.05","-0.38","-0.2","-0.2","-0.18","-0.68","0.3","0.06","-0.19","-0.64","0.06","0.59"
"1402",="2923","鼎固-KY","22.55","-0.45","-1.96","0.2","0.65","0.29","0.44","0.33","-0.08","-0.01","0.83","-0.2","-0.24","-0.04","0.22",""
"1403",="8489","三貝德","23.7","+0.15","+0.64","-0.16","0.43","0.14","0.34","-0.28","0.28","-1.14","-0.11","-0.48","-0.09","-0.39","-0.14","-0.43"
"1404",="2734","易飛網","45.5","+0.9","+2.02","-0.3","-0.45","-0.22","-0.48","-0.28","-0.59","-0.98","-0.55","0.09","-0.04","-0.76","0.12","0.52"
"1405",="2002","中鋼","26.6","-0.25","-0.93","0.46","-0.04","0.3","0.58","1.02","1.28","1.14","0.7","0.65","0.13","-0.32","-0.05","0.07"
"1406",="6506","雙邦","17.85","0","0","0.34","0.14","-0.09","0.48","0.38","0","-0.02","2.54","0.58","0.26","-0.18","0.19","-0.14"
"1407",="1457","宜進","17.35","+0.1","+0.58","0.5","0.79","-0.17","0.31","0.5","0.14","-0.05","4.31","0.02","0.16","0.05","0.11","-0.19"
"1408",="4744","皇將","31.05","0","0","0.27","0.45","0.56","0.08","0.07","0.84","0.72","0.01","0.66","0.8","-0.21","-1.29","0.53"
"1409",="3011","今皓","32.9","+0.05","+0.15","-0.02","-0.23","-0.37","-0.29","-0.16","-0.05","1.09","-0.07","-0.1","0.03","0.03","-0.29","0.14"
"1410",="6560","欣普羅","30.55","+0.05","+0.16","1.4","2.21","3.22","2.65","2.51","3.15","1.86","1.05","0.39","0.37","-0.31","-0.31","0.06"
"1411",="1314","中石化","9.19","-0.02","-0.22","0.05","-0.17","0.19","0.18","0.46","0.36","0.06","-0.09","-0.12","0.43","-0.16","-0.27","-0.22"
"1412",="1626","艾美特-KY","17.55","+0.4","+2.33","0.14","-0.46","0.01","-0.26","-0.27","-1.01","-0.59","2.99","1.45","-0.17","-1.02","-0.22","1.17"
"1413",="1474","弘裕","11.95","0","0","0.17","0.21","0.44","0.35","0.36","0.26","0.14","0.26","0.18","0.2","-0.05","-0.15","-0.18"
