"排名","代號","名稱","成交","漲跌價","漲跌幅","平均EPS(元)","20Q3EPS(元)","20Q4EPS(元)","21Q1EPS(元)","21Q2EPS(元)","21Q3EPS(元)","21Q4EPS(元)","22Q1EPS(元)","22Q2EPS(元)","22Q3EPS(元)","22Q4EPS(元)","23Q1EPS(元)","23Q2EPS(元)"
"1",="8080","永利聯合","10.5","+0.3","+2.94","0.49","-0.07","-0.38","-0.14","0.06","0.2","-1.35","-0.26","-0.07","7.19","0.37","0.12","0.15"
"2",="9950","萬國通","19.95","+1.8","+9.92","-0.07","-0.49","-0.32","-0.59","-2.13","-0.75","-0.74","-0.58","-0.91","0.1","-0.12","0.15","5.59"
"3",="6409","旭隼","1565","+65","+4.33","9.45","6.33","5.25","4.87","7.09","7.91","7.27","5.75","14.71","17.3","13.17","8.55","15.16"
"4",="6204","艾華","74.9","+0.1","+0.13","2.6","0.82","0.37","0.99","10.1","1.07","0.25","0.23","0.32","0.28","0.09","-0.08","16.81"
"5",="3293","鈊象","571","+12","+2.15","13.64","13.22","12.9","16.73","16.62","17.09","16.77","18.74","9.46","10.59","9.46","10.24","11.81"
"6",="4944","兆遠","9.98","+0.9","+9.91","-0.21","-0.03","-0.93","-0.41","-0.36","-0.08","-2.71","-0.44","-0.45","-1.14","-0.42","-0.44","4.88"
"7",="3529","力旺","1810","+40","+2.26","4.18","2.27","2.6","3.93","3.27","3.72","3.86","4.91","5.48","5.45","5.77","4.2","4.71"
"8",="3443","創意","1365","+80","+6.23","4.76","0.8","4.54","2.3","1.64","3.11","3.84","4.07","5.67","7.9","10.05","6.97","6.26"
"9",="2025","千興","5.76","-0.05","-0.86","0.4","-0.1","-0.08","0.14","0.03","0.46","0.35","1.3","-0.24","1.34","0.38","-0.05","1.3"
"10",="5209","新鼎","162.5","+0.5","+0.31","2.33","1.59","1.11","1.91","1.48","1.72","4.92","1.33","1.23","3.22","3.02","2.89","3.48"
"11",="5278","尚凡","176.5","-1.5","-0.84","3.54","2.51","3.94","3.13","4.51","4.4","4.5","3.31","4.87","2.4","3.11","3.18","2.68"
"12",="1218","泰山","24.95","+0.3","+1.22","1.12","0.7","0.32","0.34","0.28","0.29","0.31","0.29","0.27","0.32","11.29","-0.14","-0.79"
"13",="2404","漢唐","230.5","+5.5","+2.44","4.98","6.76","4.64","3.92","2.92","3.5","4.19","2.79","4.63","8.43","5.34","6.01","6.6"
"14",="3308","聯德","44.5","+1.7","+3.97","0.45","-0.25","-0.39","0.05","-0.31","-0.04","0.05","-0.29","-0.12","0.26","0.43","5.19","0.86"
"15",="8476","台境","62.5","+1.4","+2.29","0.81","-0.64","0.17","-0.05","-0.04","-0.42","0.02","0.41","0.31","1.03","5.44","0.18","3.29"
"16",="2345","智邦","403","+4.5","+1.13","2.99","2.69","2.45","2.02","1.72","1.96","2.74","2.31","3.71","4.41","4.2","3.65","4.02"
"17",="4728","雙美","195","+2","+1.04","1.8","0.35","1.87","1.16","0.82","0.76","1.77","2.44","2.55","2.52","2.29","2.35","2.66"
"18",="6472","保瑞","718","+27","+3.91","5.31","1.34","8.1","6.18","2.54","2.04","2.06","2.38","3.51","7.57","5.37","13.62","9.01"
"19",="5904","寶雅","494","-7","-1.4","5.2","7.03","5.43","6.2","2.91","3.92","5.49","5.01","2.84","6.07","6.43","6.43","4.59"
"20",="5274","信驊","2275","+150","+7.06","10.01","6.82","6.74","7.21","8.8","10.04","12.26","13.64","14.91","15.83","12.59","4.93","6.37"
"21",="8478","東哥遊艇","458","+16.5","+3.74","3.39","-3.27","1.81","0.1","4.48","2","2.94","4.4","6.15","4.72","4.66","7","5.68"
"22",="4763","材料-KY","813","+42","+5.45","3.72","1.62","3.98","1.62","1.91","1.84","1.06","6.82","3.54","5.28","5.83","7.44",""
"23",="8420","明揚","78.4","+0.9","+1.16","2","0.72","0.79","0.43","1.16","1.52","1.54","1.75","2.94","3.18","3.69","3.1","3.16"
"24",="6669","緯穎","1700","-10","-0.58","16.07","12.85","15.63","9.72","13.2","11.59","14.95","13.42","20.37","24.69","22.59","18.86","14.96"
"25",="8454","富邦媒","530","+1","+0.19","4.26","3","4.37","5.57","4.86","3.83","5.03","4.53","3.81","3.46","4.67","4.07","3.86"
"26",="2752","豆府","255.5","-1.5","-0.58","2.6","3.72","2.54","2.64","0.28","0.03","3.76","2.69","0.66","3.25","4.12","4","3.54"
"27",="6691","洋基工程","279.5","+11","+4.1","4.95","1.16","4.35","3.32","5.07","3.73","4.78","4.68","6.23","8.17","6.38","5.81","5.71"
"28",="6488","環球晶","457.5","+6.5","+1.44","8.4","7.79","7.9","6.18","9.09","7.13","4.87","4.01","6.24","11.75","13.31","11.49","11"
"29",="2443","昶虹","3.4","+0.2","+6.25","-0.17","-0.91","-1.18","-0.33","-0.25","-0.09","-0.07","-0.2","-0.18","-0.19","1.06","0.35","-0.04"
"30",="6294","智基","110.5","-2","-1.78","2.7","2.74","2.98","2.86","4.28","2.2","2.21","1.63","3.53","1.9","2.91","1.6","3.56"
"31",="3218","大學光","379.5","0","0","2.41","2","1.67","1.96","1.68","1.76","2.42","2.8","2.46","2.58","3.05","3.33","3.25"
"32",="3093","港建*","32.1","+0.95","+3.05","1.63","0.72","2.01","1.19","1.45","2.35","2.42","0.86","3.31","3.38","0.76","0.4","0.68"
"33",="6263","普萊德","125","+2.5","+2.04","1.56","1.07","1.36","1.02","1.33","1.27","1.52","1.25","1.76","1.78","2.22","1.81","2.32"
"34",="6670","復盛應用","196","+1.5","+0.77","5.73","1.01","3.72","5.84","4.35","3.34","4.5","7.59","10.29","10.34","8.43","5.42","3.96"
"35",="3056","總太","48","-3.1","-6.07","1.47","-0.13","3.87","3.62","-0.19","-0.18","-0.23","-0.24","1.58","5.14","3.54","0.06","0.78"
"36",="5287","數字","222.5","-0.5","-0.22","3.37","3.91","3.23","2.9","3.62","3.32","3.39","3","3.41","3.41","3.31","3.27","3.72"
"37",="9906","欣巴巴","58.4","-0.2","-0.34","1.07","-0.2","-0.46","-0.31","-0.37","3.17","0.65","1.8","2.67","0.59","0.02","0.55","4.73"
"38",="5508","永信建","72","+0.9","+1.27","1.9","1.07","1.76","1.22","2.39","1.44","3.85","1.89","0.79","2.94","1.43","1.19","2.77"
"39",="3034","聯詠","388.5","-1","-0.26","11.71","5.6","5.99","9.66","16.08","20.16","17.97","18.3","13.95","7.07","6.64","7.81","11.29"
"40",="5258","虹堡","108","+3.5","+3.35","1.36","0.54","0.71","0.1","0.55","0.57","1.28","1.59","1.65","2.61","2.54","2.18","2"
"41",="1795","美時","259.5","-8.5","-3.17","2.43","1.15","1.31","1.85","1.42","1.37","0.99","1.72","1.26","7.99","0.64","4.58","4.85"
"42",="6515","穎崴","606","+19","+3.24","5.33","5.14","3.88","1.38","2.53","3.59","7.01","3.52","6.13","10.82","11.82","4.18","3.96"
"43",="3693","營邦","515","+4","+0.78","2.05","0.48","-0.01","0.56","0.69","0.41","1.42","0.42","2.75","3.58","5.08","3.75","5.43"
"44",="2707","晶華","231","+3","+1.32","2.75","1.59","1.74","2.11","0.87","11.8","2.31","1.97","0.69","2.07","2.35","2.84","2.7"
"45",="2338","光罩","69.3","+1.5","+2.21","1.17","1.32","2.42","1.63","-0.3","2.89","1.3","-1.14","-1.57","2.76","3.27","1.01","0.49"
"46",="2330","台積電","544","+2","+0.37","7.33","5.3","5.51","5.39","5.18","6.02","6.41","7.82","9.14","10.83","11.41","7.98","7.01"
"47",="6146","耕興","248.5","+3.5","+1.43","3.27","2.25","2.03","2.71","2.64","3.14","2.77","3.72","4.1","4.7","3.33","4.13","3.66"
"48",="1519","華城","236","+15.5","+7.03","0.7","0.66","0.59","0.04","0.25","0.18","0.65","-0.03","0.89","0.52","1.83","0.79","2.08"
"49",="1808","潤隆","87.8","+0.9","+1.04","0.85","0.34","0.27","1.24","0.81","0.79","1.53","0.11","0","-0.23","0.49","1.89","3"
"50",="2546","根基","71.7","+1","+1.41","1.98","1.19","1.81","1.1","2.67","1.45","1.76","1.37","1.39","2.29","4.18","1.43","3.13"
"51",="8046","南電","236.5","+0.5","+0.21","4.68","1.62","2.05","2.45","3.61","4.82","5.5","6.01","7.53","8.54","7.97","3.6","2.43"
"52",="2727","王品","289","+4.5","+1.58","1.61","3.63","2.1","1.8","-2.79","-1.45","1.04","1.64","-2.97","3.74","2.74","5.01","4.84"
"53",="8924","大田","85.2","+1.5","+1.79","4.07","2.58","1.84","3.88","5.6","6.06","4.61","3.12","7.43","4.41","6.43","1.18","1.74"
"54",="3558","神準","304","+18.5","+6.48","3.8","2.06","2.51","1.83","1.68","2.47","3.18","4.78","3.97","6.33","6.62","5.14","5.09"
"55",="5403","中菲","108.5","+2.5","+2.36","1.71","1.29","2.03","1.04","1.16","2.06","1.82","1.33","1.41","1.82","2.37","1.71","2.47"
"56",="9910","豐泰","170.5","-2.5","-1.45","1.71","1.65","1.37","1.86","1.93","-0.47","1.83","2.35","2.93","3.09","1.93","0.85","1.21"
"57",="3043","科風","52","+1.2","+2.36","0.21","0.03","-0.19","-0.01","0.03","-0.11","0.06","0.21","0.27","0.16","0.32","0.24","1.5"
"58",="2603","長榮","106","+2","+1.92","10.35","1.7","2.79","7.04","8.09","15.33","15.39","19.16","19.33","22.79","7.78","2.38","2.41"
"59",="9802","鈺齊-KY","121.5","-2","-1.62","2.65","1.05","1.05","1.75","0.7","1.84","2.09","2.89","5.17","6.93","3.21","2.5",""
"60",="8109","博大","110.5","+2","+1.84","1.77","1.23","1.27","1.19","1.34","1.53","1.31","2.07","2.21","3.51","1.27","1.83","2.5"
"61",="2364","倫飛","79.3","+0.7","+0.89","0.56","0.14","0.06","0","0.05","0.44","0.29","0.42","0.96","1.44","0.39","0.76","1.78"
"62",="5483","中美晶","156.5","+4.5","+2.96","3.39","2.86","3","2.49","3.62","3.12","2.39","2.16","3.1","5.28","4.33","4.21","4.15"
"63",="6664","群翊","173","+5","+2.98","2.22","1.05","1.5","1.8","0.91","1.39","2.02","2.57","2.69","3.84","2.34","2.51","3.97"
"64",="2597","潤弘","102.5","+0.5","+0.49","2.67","2.36","3.72","2.74","3.22","2.54","3.07","1.59","2.59","3.97","2.99","1.26","1.96"
"65",="5536","聖暉*","157.5","+4.5","+2.94","5.08","3.48","5.05","3.13","5.82","5.72","6.43","6.16","6.42","5.57","5","3.75","4.47"
"66",="6613","朋億*","126.5","-1.5","-1.17","3.79","2.62","2.38","1.91","4.43","3.99","6.42","5.17","5.43","3.88","2.55","1.55","5.18"
"67",="4770","上品","284","+8.5","+3.09","4.41","1.55","3.24","2.79","3.04","4.03","4.15","4.58","5.65","5.94","6.41","6.81","4.75"
"68",="1475","業旺","51.7","+0.4","+0.78","1.86","0.02","0.79","0.46","-0.03","1.25","2.17","2.63","3.45","4.3","1.44","2.52","3.36"
"69",="6245","立端","107","+3","+2.88","1.72","1.6","1.25","0.9","0.7","1.05","1.99","0.95","1.97","2.87","2.74","2.16","2.46"
"70",="8442","威宏-KY","77.9","-0.1","-0.13","0.99","-0.69","-1.67","-0.75","0.99","0.04","0.97","1.08","3.59","3.42","2.52","1.4",""
"71",="6869","雲豹能源-創","89.3","-1","-1.11","1.24","","2.54","","1.06","-1.25","2.55","0.44","-0.49","2.3","1.7","0.72","2.84"
"72",="6703","軒郁","255","+13","+5.37","2.02","1.47","1.2","1.75","1.3","1.31","2.48","1.69","1.22","1.68","3.53","3.11","3.48"
"73",="4536","拓凱","163","+3","+1.88","3.94","2.39","2.01","2.51","1.99","1.81","2.85","3.15","7.88","9.38","4.48","3.6","5.2"
"74",="5903","全家","208.5","+1","+0.48","1.91","3.27","2.29","1.43","1.58","1.27","1.74","0.76","1.59","2.29","3.6","0.88","2.26"
"75",="2912","統一超","274","+2","+0.74","2.3","2.76","2.19","2.61","1.7","1.98","2.23","2.09","2.36","2.59","1.89","2.71","2.46"
"76",="3675","德微","275.5","-1.5","-0.54","1.86","0.43","0.36","1.02","1.9","2.2","2.24","2.44","2.85","2.72","2.25","1.7","2.25"
"77",="6561","是方","377.5","+10.5","+2.86","2.69","2.16","2.32","2.38","2.24","2.49","2.65","2.79","2.87","2.91","3.29","3.17","3.06"
"78",="1342","八貫","105","+3","+2.94","1.38","1.21","0.53","0.75","0.84","1.12","1.21","1.52","1.86","1.92","2.06","1.49","2.02"
"79",="2395","研華","349","0","0","3.05","2.52","2.21","2.48","2.32","2.95","2.94","3.32","3.17","4.11","3.27","3.8","3.51"
"80",="5864","致和證","22.3","+0.2","+0.9","0.68","0.42","1.01","0.55","1.63","-0.12","0.76","0.25","-1.51","0.25","0.19","1.55","3.17"
"81",="6196","帆宣","140","+5","+3.7","2.37","1.25","1.09","1.11","2.14","2.38","2.62","1.9","2.52","4.23","2.7","2.33","4.18"
"82",="3037","欣興","180.5","+2.5","+1.4","2.99","1.09","1.4","1.49","1.24","2.87","3.39","3.85","5.44","5.8","4.99","2.7","1.57"
"83",="8234","新漢","51.6","+2.1","+4.24","0.76","0.28","0.42","-0.24","0.08","0.55","0.6","0.66","0.7","4.61","0.42","0.92","0.09"
"84",="3130","一零四","206.5","-0.5","-0.24","2.98","2.45","2.07","3.13","2.67","2.57","2.79","3.7","4.02","3.64","2.06","2.85","3.86"
"85",="6469","大樹","347","-3","-0.86","1.65","0.87","1.14","1.04","2.2","1.5","1.61","1.33","2.75","1.9","1.89","1.74","1.86"
"86",="8433","弘帆","82.1","0","0","1.66","0.88","1.07","0.75","0.26","1.37","1.62","1.63","2.85","4.2","0.99","1.23","3.11"
"87",="2379","瑞昱","407.5","-3.5","-0.85","6.94","4.92","5.15","5.98","8.43","9.57","9.02","10.15","9.14","8.21","4.16","3.5","5.08"
"88",="3017","奇鋐","363","+13","+3.71","2.45","1.81","1.46","1.53","2.25","2.42","2.01","2.11","3.1","3.51","3.06","2.85","3.28"
"89",="6414","樺漢","261.5","-7","-2.61","5.28","3.02","3.81","2.06","2.9","3.71","5.26","2.98","4.18","6.15","19.31","4.64","5.29"
"90",="2480","敦陽科","114.5","+1.5","+1.33","1.59","1.1","1.29","1.35","1.27","1.29","2.09","1.71","1.6","1.71","1.88","1.99","1.79"
"91",="2482","連宇","52.3","+1.3","+2.55","0.41","-0.38","-0.24","-0.43","0.03","0.31","0.19","0.84","0.54","0.81","0.87","1.12","1.24"
"92",="8464","億豐","310","-1","-0.32","4.76","5.05","4.41","4.38","4.18","4.7","4.89","5.14","5.66","5.24","5.02","3.85","4.62"
"93",="3046","建碁","70.3","+0.6","+0.86","0.49","-0.38","0.08","0.13","0.16","1.08","0.46","0.43","0.94","0.66","0.76","0.74","0.84"
"94",="6291","沛亨","171","+2","+1.18","0.85","0.27","0.18","0.26","0.27","0.22","0.54","1.07","0.47","1.85","0.84","2.01","2.21"
"95",="8938","明安","72","+0.8","+1.12","2.82","1.86","2.12","2.23","2.77","1.87","3.1","3.64","4.59","4.74","3.96","1.87","1.14"
"96",="6570","維田","59","+1.1","+1.9","0.94","0.22","0.03","0.52","0.8","1.12","1.14","0.83","1.04","2.52","1.17","0.77","1.11"
"97",="2718","晶悅","47.35","+1.9","+4.18","0.41","-0.1","-0.26","-0.1","-0.12","-0.07","-0.27","-0.12","-0.1","-0.17","-0.19","3.03","3.41"
"98",="6874","倍力","124.5","+1.5","+1.22","1.56","","3.31","1.98","1.66","0.95","1.62","1.32","1.35","0.62","1.86","1.4","1.08"
"99",="6412","群電","114","0","0","1.86","1.89","1.5","1.49","1.69","2.09","1.96","1.93","1.96","2.45","1.9","1.47","1.99"
"100",="1477","聚陽","304.5","+2.5","+0.83","3.25","3.63","2.18","2.92","2.37","3.33","2.83","3.69","3.04","4.59","3.21","3.92","3.33"
"101",="2368","金像電","206.5","+18.5","+9.84","1.52","1.07","0.66","1.1","1.34","1.46","1.51","1.5","2.7","2.57","1.83","0.88","1.68"
"102",="5609","中菲行","75.2","+0.2","+0.27","3.7","2.16","1.94","2.38","4.46","4.23","6.42","4.54","7.39","4.1","2.63","2","2.13"
"103",="2421","建準","147.5","+4","+2.79","0.87","0.93","0.61","0.37","0.3","0.35","0.69","0.61","1.2","1.42","1.11","1.11","1.72"
"104",="9942","茂順","135.5","+3.5","+2.65","1.9","1.29","1.35","1.5","1.91","1.77","1.31","1.68","1.49","2.5","2.15","2.54","3.37"
"105",="2206","三陽工業","73.4","+1.7","+2.37","1","0.92","0.22","0.74","0.54","0.54","0.47","1.25","0.84","1.17","0.67","1.71","2.87"
"106",="2538","基泰","13.95","+0.25","+1.82","0.12","-0.13","-0.03","0.01","-0.28","-0.05","0.01","0.15","0.16","0.38","-0.24","1.44","0.04"
"107",="6292","迅德","45.9","+0.1","+0.22","1.12","1.09","0.83","1.26","2.03","0.68","1.03","1.72","-1.06","1.7","1.59","0.73","1.88"
"108",="2916","滿心","44.75","-0.15","-0.33","0.8","0.1","1.34","0.7","-0.19","0.16","1.85","0.67","0.23","0.68","1.71","1.21","1.13"
"109",="2756","聯發國際","124","+1.5","+1.22","1.76","2.05","0.69","0.99","2.54","2.38","2.06","1.2","2.63","2.78","1.15","1.02","1.67"
"110",="6517","保勝光學","82.9","+2","+2.47","0.86","","1.3","-0.49","0.49","0.85","1.37","0.85","1.02","1.2","0.75","1.3","0.78"
"111",="5310","天剛","26.6","-0.6","-2.21","-0.15","-0.13","-1.25","-0.1","-0.33","-0.18","0.02","-0.25","-1.26","0.83","-0.39","1.03","0.19"
"112",="3653","健策","602","-7","-1.15","3.42","1.59","1.34","1.79","2.13","3.2","2.75","3.8","5.39","6.03","5.2","3.63","4.17"
"113",="3023","信邦","323.5","+2.5","+0.78","2.87","2.66","1.97","2.52","2.73","2.84","1.92","2.9","3.23","3.59","2.53","3.75","3.82"
"114",="5015","華祺","42.25","+0.3","+0.72","1.3","0.23","0.57","0.45","0.77","1.56","1.31","2.33","2.56","4.04","0.53","0.32","0.91"
"115",="3617","碩天","237.5","+11.5","+5.09","2.15","2.9","1.3","0.9","0.42","0.61","-2.84","1.59","4.32","6.02","2.18","2.56","5.81"
"116",="2643","捷迅","66.9","+0.4","+0.6","2.8","2.06","2.07","1.6","2.03","2.72","3.36","2.94","5.17","5.95","2.62","2.04","1.04"
"117",="5321","美而快","87.9","+2.1","+2.45","0.59","-2.86","-0.46","0.55","0.57","1.11","0.87","1.19","1.34","1.15","1.25","1.06","1.29"
"118",="3533","嘉澤","778","+45","+6.14","10.73","7.46","6.27","8.06","6.85","8.93","9.63","13.04","14.22","17.95","13.63","10.96","11.74"
"119",="3580","友威科","53.2","+0.1","+0.19","1.01","1.45","0.25","0.51","0.85","0.57","1.09","0.59","1.42","2.88","1.49","0.2","0.82"
"120",="2743","山富","115","+9","+8.49","0.02","-1.1","0.31","-0.48","-0.25","-0.57","-0.33","-0.67","-0.72","-0.48","-0.14","2.02","2.61"
"121",="6491","晶碩","339.5","+9","+2.72","4.74","2.9","4.02","3.21","4.22","5.16","5.25","5.14","4.89","6.02","5.98","4.83","5.23"
"122",="2303","聯電","43.6","-0.15","-0.34","1.33","0.76","0.93","0.85","0.98","1.43","1.31","1.61","1.74","2.2","1.55","1.31","1.27"
"123",="8069","元太","183.5","-7.5","-3.93","1.54","0.73","0.9","1.03","1.23","1.08","1.2","1.28","2.08","3.72","1.61","1.54","2.12"
"124",="8996","高力","327","+24.5","+8.1","0.76","0.22","0.17","0.2","0.6","0.52","0.34","0.52","0.69","1.03","1.12","1.42","2.32"
"125",="6843","進典","68.6","0","0","1.04","","2.16","0.27","1.24","0.26","0.73","0.47","0.95","1.86","1.2","1.15","1.17"
"126",="2493","揚博","67.6","+1.9","+2.89","1.01","0.38","0.63","0.78","0.76","0.48","0.97","1.3","1.2","1.36","1.31","1.57","1.43"
"127",="6643","M31","879","+41","+4.89","2.65","2.63","3.74","1.79","1.36","1.06","3.91","1.28","2.64","3.26","5","2.24","2.86"
"128",="3447","展達","42.65","+0.35","+0.83","0.81","","1.57","","1.1","0.25","0.78","0.43","0.26","1.7","1.35","0.72","-0.04"
"129",="8416","實威","134","-0.5","-0.37","2.76","2.26","3.76","1.72","2.69","2.51","4.44","2.47","2.21","1.96","4.2","2.12","2.81"
"130",="8446","華研","104.5","+3.5","+3.47","1.78","2.33","2.59","2.25","1.25","1.25","1.81","0.82","1.71","1.49","1.93","1.48","2.49"
"131",="3526","凡甲","173.5","+2","+1.17","2.42","2.03","1.64","2.15","3.4","2.73","2.93","2.64","2.04","3.07","1.69","1.35","3.4"
"132",="6123","上奇","65","+0.5","+0.78","1.26","1.38","1.25","1.06","1.21","1.41","1.19","1.11","1.41","1.6","1.42","1","1.1"
"133",="6625","必應","103.5","+2","+1.97","-0.04","0.4","-0.58","-0.16","-1.6","-0.92","0.68","-0.65","-1.09","-0.05","1.46","0.35","1.67"
"134",="6781","AES-KY","619","+27","+4.56","8.03","4.34","6.65","9.29","7.89","7.71","7.58","8.73","9.83","10.69","8.42","7.19",""
"135",="3570","大塚","128","-0.5","-0.39","2.37","1.53","2","1.55","1.83","2.53","2.59","2.34","2.78","2.5","3.04","2.78","3.02"
"136",="8467","波力-KY","61","+0.2","+0.33","0.93","0.12","-0.69","0.31","0.04","1.78","-0.15","0.8","3.77","3.58","0.06","0.64",""
"137",="3402","漢科","49.55","+0.75","+1.54","1.12","0.79","1.03","0.75","1.19","1.09","0.9","1.19","1","1.83","1.26","0.75","1.6"
"138",="3014","聯陽","143.5","+4.5","+3.24","2.26","2.07","1.51","2.33","2.88","3.46","2.54","2.51","1.83","1.93","1.28","2.12","2.72"
"139",="3090","日電貿","51.7","0","0","1.35","0.99","0.67","1.25","1.27","1.22","0.84","1.61","1.39","4.57","0.73","0.72","0.89"
"140",="6231","系微","141.5","+7","+5.2","1.41","1.46","0.56","0.74","1.03","1.59","2.58","1.93","1.88","2.09","1.56","0.8","0.74"
"141",="5288","豐祥-KY","172.5","+3","+1.77","3.07","2.53","3.54","2.69","2.96","1.8","2.08","2.68","3.02","4.01","4.59","3.57","3.36"
"142",="6803","崑鼎","316.5","-7","-2.16","3.6","3.77","2.7","3.06","3.39","4.03","2.69","3.27","3.78","4.37","3.54","4.01","4.62"
"143",="2609","陽明","42.55","+0.5","+1.19","8.91","1.05","3.81","7.49","10.46","15.14","16.33","17.35","15.9","14.25","4.22","0.97","-0.04"
"144",="8049","晶采","36.8","-0.55","-1.47","0.77","0.46","0.43","0.66","0.68","0.67","0.61","0.61","1.09","1.1","1.02","0.78","1.09"
"145",="5347","世界","71.3","+0.1","+0.14","1.72","0.93","1.11","1.35","1.59","2","2.27","2.5","2.98","2.33","1.51","0.83","1.22"
"146",="2063","世鎧","49.95","+0.25","+0.5","1.02","0.59","0.69","0.81","0.86","1.06","0.58","0.91","1.84","1.58","0.74","0.88","1.68"
"147",="1609","大亞","36.15","+1","+2.84","0.63","0.28","0.39","0.72","0.61","0.02","0.98","0.34","-0.11","0.42","0.58","2.65","0.69"
"148",="3479","安勤","102.5","+1.5","+1.49","1.39","0.75","0.71","0.27","0.41","0.84","1.42","1.49","1.9","2.03","2.49","2.56","1.76"
"149",="6590","普鴻","85.3","-1.2","-1.39","1.23","0.96","1.42","1.14","0.88","1.07","1.55","1.03","0.89","1.24","1.73","1.48","1.42"
"150",="4557","永新-KY","102.5","0","0","1.85","0.71","0.9","1.01","1.19","0.75","2.24","1.43","3.73","4.98","1.97","1.4",""
"151",="5289","宜鼎","265.5","+4.5","+1.72","4.34","2.39","2.16","3.17","5.8","6.48","3.52","4.64","6.43","6.3","4.47","4.02","2.66"
"152",="6791","虎門科技","89.2","+0.4","+0.45","1.21","","3.66","0.47","0.76","1.51","1.11","0.64","0.93","1.15","1.2","0.92","0.99"
"153",="3138","耀登","136.5","-0.5","-0.36","1.36","1.22","0.2","0.33","1.04","2.76","1.83","0.62","0.81","1.96","3.5","1.1","0.91"
"154",="5434","崇越","169.5","0","0","3.58","2.87","3.02","2.5","3.38","3.27","3.49","3.63","4.96","4.91","3.11","4.07","3.69"
"155",="6556","勝品","96.3","-0.6","-0.62","1.58","0.11","0.34","0.64","1.02","1.46","1.33","1.85","2.25","3.16","2.65","1.92","2.17"
"156",="6523","達爾膚","130","+0.5","+0.39","2.62","1.53","11.72","1.88","0.54","2.31","1.84","2.46","1.17","1.81","2.11","2.27","1.84"
"157",="2360","致茂","272.5","+5","+1.87","2.48","1.4","1.64","5.36","1.15","1.89","1.57","2.03","3.95","4.12","2.05","2.23","2.42"
"158",="3207","耀勝","84.9","+5.3","+6.66","0.55","-0.22","-0.29","0","0.23","0.48","0.03","0.32","1.02","2.12","1.06","0.9","0.99"
"159",="3035","智原","357","+16","+4.69","1.55","0.25","0.09","0.68","0.73","1.31","1.93","2.7","2.66","2.41","2.11","2.02","1.66"
"160",="8083","瑞穎","147","+1","+0.68","2.44","2.7","3.36","2.8","2.7","2.34","2.24","3","3.2","3.34","0.76","1.07","1.76"
"161",="2059","川湖","956","+36","+3.91","6.86","3.11","2.56","4.55","4.04","6.62","6.55","9.55","10.48","15.56","6.98","4.8","7.5"
"162",="1341","富林-KY","67.2","+0.1","+0.15","1.6","2","2.28","2.18","1.72","0.6","1.51","1.49","1.65","1.4","1.41","1.37",""
"163",="5388","中磊","116","+3","+2.65","1.45","1.12","1.22","0.56","0.66","0.73","1.49","1.29","1.79","2.09","2.42","1.97","2.05"
"164",="5212","凌網","44.9","+0.45","+1.01","0.74","1.47","1.22","0.38","0.3","0.96","1.04","0.04","0.6","1.22","0.94","-0.15","0.82"
"165",="3454","晶睿","175","+3","+1.74","1.22","0.76","0.59","0.6","1","-0.25","0.82","1.17","1.57","2.56","2.81","1.52","1.48"
"166",="1476","儒鴻","493.5","-0.5","-0.1","5.17","4.56","5.81","4.95","5.56","3.51","4.75","6.53","7.43","7.91","2.89","3.01","5.08"
"167",="3163","波若威","102","+9.2","+9.91","0.97","1.46","0.36","-0.13","0.22","0.22","0.77","0.61","2","2.4","0.99","0.8","1.98"
"168",="6728","上洋","130","-2.5","-1.89","2.86","1.94","2.29","1.52","3.52","2.91","3.79","3.72","5.69","1.87","2.32","2.19","2.62"
"169",="5410","國眾","32.25","+0.05","+0.16","0.61","0.54","0.46","0.52","0.56","0.59","0.48","0.45","0.46","1.39","0.95","0.32","0.65"
"170",="5225","東科-KY","45.1","+0.15","+0.33","0.71","-0.51","-4.82","-2.38","0.57","1.95","5.89","0.01","0.98","4.1","0.97","1.08",""
"171",="3587","閎康","291","+9.5","+3.37","2.46","2.15","1.98","1.75","2.45","2.28","2.99","2.04","1.64","2.95","3.47","2.45","3.35"
"172",="2347","聯強","58.9","-0.1","-0.17","2.05","1.26","1.48","1.52","2","5.01","1.83","1.53","1.42","5.01","1.48","1.04","1.02"
"173",="9917","中保科","107.5","0","0","1.45","1.36","1.65","1.33","1.4","1.4","1.61","1.59","1.28","1.43","1.55","1.37","1.46"
"174",="6855","數泓科","84.4","-0.1","-0.12","1.47","1.39","1.24","1.17","0.47","1.84","2.03","1.63","1.55","2.51","0.91","1.11","1.79"
"175",="2385","群光","101.5","-1.5","-1.46","2.33","2.55","1.78","2.23","1.88","2.26","2.36","2.41","2.51","2.98","2.39","2.05","2.51"
"176",="3611","鼎翰","242","-0.5","-0.21","5.29","4.51","6","4.13","5.01","4.98","4.35","3.66","7.03","5.78","6.25","4.81","7.01"
"177",="6276","安鈦克","42.8","+1.2","+2.88","0.47","0.98","1.24","1.52","0.17","-0.41","-0.18","-0.3","0.01","0.09","0.95","0.78","0.77"
"178",="6651","全宇昕","70.5","+1.5","+2.17","1.91","1.12","1.49","1.81","1.96","2.22","1.88","2.51","3.04","1.88","1.68","1.27","2.04"
"179",="4768","晶呈科技","179.5","+4","+2.28","0.94","0.64","0.32","0.4","0.63","0.72","0.43","0.41","1.19","2.98","1.58","1.17","0.82"
