"排名","代號","名稱","成交","財報季度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"554",="2613","中櫃","20.35","23Q1","30.9","-2.05","4.91","-8.35","0.84","-41.7","15.9","-1.09","2.71","-1.85","0.62","-0.43","2.74","-1.68","0.79","-0.55","43"
"555",="4999","鑫禾","35.45","23Q1","21","-7.06","3.95","-12","0.93","-54.5","18.8","-1.07","4.46","-4.65","1.26","-1.51","2.76","-3.09","2.2","-2.63","55"
"556",="2701","萬企","13.25","23Q1","2.43","+7.13","1.49","+9.59","2.17","+2.49","61.5","+1.38","89.4","-4.04","0.46","-0.01","2.78","+0.04","2.4","+0.04","66"
"557",="8374","羅昇","31.75","23Q1","36.1","-3.94","7.22","-2.27","0.4","-48.7","20","+0.34","1.63","-0.97","0.29","-0.41","2.79","-1.84","1.72","-1.31","43"
"558",="1532","勤美","34.7","23Q1","129","-11.8","27.4","-16.7","4.35","-46","21.3","-1.25","3.76","-3","1.08","-1.06","2.83","-3.08","0.95","-0.97","34"
"559",="2492","華新科","98.5","23Q1","334","-5.36","53.2","-15.6","10.6","-35.7","15.9","-1.93","4.69","-1.82","2.19","-1.21","2.84","-1.45","1.68","-0.78","45"
"560",="2712","遠雄來","36.45","23Q1","5.87","+10.1","1.78","+14","0.35","+43.8","30.3","+1.05","5.91","+1.38","0.32","+0.09","2.86","+0.86","2.06","+0.6","48"
"561",="8927","北基","47.95","23Q1","68.9","+2.03","8.87","+3.36","1.44","+9.62","12.9","+0.17","2.21","+0.1","0.55","+0.07","2.87","-1.58","1.11","-0.2","38"
"562",="5452","佶優","21.1","23Q1","57.4","-9.5","5.1","-11.4","0.58","-38","8.9","-0.19","1.17","-0.49","0.39","-0.24","2.92","-1.79","1.54","-1.03","38"
"563",="2312","金寶","16.3","23Q1","1,807","-0.41","113","+5.64","9.27","-8.42","6.26","+0.36","0.46","-0.07","0.63","-0.06","2.94","-0.58","0.68","-0.13","34"
"564",="6806","森崴能源","107","23Q1","48.7","+13.2","6.19","+13","2.38","+5.69","12.7","-0.03","5.17","-0.47","1.12","-0.02","2.99","+0.09","1.52","-0.19","43"
"565",="4433","興采","31.2","23Q1","30.2","-6.06","6.44","-3.61","0.92","-33.6","21.3","+0.54","2.32","-1.31","1.43","-1.08","3.01","-1.93","1.37","-0.98","45"
"566",="1789","神隆","33.35","23Q1","31.7","-2.74","12","-4.29","3.18","-9.98","37.7","-0.61","10","-0.8","0.38","-0.07","3.01","-0.36","2.66","-0.33","64"
"567",="6194","育富","31.85","23Q1","12.5","+2.81","1.09","+125","0.53","+673","8.72","+4.74","4.24","+3.67","1.1","+0.98","3.05","+2.65","2.52","+2.2","53"
"568",="4542","科嶠","27.2","23Q1","8.61","+11.3","2.47","+27.4","0.22","+1648","28.6","+3.62","2.33","+2.33","0.69","+0.65","3.06","+3.06","1.53","+1.53","45"
"569",="5383","金利","31.9","23Q1","15.6","-3.42","2.33","-4.5","-0.1","-162","14.9","-0.17","1.64","-1.41","-0.13","-0.33","3.06","-3.02","1.35","-1.25","43"
"570",="4934","太極","36.3","23Q1","25.3","+13.7","2.76","+72.7","2.25","+105","10.9","+3.73","2.59","+4.25","1","+0.51","3.08","+4.79","1.79","+2.79","49"
"571",="6596","寬宏藝術","51.8","23Q1","10.6","-17","1.95","-13.2","0.17","+1001","18.3","+0.82","1.64","+1.52","0.58","+0.53","3.11","+2.82","1.9","+1.72","49"
"572",="6666","羅麗芬-KY","80.8","23Q1","8.69","+0.4","5.18","-0.96","0.53","-2.4","59.6","-0.82","5.94","-0.17","1.15","-0.01","3.13","-0.17","2.46","-0.1","59"
"573",="3288","點晶","22.45","23Q1","1.16","+0.47","0.7","-0.39","0.03","+3.89","59.8","-0.52","2.51","+0.08","0.19","0","3.14","+0.12","1.33","+0.09","34"
"574",="8940","新天地","26.45","23Q1","10.9","+11","5.44","+11.6","0.24","+1.13","50.1","+0.24","2.08","-0.32","0.35","0","3.14","-0.38","1.2","-0.01","48"
"575",="5213","亞昕","24.35","23Q1","29.6","+1.06","7.78","+2.37","3.43","+27.9","26.2","+0.34","9.9","+2.25","0.77","+0.1","3.15","+0.75","0.61","+0.13","36"
"576",="5310","天剛","27.4","23Q1","0.06","-49","0.01","+106","0.06","+120","16.8","+12.7","102","+363","0.21","+1.28","3.15","+19.9","2.38","+14.5","49"
"577",="3276","宇環","13.75","23Q1","11.2","-15.7","0.57","-45.3","0.37","-39.2","5.08","-2.75","2.68","-2.68","0.55","-0.32","3.16","-4.62","1.66","-2.34","38"
"578",="4401","東隆興","25","23Q1","35.3","-13.8","3.38","-23.3","0.85","-49.2","9.56","-1.19","2.52","-1.68","0.69","-0.68","3.18","-3.04","1.47","-1.41","40"
"579",="2457","飛宏","72.5","23Q1","138","-1.35","24.7","+15.1","1.96","+174","17.8","+2.55","1.41","+0.9","0.54","+0.35","3.21","+2.03","1.46","+0.95","43"
"580",="2706","第一店","15.95","23Q1","3.17","+9.22","2.36","+3.96","3.01","-0.15","74.4","-3.77","94.9","-8.9","0.59","-0.01","3.22","-0.02","2.79","-0.01","68"
"581",="2340","台亞","53.2","23Q1","40.8","-9.94","9.97","-17.9","2.98","-17.2","24.4","-2.36","7.31","-0.65","0.68","-0.14","3.23","-0.73","2.6","-0.55","55"
"582",="6234","高僑","30.95","23Q1","7.63","-42.9","1.24","-44.3","0.88","-52.1","16.3","-0.42","11.5","-2.22","0.89","-0.94","3.25","-3.72","2","-2.42","53"
"583",="3438","類比科","67.5","23Q1","8.8","-15.1","2.63","-25.8","0.22","-79.7","29.9","-4.34","5.64","-4.79","0.47","-1.82","3.28","-3.96","2.79","-3.25","55"
"584",="8071","能率網通","16.9","23Q1","24.1","-5.49","4.44","-5.12","0.15","-57.2","18.4","+0.07","1.51","-0.99","0.28","-0.39","3.29","-2.55","1.43","-1.08","45"
"585",="6661","威健生技","22.95","23Q1","2.99","-7.09","1.33","-6.27","0.1","+2.02","44.4","+0.39","3.25","+0.29","0.42","+0.01","3.32","+0.21","2.33","+0.12","57"
"586",="2250","IKKA-KY","70.5","23Q1","34.2","-5.37","5.35","-11.9","0.57","-41.2","15.6","-1.16","1.64","-1.63","1.89","-1.65","3.32","-5.16","1.6","-1.65","43"
"587",="5340","建榮","49.75","23Q1","12.8","-4.33","1.56","-12.6","0.63","-25.4","12.2","-1.15","4.92","-1.39","0.27","-0.16","3.33","-1.16","2.87","-1.02","43"
"588",="3498","陽程","38.65","23Q1","17.6","+0.89","4.2","-5.83","0.84","-18","23.9","-1.71","4.75","-1.1","1.39","-0.29","3.39","-0.95","2.05","-0.57","49"
"589",="2009","第一銅","30.5","23Q1","27.4","-5.22","-0.71","-46.6","1.92","-2.73","-2.59","-0.92","6.98","+0.18","0.54","-0.01","3.4","-0.2","2.54","-0.11","32"
"590",="2355","敬鵬","34.9","23Q1","172","-2.19","16.8","+11.3","5.36","+7.9","9.73","+1.18","3.11","+0.29","1.4","+0.15","3.4","+0.21","2.38","+0.22","45"
"591",="4556","旭然","29.7","23Q1","6.83","-2.33","2.48","-1.04","0.28","-14.2","36.3","+0.47","4.1","-0.58","0.68","-0.1","3.41","-0.63","1.56","-0.23","47"
"592",="6432","今展科","33.9","23Q1","10","-9.95","2.35","-9.65","0.28","-39.3","23.4","+0.08","2.78","-1.34","0.9","-0.6","3.41","-2.38","2.08","-1.48","47"
"593",="3024","憶聲","16.2","23Q1","15.2","+2.56","4.16","+6.48","0.99","+7.79","27.3","+1","6.49","+0.31","0.34","+0.01","3.43","+0.19","2.11","+0.07","43"
"594",="3260","威剛","82.5","23Q1","323","-7.4","37","-15.7","3.83","-53.9","11.4","-1.12","1.38","-1.15","1.41","-1.78","3.43","-3.57","1.24","-1.33","36"
"595",="1903","士紙","50.8","23Q1","1.62","-1.89","0.72","-5.15","2.03","-4.33","44.6","-1.53","125","-3.19","0.77","-0.04","3.43","+0.32","2.02","+0.08","53"
"596",="1714","和桐","8.53","23Q1","229","+0.98","19.9","-3.65","3.41","-7.95","8.69","-0.42","2.57","-0.27","0.34","-0.03","3.46","-0.48","2.45","-0.28","47"
"597",="1711","永光","20.95","23Q1","84.2","-5.29","18.5","-7.48","2.92","-22.1","21.9","-0.52","3.65","-0.76","0.55","-0.13","3.5","-0.89","2.27","-0.61","45"
"598",="2929","淘帝-KY","10.95","23Q1","24.1","-5.5","2.57","-12.4","1.02","-23.3","10.7","-0.83","4.23","-0.98","0.97","-0.25","3.51","-1.17","2.52","-0.6","49"
"599",="3516","亞帝歐","18.05","23Q1","9.71","+0.95","1.6","+3.91","0.43","-22.9","16.4","+0.47","5.04","-1.2","0.75","-0.35","3.51","-0.89","2.28","-0.5","45"
"600",="5228","鈺鎧","23.45","23Q1","6.28","-8.78","1.39","-19.8","0.22","-56.3","22.2","-3.04","3.48","-3.79","0.56","-0.82","3.52","-4.63","1.64","-2.07","47"
"601",="6136","富爾特","18.7","23Q1","5.04","+0.81","0.83","+10.3","1.02","+6.66","16.5","+1.42","20.4","+1.07","0.9","+0.07","3.53","+0.27","3.25","+0.11","51"
"602",="2505","國揚","17.4","23Q1","19.9","-49.8","5.23","-33.4","3.42","-29.5","26.3","+6.49","17.2","+4.95","0.89","-0.39","3.54","-1.61","2.08","-0.77","43"
"603",="3202","樺晟","16.9","23Q1","41.4","-0.07","6.71","+7.68","-0.44","+27.9","16.2","+1.17","1.82","+0.7","-0.39","+0.13","3.56","+1.3","1.59","+0.57","32"
"604",="1718","中纖","7.93","23Q1","348","+3.9","126","+1.67","-16.1","-19.4","36.2","-0.79","7.63","-0.72","-1.19","-0.18","3.57","-0.25","0.32","-0.02","47"
"605",="1569","濱川","24.45","23Q1","43.8","-12.4","6.89","-29.2","1.11","-71.7","15.7","-3.72","2.93","-5.21","0.92","-2.31","3.58","-8.01","1.79","-3.82","45"
"606",="1907","永豐餘","33.75","23Q1","774","-2.87","103","-7.15","19.3","-11.1","13.3","-0.62","3.15","-0.43","0","-1.31","3.58","-0.63","1.73","-0.33","40"
"607",="1416","廣豐","10.9","23Q1","2.73","+9.55","0.78","+16.9","1.27","+34.7","28.5","+1.8","48.2","+9.56","0.75","+0.24","3.58","+0.89","2.87","+0.57","57"
"608",="5604","中連","48.1","23Q1","1.61","-0.14","1.32","-0.14","0.91","-1.9","81.6","0","56.3","-1.01","0.84","-0.01","3.59","+0.05","2.97","+0.02","70"
"609",="6689","伊雲谷","124","23Q1","87.6","+1.61","11","+0.52","0.84","-16.7","12.6","-0.14","0.96","-0.21","1.25","-0.36","3.6","-0.81","1.68","-0.33","43"
"610",="2408","南亞科","70.4","23Q1","434","-23.7","120","-43.6","63.8","-56.3","27.7","-9.76","14.7","-11","2.05","-2.67","3.61","-4.65","3.2","-4.23","60"
"611",="6246","臺龍","13.55","23Q1","18.4","-5.05","1.92","-3.85","0.15","-28.1","10.5","+0.13","0.84","-0.27","0.42","-0.16","3.63","-1.41","1.17","-0.43","40"
"612",="2017","官田鋼","16.85","23Q1","32.3","-9.18","5.46","-17.2","1.51","-37","16.9","-1.64","6.79","-1.52","0.44","-0.25","3.64","-1.33","2.02","-0.68","40"
"613",="6533","晶心科","459.5","23Q1","9.46","+1.51","9.45","+1.53","1.77","-50.3","99.9","+0.02","18.7","-19.5","3.51","-3.52","3.68","-3.61","3.38","-3.43","66"
"614",="4924","欣厚-KY","12.65","23Q1","6.25","-8.57","1.45","-13.7","0.14","-57","23.2","-1.38","2.24","-2.53","0.37","-0.51","3.7","-5.12","1.93","-2.96","43"
"615",="4737","華廣","76","23Q1","21.5","-2.74","9.69","-3.51","0.72","-21.4","45.1","-0.36","3.38","-0.77","1.14","-0.36","3.7","-0.72","1.49","-0.43","45"
"616",="2038","海光","18.75","23Q1","107","-3.15","2.3","-25.7","1.79","-15","2.15","-0.65","1.39","-0.27","0.99","-0.17","3.71","-0.97","1.55","-0.46","32"
"617",="4173","久裕","24.15","23Q1","10.3","+0.91","2.08","+0.49","0.68","+8.54","20.2","-0.09","6.62","+0.46","0.89","+0.05","3.74","+0.35","1.44","+0.12","38"
"618",="1201","味全","19.55","23Q1","202","+1.19","54.9","-0.07","2.72","+13.2","27.2","-0.34","1.35","+0.14","0.53","+0.06","3.82","+0.44","1.46","+0.1","47"
"619",="1219","福壽","20","23Q1","170","+0.13","13","-10.4","1.82","-43.5","7.65","-0.9","1.03","-0.76","0.56","-0.44","3.83","-3.03","1.89","-1.26","36"
"620",="3305","昇貿","68.1","23Q1","73.1","-13.1","7.77","-10.3","1.87","-64.7","10.6","+0.33","2.58","-3.74","1.42","-2.62","3.86","-7.76","2.24","-4.27","43"
