"排名","代號","名稱","成交","財報季度","營收(億)","營收成長(%)","毛利(億)","毛利成長(%)","淨利(億)","淨利成長(%)","毛利(%)","毛率增減","淨利(%)","淨率增減","EPS(元)","EPS增減(元)","ROE(%)","ROE增減","ROA(%)","ROA增減","財報評分"
"1",="4943","康控-KY","15.1","23Q1","15.8","-11.1","-5.23","+15.9","-9.96","+22.6","-33","+1.9","-62.9","+10.1","-11.25","-3.02","-179","+4.27","-26.2","+3.01","23"
"2",="4946","辣椒","23.65","23Q1","0.97","-14.8","0.18","-46.6","-1.14","-0.56","19","-11.3","-125","-21.9","-7.73","+0.37","-153","-11","-61.8","-4.83","32"
"3",="4944","兆遠","9.76","23Q1","2.56","-23.6","-0.61","-19.8","-1.26","+12.8","-23.6","-8.57","-50","-6.24","-2.88","+0.45","-139","-11","-12.6","+0.7","23"
"4",="3095","及成","24.75","23Q1","4.02","-6.74","0.61","-0.21","-0.4","-25.3","15.3","+1","-9.99","-2.55","-4.02","-0.82","-116","-46.5","-4.88","-1.1","27"
"5",="3432","台端","13.15","23Q1","0.2","+6.52","0.05","+8.08","-12.1","-3.38","25.5","+0.37","-5999","+182","-17.62","-0.05","-115","+0.21","-104","-0.51","49"
"6",="3064","泰偉","15","23Q1","0.8","-4.98","0.42","+17.9","-0.9","+26.3","52.8","+10.2","-121","+32","-1.94","+1.53","-112","+5.25","-21.5","+6.05","43"
"7",="6541","泰福-KY","71.9","23Q1","0.49","+121","0.39","+303","-19.2","-16.8","79.3","+166","-3880","+3445","-16.3","-11.65","-110","-31.5","-51.9","-11.5","38"
"8",="3018","隆銘綠能","11.1","23Q1","9.69","-24.5","-1.27","-11.2","-2.19","-2.38","-13.1","-4.2","-22.6","-5.93","-2.84","-0.11","-87.2","+19","-17.2","-0.64","19"
"9",="5227","立凱-KY","63.1","23Q1","8.72","+23.3","0.77","+325","-3.93","+1.34","8.84","+6.27","-45","+11.2","-5.6","+0.4","-75.9","-10.2","-30.5","+2.78","28"
"10",="2424","隴華","50.2","23Q1","0.91","+14.3","-0.7","+6.39","-1.62","+4.99","-76.9","+17","-179","+36.7","-3.31","+1.29","-75.3","-8.31","-34","-0.39","30"
"11",="2726","雅茗-KY","27.05","23Q1","7.56","-5.69","3.29","+1.38","-2.93","-4.62","43.6","+3.04","-39","-3.5","-8.35","-0.43","-75.2","-2.32","-28.1","-1.96","45"
"12",="4804","大略-KY","5","23Q1","2.68","-2.1","1.05","+1.74","-2.31","-1.24","39.1","+1.48","-90.6","-0.4","-5.09","-0.06","-69.6","-6.62","-23.5","-2.52","20"
"13",="4414","如興","4.39","23Q1","164","-4.89","16","-13","-40.4","+7.29","9.72","-0.91","-24.6","+0.66","-4.94","+0.38","-68.7","-1.89","-24.7","+0.73","21"
"14",="4712","南璋","3.9","23Q1","0.13","-2.75","0.02","-19.2","-0.38","-31.8","17.8","-3.62","-301","-78.9","-0.51","-0.12","-65.8","-21.4","-31.3","-9.7","30"
"15",="3629","地心引力","39.35","23Q1","0.75","-17.4","0.28","+8.6","-1.34","+14","37.6","+9","-177","-7.35","-3.99","+0.64","-61.9","+0.72","-45.6","+0.13","41"
"16",="2740","天蔥","39.55","23Q1","1.02","+15.3","0.4","+17.7","-0.62","-1","38.9","+0.77","-60.7","+8.6","-2.63","+0.71","-61.2","-5.49","-38.8","-3.54","47"
"17",="6219","富旺","18.9","23Q1","5.48","-5.18","1.51","-2.22","-6.83","+30.2","27.5","+0.83","-125","+44.6","-5.06","+1.29","-56.5","+14.8","-6.82","+2.78","21"
"18",="1512","瑞利","13.2","23Q1","9.48","+22.2","1.32","+180","-1.36","+26.2","13.9","+7.85","-14.4","+9.44","0","+1.98","-56.5","+15","-6.74","+2.02","28"
"19",="4192","杏國","49.65","23Q1","0.16","+2.16","0.09","+1.58","-1.7","+9.77","57","-0.32","-1051","+139","-1.49","+0.15","-54.3","+0.25","-28.6","+1.33","47"
"20",="6576","逸達","85.5","23Q1","2.63","-12.8","2.12","-23.2","-5.3","-12","80.6","-10.9","-201","-44.7","-4.49","-0.49","-54.1","-11.7","-40","-7.86","47"
"21",="8291","尚茂","6","23Q1","0.75","-24.9","-0.34","-15.6","-0.63","-6.69","-45.4","-15.9","-84.7","-25.1","-1.33","-0.08","-51.5","-7.76","-16.9","-2.24","25"
"22",="3321","同泰","6.9","23Q1","14.8","-11.5","-0.74","-2532","-3.41","-27.9","-5","-5.18","-23.1","-7.11","-2.2","-0.49","-51","-14.1","-15.7","-2.43","28"
"23",="1441","大東","8","23Q1","14.8","-6.66","-2.01","-85.7","-3.01","-14.8","-13.6","-6.74","-24.3","-4.15","-2.62","-0.1","-49.2","-6.88","-15.5","-2.41","26"
"24",="8077","洛碁","37","23Q1","6.14","+12.4","-0.39","+58","-1.86","+17.7","-6.42","+10.7","-27","+14.3","-8.42","+1.86","-49.1","+10.6","-4.92","+1.51","20"
"25",="2208","台船","23.05","23Q1","221","+0.61","-44.2","-42.8","-50.3","-42.8","-20","-5.9","-22.9","-6.72","-5.4","-1.62","-47.8","-17","-11.2","-3.33","26"
"26",="2465","麗臺","39.9","23Q1","45.7","-13.9","4.93","-18.8","-2.9","-48.1","10.8","-0.66","-6.34","-2.66","-4.91","-1.59","-47","-16","-14.6","-4.93","28"
"27",="8101","華冠","6.03","23Q1","2.86","-20.9","-0.01","-112","-1.34","+17.1","-0.48","-3.54","-47","-2.16","-1.84","+0.38","-46.7","-1.02","-15.9","+1.56","19"
"28",="8444","綠河-KY","37.95","23Q1","35.6","-5.84","1.81","-55","-8.61","-9.35","5.07","-5.54","-24.5","-3.2","-9.69","-0.87","-46.3","-2.99","-10.2","-0.79","26"
"29",="5345","天揚","5.15","23Q1","0.06","-8.96","0","+107","-0.38","+35.5","5.84","+87.2","-635","+262","-0.71","+0.51","-45.2","+37.7","-33.5","+21.7","34"
"30",="3523","迎輝","14.55","23Q1","1.38","-9.08","-0.34","-51.5","-1.43","-14.9","-24.6","-9.84","-104","-21.1","-2.31","-0.3","-43.2","-9.19","-11.4","-1.84","28"
"31",="3664","安瑞-KY","30.95","23Q1","4.95","+6.42","3.23","+8.03","-1.36","+24.1","65.2","+0.97","-27.5","+11.1","-2.78","+0.87","-42.8","+12.7","-18","+5.81","32"
"32",="2516","新建","5.17","23Q1","73.5","+7.23","-5.92","+0.55","-7.38","+4.61","-8.06","+0.63","-10","+1.25","-3.29","+0.13","-42.7","+3.52","-11.9","+0.44","25"
"33",="3522","御頂","17.2","23Q1","6.75","+3.08","2.92","+4.69","-1.43","-36.7","43.2","+0.67","-21.2","-5.21","-3.05","-0.59","-42.6","-9.59","-8.16","-2.59","40"
"34",="6657","華安","83.8","23Q1","0.08","+10.2","0.06","+11.7","-2.91","-9.68","71.2","+0.95","-3597","+16.7","-4.34","-0.35","-42.4","-5.89","-41.1","-6.03","48"
"35",="2102","泰豐","17.2","23Q1","15.4","-4.77","-0.73","-134","-16.8","-23.9","-4.72","-2.8","-109","-25.3","-3.65","-0.7","-38.8","-9.55","-15.9","-3.32","23"
"36",="2911","麗嬰房","7.26","23Q1","33.1","-0.77","13","-5.27","-6.27","+0.53","39.3","-1.87","-18.7","+0.05","-3.4","+0.02","-38.7","-0.68","-13.2","-0.39","34"
"37",="9950","萬國通","17.5","23Q1","23.9","+4.23","4.24","+55.6","-1.12","+49.8","17.7","+5.86","-4.66","+5.13","-0.65","+0.8","-38.4","+29.8","-2.6","+2.58","32"
"38",="3625","西勝","15.05","23Q1","11.8","-19.4","1.34","-23.2","-4.3","+12.1","11.3","-0.56","-36.7","-3.08","-4.07","+0.61","-38.4","+9.86","-13.2","+0.15","28"
"39",="4198","欣大健康","23.3","23Q1","2.57","+0.99","0.44","+15.5","-0.48","+29","17.3","+2.17","-19.4","+7.78","-2.17","+1.6","-38.1","+6.54","-12.4","+4.31","32"
"40",="3555","重鵬","37.8","23Q1","0.19","-20","0.07","-8.6","-0.86","+21.6","35.9","+4.46","-464","+9.5","-2.84","+1.43","-37.9","+8.14","-27.1","+4","39"
"41",="3494","誠研","7.73","23Q1","5.82","+7.74","0.36","+403","-2.33","+1.49","6.17","+8.37","-55.4","+10.3","-1.87","+0.07","-36.4","+0.82","-14.9","+1.24","20"
"42",="2614","東森","17.1","23Q1","59.2","-0.56","19.3","+0.6","-16.9","-2.4","32.6","+0.37","-30.4","-0.97","-3.59","-0.3","-35.4","-2.81","-11.8","-0.64","38"
"43",="2867","三商壽","5.18","23Q1","1,101","+0.4","-116","-9.54","-133","+2.93","-10.5","-0.88","-12","+0.41","-3.18","+1.16","-34","+4.85","-0.91","+0.05","15"
"44",="6547","高端疫苗","60.9","23Q1","0.38","-89.5","-4.23","-98.8","-15.5","-4.87","-1100","-1042","-4026","-3622","-4.74","-0.18","-32.9","-2.48","-25.3","-2.01","36"
"45",="3666","光耀","26.2","23Q1","7.33","-23","-1.45","-28.7","-3.69","-21","-19.8","-7.97","-50.3","-18.3","-6.99","-1.38","-32.4","-6.18","-23.8","-4.3","32"
"46",="3176","基亞","33.35","23Q1","7.35","-30.3","-1.07","-222","-6.89","-1.92","-14.5","-22.8","-272","-89.2","-4.95","-0.09","-31.8","-1.83","-22.7","-1.46","34"
"47",="2739","寒舍","50.3","23Q1","38.1","+11.2","11.3","+32.6","-2.62","+22.5","29.6","+4.77","-6.89","+2.99","-2.88","+0.81","-31.6","+12.9","-1.8","+0.61","34"
"48",="8477","創業家","16.25","23Q1","20.3","-13.6","3.07","-10.2","-1.09","+8.61","15.1","+0.57","-5.34","-0.29","-3.46","+0.3","-31.3","+1.01","-17.4","-2.26","40"
"49",="3089","億杰","81","23Q1","0.9","-31.9","-0.05","-1882","-1.93","+17.9","-5.88","-5.68","-222","-38.5","-2.94","+0.67","-31","+7.68","-24.7","+5.67","34"
"50",="6461","益得","31.95","23Q1","0.16","-31.8","-1.56","-6.15","-3.4","-3.64","-970","-347","-2108","-721","-2.93","-0.11","-30.6","-2.89","-13.5","-0.73","23"
"51",="4174","浩鼎","90.8","23Q1","0.05","+11.1","-0.48","-18.8","-16.7","-3.57","-911","-59","-37165","+3151","-7.32","-0.05","-29.7","+8.28","-27.7","+6.45","45"
"52",="6264","富裔","7.53","23Q1","8.08","+5.37","-0.89","+16.8","-2.04","+5.67","-11","+2.93","-29.4","+4","-1.75","+0.11","-29.2","+2.4","-7.15","+0.71","19"
"53",="2905","三商","14.55","23Q1","1,550","+3.7","-341","+41.9","-47.9","+5.97","-22","+17.3","-7.97","+0.46","-5.44","+0.38","-28.8","+3.11","-0.83","+0.03","17"
"54",="5475","德宏","12.85","23Q1","6.2","-7.46","-0.7","+27.3","-2.82","+18.3","-11.3","+3.1","-47","+7.06","-2.24","+0.47","-28.8","+5.1","-13.8","+2.01","28"
"55",="4950","牧東","12.9","23Q1","0.64","-40.7","-0.15","-145","-0.87","-35.8","-23.4","-17.7","-137","-77.4","-1.89","-0.51","-28.3","-8.19","-23.6","-7.44","32"
"56",="6236","康呈","20.15","23Q1","0.33","+2.57","0.09","-29.5","-0.37","-57.5","28.7","-13.1","-113","-39.6","-0.88","-0.15","-27.8","-10.9","-25.1","-9.57","49"
"57",="6465","威潤","20.5","23Q1","2.12","+11","0.62","+29.7","-0.78","+14.3","29.2","+4.21","-36.8","+10.8","-2.43","+0.42","-27.8","+3.08","-13.5","+1.61","30"
"58",="3259","鑫創","23.75","23Q1","3.76","-6.64","1.2","+3.15","-1.53","+2.43","32","+3.03","-40.6","-1.75","-2.01","+0.09","-27.8","-0.49","-23.6","-1.1","36"
"59",="4991","環宇-KY","33.2","23Q1","13.1","-2.02","2.55","-19.1","-10.6","-13.1","19.5","-4.11","-81.3","-10.9","-9.63","-1.1","-27.7","-4.82","-23.7","-3.7","30"
"60",="6241","易通展","14","23Q1","9.55","-8.68","0.51","-22.6","-0.72","-44","5.31","-0.96","-7.55","-2.76","-1.75","-0.32","-27","-8.95","-11.5","-3.69","14"
"61",="2390","云辰","12.55","23Q1","6.07","+2.63","1.34","+8.2","-8.55","+1.2","22.1","+1.14","-141","+5.48","-4.49","-0.38","-26.7","-0.4","-23.9","-0.92","40"
"62",="6854","錼創科技-KY創","104","23Q1","4.19","+3.66","-0.24","+35.3","-5.99","-6.17","-5.79","+3.48","-143","-3.39","-5.58","-0.11","-26.4","-3","-23.1","-3.11","43"
"63",="3521","鴻翊","25","23Q1","2.72","+0.77","0.37","+4.89","-1.1","-28.6","13.7","+0.54","-41.1","-9.31","-1.82","-0.12","-26.3","-7.43","-9.17","-2.26","21"
"64",="4304","勝昱","9.64","23Q1","5.79","+12.7","0.26","+10.8","-0.59","-3.8","4.5","-0.08","-10.1","+0.87","-1.63","-0.07","-26.2","-2.54","-11.7","-1","14"
"65",="2491","吉祥全","14.05","23Q1","-1.3","+46","-2.68","+30.1","-2.5","+35.1","","","","","-3.08","+1.62","-25.3","+13.6","-23","+11","53"
"66",="3609","三一東林","42.5","23Q1","7.22","-9.97","1.18","-23.1","-1.2","-33.2","16.3","-2.8","-16.6","-5.38","-3.4","-0.64","-25","-6.94","-10.4","-2.15","36"
"67",="4157","太景*-KY","16.1","23Q1","0.32","-10.8","0.26","-19.2","-2.54","-7.25","81.3","-8.43","-787","-133","-0.35","-0.02","-24","-2.64","-22.1","-2.65","55"
"68",="2429","銘旺科","19.8","23Q1","5.03","-3.49","0.42","-26.8","-0.6","-21.4","8.42","-2.68","-13.7","-3.58","-1.37","-0.13","-23.7","-6.38","-7.91","-1.28","34"
"69",="4419","元勝","38.5","23Q1","2.68","+8.98","1.21","+8.1","-0.24","-3.27","45.2","-0.36","-9.68","+0.48","0","+0.63","-23.3","+0.5","-6.07","-0.7","38"
"70",="8443","阿瘦","12.05","23Q1","11.9","-4.09","5.71","-1.3","-2.1","+0.23","47.9","+1.35","-17.7","-0.68","-2.76","+0.39","-22.9","+0.12","-11.7","-0.4","36"
"71",="6573","虹揚-KY","14.95","23Q1","12","-1.87","0.27","+17.2","-2.11","-1.28","2.25","+0.37","-19.5","-0.02","-2.62","-0.03","-22.5","-0.27","-9.16","+0.02","26"
"72",="3545","敦泰","70.7","23Q1","123","-5.15","3.48","-72.8","-25.9","-35.4","2.84","-7.07","-21.2","-6.29","-12.53","-3.14","-22","-4.85","-11.5","-3.18","28"
"73",="3508","位速","31.75","23Q1","10.8","-10.3","0.49","-12","-1.99","+2.04","4.55","-0.09","-18.9","-1.49","-1.97","+0.07","-22","+0.88","-6.7","+0.23","32"
"74",="2731","雄獅","152.5","23Q1","60.5","+83.2","10.7","+83","-4.2","+38.7","17.8","-0.02","-7.42","+14.7","-4.87","+4.04","-21.6","+25.9","-6.95","+5.41","40"
"75",="6733","博晟生醫","43.15","23Q1","0.37","+18.6","0.28","+23.7","-1.91","-3.58","75.5","+3.1","-564","+90","-1.72","+0.07","-21.5","+3.05","-20","+2.28","55"
"76",="5211","蒙恬","24.25","23Q1","1.5","+1.33","0.97","+7.62","-1.04","-446","64.8","+3.79","-72","-89.3","-3.23","-4.17","-20.9","-25.3","-17.8","-21.7","49"
"77",="1799","易威","22.95","23Q1","1.81","+1.06","0.82","+8.07","-1.58","+2.16","45.6","+2.96","-91.6","+2.56","-1.39","+0.02","-20.9","-0.88","-13.9","-0.11","45"
"78",="3230","錦明","12.95","23Q1","8.31","-14.6","0.01","-96.6","-1.69","-28.5","0.13","-3.01","-20.4","-6.83","-2.39","-0.54","-20.8","-5.23","-9.18","-2.03","36"
"79",="3149","正達","14.95","23Q1","23.3","-4.08","-1.02","+16.8","-2.91","+7.64","-4.36","+0.67","-12.5","+0.48","-1.32","+0.13","-20.5","+1.22","-6.8","+0.32","32"
"80",="6492","生華科","46","23Q1","0.01","0","0.01","+2.38","-3.45","+1.28","51.7","+1.2","-34516","+447","-3.87","+0.05","-20.2","-0.67","-19.8","-0.95","52"
"81",="3682","亞太電","6.29","23Q1","127","-1.62","9.77","+20.2","-50.1","+6.54","7.68","+1.39","-39.4","+2.07","-1.19","+0.07","-20.1","+0.24","-12","+0.55","28"
"82",="6598","ABC-KY","26.35","23Q1","4.19","+7.34","2.64","+12.9","-1.62","+12.5","63.1","+3.08","-38.6","+8.75","-1.98","+0.28","-20","+1.53","-15.2","+1.37","48"
"83",="2926","誠品生活","63.6","23Q1","57.8","+3.49","20.2","+4.06","-1.4","+25.4","35","+0.19","-2.44","+1","-2.94","+1.03","-19.5","+5.59","-1.09","+0.33","38"
"84",="6446","藥華藥","376","23Q1","35.2","+22.1","26.9","+30.1","-15.7","-14.2","76.6","+4.74","-44.6","+3.09","-5.21","-0.37","-19.4","-2.64","-14.2","-1.42","51"
"85",="6499","益安","59.2","23Q1","1.51","-49.3","0.15","-92.2","-6.75","-55.5","9.63","-53","-488","-321","-7.69","-2.74","-19.2","-6.53","-17.6","-5.79","40"
"86",="4534","慶騰","10.4","23Q1","8.09","-7.27","0.05","-83.4","-1.59","-7.53","0.64","-2.96","-19.7","-2.71","-1.84","-0.13","-19.1","-2.11","-10.4","-1.23","32"
"87",="2816","旺旺保","18.75","23Q1","88.4","+4","9.53","+36.2","-10.6","+19.7","10.8","+2.55","-12","+3.55","-4.74","+1.17","-18.8","+4.68","-5.53","+1.55","36"
"88",="2314","台揚","44.7","23Q1","47.5","+6.02","7.26","+15.4","-4.08","+16.1","15.3","+1.25","-8.59","+2.27","-1.69","+0.37","-18.5","+5.58","-6.18","+1.25","28"
"89",="2207","和泰車","767","23Q1","2,507","+2.89","37.8","+103","-186","+3.98","1.51","+0.75","-6.01","+0.45","-33.98","+1.41","-18.4","+0.8","-3.79","+0.37","23"
"90",="2409","友達","18.85","23Q1","2,165","-12.3","-150","-1056","-372","-76.2","-6.92","-7.56","-17.2","-8.7","-4.84","-2.45","-18.1","-8.35","-9.12","-3.95","36"
"91",="4168","醣聯","30.3","23Q1","0.17","-43.8","0.09","-34.1","-2.47","-12.2","54.5","+8.04","-1459","-729","-2.32","-0.11","-18.1","-2.43","-16.3","-2.22","45"
"92",="1213","大飲","6.35","23Q1","3.81","-3.19","-0.08","+33","-0.68","+9.93","-2.08","+0.93","-17.9","+1.34","-1.21","+0.13","-17.9","+0.84","-6.35","+0.61","18"
"93",="1805","寶徠","9.55","23Q1","1.52","-56.4","-0.06","-432","-1.04","-9.99","-4.25","-4.81","-68.4","-41.3","-1.05","-0.11","-17.9","-0.68","-7.34","-0.6","17"
"94",="2204","中華","84.4","23Q1","314","+6.21","51.5","+5.63","-75.9","+2.17","16.4","-0.09","-23.5","+2.24","-13.9","+0.32","-17.7","+0.75","-14.4","+0.37","36"
"95",="4131","晶宇","26.5","23Q1","0.8","-10.2","0.07","-38.7","-0.34","-19.8","9.05","-4.2","-57","-13.7","-1.6","-0.11","-17.6","+21.2","-10.9","+3.17","40"
"96",="5490","同亨","23.05","23Q1","12.1","-13.6","4.24","-13.6","-2.46","-48.7","35","+0.03","-20.3","-8.5","-2.66","-0.87","-17.4","-6.23","-12","-4.28","43"
"97",="3349","寶德","18.45","23Q1","4.58","-17","0.57","-26.1","-0.76","-49.3","12.5","-1.54","-16.5","-7.34","-1.88","-0.58","-17.1","-5.29","-9.22","-2.9","36"
"98",="5364","力麗店","26.3","23Q1","4.03","+0.75","0.08","-66.7","-0.44","-30","2.1","-4.27","-14.5","-4.26","-1.53","-0.36","-17.1","-5.46","-5.4","-1.61","27"
"99",="2241","艾姆勒","36.95","23Q1","6.53","-10.7","-0.4","-366","-2.51","-13.9","-6.18","-4.99","-39.4","-8.67","-2.81","-0.35","-16.8","-2.31","-8.6","-1.06","32"
"100",="1459","聯發","9.4","23Q1","16.3","-16.9","-0.65","-309","-5.38","-21.4","-4.01","-5.6","-33.1","-10.5","-1.86","-0.46","-16.8","-2.66","-9.23","-1.81","30"
"101",="6668","中揚光","39.05","23Q1","11.8","-2.47","0.93","+37.2","-3.23","+9.01","7.88","+2.28","-26.9","+1.56","-4.12","+0.41","-16.4","+0.91","-7.85","-0.01","36"
"102",="6462","神盾","102","23Q1","33","+0.38","11","-5.15","-9.37","-9.89","33.4","-1.95","-32.2","-4.76","-13.52","-1.21","-16.3","-3.34","-10.1","-1.51","38"
"103",="3630","新鉅科","33.4","23Q1","13.6","-14.9","-0.8","-438","-5.5","-20.4","-5.86","-7.33","-40.4","-11.9","-2.97","-0.49","-16","-3.13","-7.55","-1.14","36"
"104",="8472","夠麻吉","37.5","23Q1","3.42","+3.21","2.79","-0.57","-0.71","+14.5","81.4","-3.09","-21.1","+4.62","-4.01","+0.65","-15.7","+2.41","-6.57","+0.98","34"
"105",="3593","力銘","12","23Q1","9.19","-0.57","0.63","+40.6","-0.82","+11.6","6.88","+2.02","-8.92","+1.11","-0.89","+0.11","-14.9","+1.27","-5.74","+0.69","26"
"106",="6550","北極星藥業-KY","87.5","23Q1","0.03","-50.5","0.01","-42.8","-11.6","-0.98","25.4","+3.42","-36430","-18563","-1.57","0","-14.8","-0.36","-13.2","+0.35","45"
"107",="3234","光環","31.6","23Q1","8.33","-15.8","1.97","-23.2","-0.84","-219","23.7","-2.27","-13.2","-8.57","-1.09","-0.75","-14.8","-8.93","-6.69","-4","38"
"108",="3710","連展投控","11.2","23Q1","59.3","-7.41","11","-8.89","-3.4","+2.51","18.5","-0.3","-5.29","-0.41","-1.18","+0.21","-14.7","+0.31","-3.74","+0.01","34"
"109",="9934","成霖","13.55","23Q1","195","-3.46","50.3","+1.37","-7.85","+11.7","25.8","+1.23","-4.02","+0.37","-2.21","+0.27","-14.6","+3.43","-4.79","+0.63","32"
"110",="8201","無敵","21.75","23Q1","5.77","-3.72","0.87","-1.36","-0.9","-3.02","15","+0.36","-15.5","-1.02","-1.42","-0.03","-14.6","-0.86","-11.4","-1.19","40"
"111",="3205","佰研","56.1","23Q1","5.09","-3.74","0.82","-1.06","-0.67","+9.84","16","+0.43","-13.6","+0.88","-2.05","+0.23","-14.5","+0.99","-11.9","+0.32","45"
"112",="8067","志旭","14.2","23Q1","1.18","-19.2","0.44","-19.2","-0.22","-16","37","+0.02","-19.1","-6.17","-1.27","-0.16","-14.2","-2.52","-6.4","-1.18","32"
"113",="9919","康那香","18.6","23Q1","32.2","-4.08","2.36","-23.9","-3.41","-29.7","7.33","-1.9","-10.6","-2.76","-1.74","-0.4","-14","-3.53","-5","-1.15","27"
"114",="6404","通訊-KY","21.3","23Q1","0.06","+0.08","0","-39.2","-0.1","-179","3.61","-2.33","-169","-108","-0.43","-0.23","-13.8","-9.27","-11.9","-8.18","36"
"115",="2061","風青","18.2","23Q1","9.23","-0.46","0.58","+2.44","-0.78","-7.21","6.23","+0.18","-8.48","-0.61","-1.68","-0.11","-13.8","-0.35","-6.67","-0.4","21"
"116",="3481","群創","15.75","23Q1","1,994","-10.9","-187","-171","-376","-34.5","-9.37","-6.28","-18.8","-6.36","-3.97","-1.21","-13.6","-3.57","-8.59","-2.03","38"
"117",="5281","大峽谷-KY","16.15","23Q1","6.3","-5.45","1.47","-3.51","-1","+20.8","23.3","+0.47","-16.8","+3.16","-2.72","+0.71","-13.5","+3.38","-8.32","+1.28","40"
"118",="8418","捷必勝-KY","9.29","23Q1","14.1","-4.25","1.3","-9.17","-1.07","+10.5","9.23","-0.5","-7.91","+0.56","-1.35","+0.18","-13.3","+1.22","-3.86","+0.49","20"
"119",="3313","斐成","10.6","23Q1","0.08","-7.82","0","-4.76","-1.44","+17.1","0.24","+0.01","-1756","+187","-1.16","+0.3","-13.2","+2.62","-11.7","-0.12","28"
"120",="8277","商丞","11.85","23Q1","3.3","-6.81","0.56","-11.1","-0.63","-12.9","16.9","-0.82","-24.8","-5.04","-0.69","-0.08","-13.2","-2.2","-11.3","-1.76","43"
"121",="8409","商之器","26.9","23Q1","2.03","-47.1","1.31","-28.9","-0.42","-1142","64.5","+16.5","-20.5","-21.6","-1.31","-1.44","-13","-14.3","-8.86","-9.61","51"
"122",="8084","巨虹","86.5","23Q1","11.9","+2.31","1.62","-12.1","-0.49","-185","13.6","-2.24","-4.29","-8.91","-0.7","-1.53","-12.9","-26.5","-4.38","-8.87","28"
"123",="1471","首利","14.55","23Q1","2.35","-1.18","0.02","+191","-1.67","-6.34","0.99","+2.06","-71.1","-5.03","-1.07","-0.02","-12.8","-0.75","-11.3","-0.53","40"
"124",="2719","燦星旅","66.6","23Q1","1.86","+127","0.17","+41860","-0.35","+20.8","9","+9.05","-19","+35.5","-0.64","+0.52","-12.8","+3.19","-7.7","+2.38","40"
"125",="5324","士開","9.8","23Q1","4.83","+6.76","1.71","+21.6","-1.88","+9.68","35.5","+4.34","-42.4","+8.04","-0.81","+0.11","-12.8","+0.97","-2.45","+0.25","26"
"126",="2498","宏達電","55.6","23Q1","42.8","-2.92","17.1","-1.15","-33.4","+2.11","40","+0.72","-78","-0.65","-4.01","+0.12","-12.7","+0.22","-7.26","+0.27","43"
"127",="2913","農林","21.7","23Q1","3.78","+0.26","1.51","-8.34","-17.2","-5.46","40","-3.75","-456","-22.5","-2.19","-0.12","-12.5","-0.69","-7.53","-0.43","28"
"128",="4416","三圓","81.1","23Q1","0.97","+1.14","0.53","+2.11","-2.49","+8.05","54.7","+0.52","-257","+25.8","-4.3","+0.41","-12.5","+0.99","-1.75","+0.23","30"
"129",="8450","霹靂","25.25","23Q1","3.88","-2.99","0.74","+9.74","-1.29","-5.59","19","+2.2","-33.4","-2.6","-2.52","-0.15","-12.5","-1.04","-7.29","-0.35","40"
"130",="8047","星雲","11.45","23Q1","6.09","-4.85","1.44","-15","-0.59","-69.8","23.6","-2.83","-9.74","-4.28","-1.42","-0.58","-12.4","-5.21","-9.79","-4.27","34"
"131",="4154","樂威科-KY","16.2","23Q1","4.52","+2.84","0.39","-5.45","-0.41","-17.2","8.61","-0.75","-10.3","-0.97","-1.15","-0.17","-12.3","-1.62","-5.92","-0.54","25"
"132",="5701","劍湖山","8.04","23Q1","4.9","+3.56","2.22","+5.79","-0.77","+11.3","45.3","+0.95","-15.7","+2.63","-0.61","-0.32","-12.1","+4.16","-2.74","+0.44","36"
"133",="3085","新零售","20.35","23Q1","1.6","-9.55","0.29","+9.11","-0.21","+4.13","18","+3.07","-13","-0.74","-0.7","+0.09","-12.1","+4.35","-7.9","+1.82","40"
"134",="6228","全譜","12.15","23Q1","0.45","-1.67","0.17","+8.06","-0.28","-7.74","36.9","+3.33","-61","-5.32","-0.66","-0.02","-11.8","+0.07","-6.6","-0.7","40"
"135",="6150","撼訊","104","23Q1","40.4","-18","-0.18","-109","-2.52","-192","-0.44","-4.59","-6.31","-4.51","-5.33","-3.55","-11.7","-7.45","-5.61","-3.68","28"
"136",="3691","碩禾","86.8","23Q1","48.9","-13.6","2.65","-46.3","-7.23","-45.9","5.42","-3.3","-18.4","-8.29","-7.87","-1.73","-11.5","-4.15","-7.36","-2.71","40"
"137",="5301","寶得利","14.55","23Q1","0.7","+29.2","0.08","+114","-0.76","-7.61","11.1","+4.4","-103","+21.9","-0.58","+0.08","-11.4","-0.63","-8.73","-0.38","34"
"138",="5703","亞都","23.8","23Q1","2.92","+15.7","0.61","+173","-0.53","+37.4","20.8","+12","-18.3","+15.5","-0.78","+0.44","-11.4","+6.55","-5.68","+2.87","38"
"139",="2007","燁興","9.69","23Q1","63.4","-7.19","-2.07","-211","-8","-15.1","-3.26","-2.29","-12.6","-2.44","-1.49","-0.18","-11.4","-1.61","-6.48","-0.9","23"
"140",="1466","聚隆","11.1","23Q1","24.9","-10.7","0.28","-83.9","-1.88","-181","1.11","-5.03","-7.55","-5.16","-1.68","-1.08","-11.3","-7.33","-5.05","-3.19","32"
"141",="4903","聯光通","18.4","23Q1","8.4","+2.61","0.79","-8.98","-0.71","+1.5","9.4","-1.2","-10.7","+0.74","-0.92","-0.12","-11.1","+3.59","-7.35","+0.54","40"
