"排名","代號","名稱","成交","財報季度","現金(%)","應收帳款(%)","存貨(%)","速動資產(%)","流動資產(%)","投資(%)","固定資產(%)","無形資產(%)","其他資產(%)","流動負債(%)","長期負債(%)","其他負債(%)","負債總額(%)","股東權益(%)","每股淨值(元)","財報評分"
"1505",="6129","普誠","28.8","23Q2","12.1","11.7","24.7","36","61.2","13.5","16.7","0.15","8.07","14.4","0","1.85","16.2","83.8","11.21","49"
"1506",="3684","榮昌","50.9","23Q2","10.2","15.1","8.14","41.8","51.6","","43.8","0.22","0.79","26","12.9","0.44","41.5","58.5","24.28","45"
"1507",="6243","迅杰","44.55","23Q2","13.5","22.6","30.5","59.3","90.6","0.09","1.35","2.8","1.25","32.3","","0","34.5","65.5","17.47","51"
"1508",="4924","欣厚-KY","12.45","23Q1","6.92","13.1","9.96","20.1","35.4","6.4","46.8","0","6.03","38","11.2","0.48","52","48","10.33","32"
"1509",="9962","有益","17.3","23Q2","9.81","8.6","60.9","18.4","80","1.12","18.7","0.02","0.04","26.5","","0.63","27.1","72.9","12.34","45"
"1510",="1796","金穎生技","98.1","23Q2","11.8","9.52","13.1","21.3","34.9","","55.6","0.14","0.83","23.8","0","1.28","32.8","67.2","20.39","64"
"1511",="2390","云辰","12.05","23Q2","20.7","2.68","19.5","39.7","60","30.2","7.92","0.08","0.59","13","0.21","0.29","13.7","86.3","13.41","40"
"1512",="6593","台灣銘板","79","23Q2","19.1","7.51","15.5","27.2","45","0.86","50.7","0.21","1.92","12","25.9","1.76","42.1","57.9","26.46","49"
"1513",="2302","麗正","17.6","23Q2","13.8","7.69","5.86","22.9","29.5","47.6","22","","0.28","15.5","","0.5","19.1","80.9","10.46","57"
"1514",="8923","時報","19.35","23Q2","7.91","14.9","17.1","44.8","65.8","12.4","0.04","9.6","1.37","42.7","","0.36","48.6","51.4","14.21","47"
"1515",="4944","兆遠","9.98","23Q2","22.3","1.94","1.97","24.3","33.9","4.63","22.5","0.02","18","34.8","7.36","0.09","61.4","38.6","5.82","60"
"1516",="8929","富堡","20.5","23Q2","36","9.8","7.8","61","69.4","12.7","15.2","0.73","0.38","25.6","0","0.3","33.5","66.5","15.28","40"
"1517",="8481","政伸","52.8","23Q2","47.4","13","6.58","60.4","68.6","","26.1","1.07","3.02","20.5","","0","20.7","79.3","23.14","64"
"1518",="1454","台富","17.65","23Q2","7.49","6.4","24.3","29.8","55.9","","38.7","0.59","1.11","18.2","","1.76","20.1","79.9","13.08","43"
"1519",="6877","鏵友益","39.95","23Q2","30.6","10.9","11","41.5","56.9","","26.3","0.49","2.59","11.9","14.5","2.63","41.8","58.2","16.72","48"
"1520",="4908","前鼎","55.6","23Q2","6.81","8.65","11.6","70.9","82.5","0.22","15.4","0.15","0.6","20.3","","","20.4","79.6","19.81","68"
