"排名","代號","名稱","成交","財報季度","現金(%)","應收帳款(%)","存貨(%)","速動資產(%)","流動資產(%)","投資(%)","固定資產(%)","無形資產(%)","其他資產(%)","流動負債(%)","長期負債(%)","其他負債(%)","負債總額(%)","股東權益(%)","每股淨值(元)","財報評分"
"1",="2882","國泰金","45.3","23Q1","3.46","1.76","","","","68.2","0.89","0.42","0.64","","","0.21","94.3","5.68","42.12","57"
"2",="2881","富邦金","62.5","23Q1","2.13","2.28","","","","65.2","0.61","0.32","0.57","","","0.66","93.2","6.79","50.95","67"
"3",="2891","中信金","23.25","23Q1","1.43","2.91","","","","46.4","0.62","0.5","0.7","","","0.33","94.6","5.4","19.98","67"
"4",="2888","新光金","9.26","23Q1","1.18","1.71","","","","74.4","0.83","0.08","0.98","","","0.2","95.3","4.66","14.25","29"
"5",="5880","合庫金","26.35","23Q1","1.39","0.94","","","","30","0.71","0.09","0.07","","","0.04","95","5.02","16.18","62"
"6",="2892","第一金","26.1","23Q1","1.18","1.3","","","","33.6","0.65","0.02","0.11","","","0.18","94.4","5.55","17.88","67"
"7",="2886","兆豐金","35.65","23Q1","2.74","2.07","","","","33.2","0.53","0.03","0.16","","","0.25","92.3","7.71","22.61","71"
"8",="2880","華南金","20.85","23Q1","0.82","1.39","","","","33.2","0.89","0.03","0.14","","","0.18","94.8","5.25","14.15","62"
"9",="2883","開發金","11.9","23Q1","2.59","3.92","","","","75.9","0.96","0.51","2.35","","","1.67","93.4","6.56","12.64","62"
"10",="2884","玉山金","24.5","23Q1","1.33","3.47","","","","32.2","1.01","0.18","0.42","","","0.11","94","5.98","14.34","67"
"11",="2885","元大金","23.75","23Q1","2.31","7.32","","","","50.9","0.82","0.99","2.05","","","1.78","90.7","9.31","21.48","62"
"12",="2887","台新金","17.6","23Q1","1.18","5.13","","","","37.5","0.9","0.12","0.48","","","0.21","92.7","7.29","16.13","57"
"13",="2801","彰銀","17.05","23Q1","1.59","0.79","","","","27.1","0.77","0.04","0.08","","","0.12","93.6","6.38","16.5","62"
"14",="2890","永豐金","16.95","23Q1","1.33","3.7","","","","30.2","0.49","0.09","0.93","","","0.52","93.5","6.47","14.32","67"
"15",="5876","上海商銀","42","23Q2","1.76","0.87","","","","28.3","0.94","0.08","0.44","","","0.13","90.4","9.6","35.87","67"
"16",="2317","鴻海","106.5","23Q2","31.6","22.8","20.2","55.7","76.3","10.4","9.67","1.21","0.82","48.4","7.58","0.34","57.9","42.1","100.47","34"
"17",="2834","臺企銀","13.65","23Q1","1.61","0.49","","","","23.6","0.68","0.04","0.51","","","0.08","94.8","5.25","13.61","67"
"18",="2330","台積電","544","23Q2","24.8","3.76","4.55","32.7","38.1","1.84","57.2","0.46","0.27","15.7","17.6","3.8","37.8","62.2","122.97","89"
"19",="2905","三商","13.85","23Q2","2.23","0.92","0.36","3.19","8.28","77","1.23","0.02","12","1.11","1.81","10.9","97.3","2.69","15.4","17"
"20",="2867","三商壽","5.09","23Q2","2.16","0.87","","","","82.6","0.71","0.01","12.2","","","0.04","97.5","2.53","8.31","15"
"21",="2838","聯邦銀","14.5","23Q1","1","3.46","","","","29.1","1.5","0.24","1.24","","","0.39","92.7","7.3","16.69","57"
"22",="1718","中纖","7.8","23Q2","1.63","2.47","0.13","14.3","75.9","20.2","3.3","0.04","0.31","87.4","2.68","0.5","91","9.05","16.09","45"
"23",="2812","台中銀","14.55","23Q2","1.4","2.36","","","","25.4","2.11","0.03","0.27","","","0.16","91.2","8.75","14.31","62"
"24",="5871","中租-KY","181.5","23Q1","5.48","57.5","0","65.8","69.1","1.09","7.71","0.05","20.7","54.6","25.8","0.96","82.3","17.7","85.5","57"
"25",="2845","遠東銀","11.35","23Q1","1.22","2.46","","","","28.8","0.67","0.21","0.04","","","0.07","92.6","7.35","13.83","57"
"26",="2897","王道銀行","9.01","23Q1","1.2","0.71","","","","59.6","0.39","0.29","0.23","","","0.09","90.7","9.27","12.86","62"
"27",="2382","廣達","272.5","23Q2","24.3","38.7","22.2","64.5","87.7","0.74","9.34","0.12","0.43","72.7","0.54","0.09","74.2","25.8","42.85","38"
"28",="1216","統一","72.8","23Q2","15.6","4.78","8.14","23.5","33","13.9","23.5","7.3","2.14","37.6","12.3","2.2","71.5","28.5","20.78","55"
"29",="2603","長榮","106","23Q2","42.3","2.56","1.03","47.6","49.4","5.95","25.9","0.14","3.7","31.2","5.27","0.58","49","51","197.79","53"
"30",="3711","日月光投控","108.5","23Q2","8.83","17","11.5","27.5","40.3","6.31","39","10.6","1.21","33.6","18.4","1.72","55.8","44.2","64.74","40"
"31",="2207","和泰車","698","23Q2","3.31","59.3","4.3","63.8","71.7","7.67","14.2","0.05","4.58","73.8","2.11","1.98","81.5","18.5","99.63","45"
"32",="1402","遠東新","28.5","23Q2","2.13","6.29","7.77","10.6","20.1","34.4","26.8","12.6","2.3","23.5","27.8","0.87","56.5","43.5","39.66","38"
"33",="2809","京城銀","36.3","23Q2","0.72","3.29","","","","27.5","1.27","","0.37","","","0.07","88.3","11.7","40.66","62"
"34",="2002","中鋼","26.6","23Q2","3.09","2.06","18.5","8.51","29.9","11.1","54.5","0.19","0.99","28.5","16.6","0.97","49.8","50.2","20.06","38"
"35",="2324","仁寶","37","23Q2","14","49","22.3","63.1","86.5","3","6.11","0.34","0.56","67.1","3.18","0.23","72.6","27.4","26.51","32"
"36",="3231","緯創","129","23Q2","13.8","28.3","31.2","44.4","78.6","3.73","12.1","0.48","1.3","65.5","6.57","0.42","73.9","26.1","33.51","32"
"37",="4938","和碩","77.3","23Q2","14.8","29.2","25.6","45.8","74.2","5.94","15.1","0.04","3.09","50.8","8.47","1.05","61","39","67.52","36"
"38",="2633","台灣高鐵","29.15","23Q2","2.85","0.08","0.69","3.12","8.09","","0.03","89.9","0.55","8.07","59.5","14","83","17","11.95","55"
"39",="2889","國票金","11.65","23Q1","0.97","8.8","","","","86.6","2.02","0.07","1.34","","","1.19","87.8","12.2","11.04","57"
"40",="2201","裕隆","75.6","23Q2","6.84","63","3.35","71","76.5","10.4","10.8","0.16","1.05","71.6","5.75","0.16","79.2","20.8","51.12","45"
"41",="2849","安泰銀","13.95","23Q1","0.64","1.24","","","","27.5","0.21","0.07","0.43","","","0.04","90.4","9.58","16.55","24"
"42",="2454","聯發科","674","23Q2","27","9.17","9.24","38.3","48.2","23","7.86","12.3","5.56","40.5","0","1.12","44.5","55.5","228.55","64"
"43",="1303","南亞","66.1","23Q2","13.5","7.92","7.98","27","35.9","28.1","32.4","0.25","2.42","26","12.1","3.24","44.2","55.8","44.37","45"
"44",="2836","高雄銀","11.95","23Q1","1.57","0.49","","","","29.7","1.08","0.04","0.06","","","0.04","93.9","6.09","13.8","52"
"45",="9941","裕融","177","23Q2","2.3","82.9","0.55","85.7","88.6","0.27","9.43","0.11","0.81","85.8","1.13","0","87.7","12.3","55.1","51"
"46",="6592","和潤企業","131","23Q2","0.75","88.4","0","89.4","92.1","0.32","2.65","","4.47","87.9","0.14","0.09","88.3","11.7","51.71","47"
"47",="2357","華碩","393.5","23Q2","14.4","20.8","26.2","36","65","25","4.25","0.59","0.63","45.7","0.03","0.46","50.3","49.7","295.26","34"
"48",="2409","友達","17.9","23Q2","22.8","6.1","7.15","28.9","37.9","8.56","45.2","2.86","1.34","26.5","27","0.49","57.5","42.5","21.21","34"
"49",="2303","聯電","43.6","23Q2","29.5","5.97","6.25","36.5","43.2","12.7","35.9","0.67","5.23","25.8","6.6","6.86","40.9","59.1","26.12","68"
"50",="2308","台達電","348","23Q2","17.1","18.9","18.6","37.5","56.9","1.08","20.6","17.5","0.74","33.7","9.67","2.23","50.8","49.2","68.22","51"
"51",="2610","華航","24.1","23Q2","13.1","3.45","3.71","21.4","26.1","1.35","42.8","0.29","8.71","31.7","28.5","3.84","74.9","25.1","11.97","45"
"52",="1101","台泥","35.65","23Q2","11.6","6.93","3.18","29.1","33.8","21.6","27.2","6.17","7.87","20.1","21.3","3.59","48.6","51.4","29.21","45"
"53",="2618","長榮航","33.5","23Q2","23","3.53","1.23","27.3","29","1.95","39.4","0.37","4.66","28.7","31.8","5.85","67.7","32.3","17.62","60"
"54",="3702","大聯大","52.8","23Q2","5.01","43.2","34.4","48.3","84.3","8.32","4.16","1.91","0.12","61.5","9.5","0.33","72.5","27.5","42","30"
"55",="2609","陽明","42.55","23Q2","24.1","1.91","0.93","65","66.6","4.01","15.2","0.03","0.08","24.9","8.68","0.65","42.1","57.9","79.4","47"
"56",="2912","統一超","274","23Q2","20","3.99","8.1","24.5","34.5","7.41","14.7","3.96","2.39","44.2","0.57","3.76","82.6","17.4","31.6","60"
"57",="2820","華票","14.5","23Q1","0.15","0.78","","","","98.4","0.07","","0.27","","","0.1","89.1","10.9","17.18","57"
"58",="1326","台化","62","23Q2","4.11","7.45","8.25","30.2","40.1","30.9","26.2","0.06","1.86","21.5","10.5","0.84","33.1","66.9","56.21","36"
"59",="2542","興富發","42.6","23Q2","6.37","1.16","74","7.67","91.5","2.43","2.82","0.01","3.13","67.4","10","0.01","77.6","22.4","27.26","51"
"60",="1301","台塑","79.8","23Q2","2.16","6","4.43","26.6","31.8","44.1","20.9","0.11","2.38","21.5","7.98","0.72","34.1","65.9","53.79","36"
"61",="2356","英業達","59.5","23Q2","14.1","42.1","21.3","56.6","80.2","4.53","12.2","0.42","1.86","71.6","1.26","2.67","75.8","24.2","15.92","34"
"62",="2327","國巨","457","23Q2","18.8","7.3","8.48","32.1","41.8","9.99","21.7","24.7","0.35","34.3","17.8","2.73","56.9","43.1","303.27","62"
"63",="6005","群益證","14.65","23Q1","5.14","5.32","","74.6","89.2","6.53","1.34","1.76","0.8","79.4","0.3","0.06","80.4","19.6","17.16","61"
"64",="2412","中華電","116.5","23Q2","9.33","4.15","2.02","14.7","22","4.17","53.9","14.2","2.56","17.4","7.44","2.59","29.3","70.7","47.02","66"
"65",="1102","亞泥","39.3","23Q2","11.3","5.37","2.41","33.9","36.9","42","11.8","1.94","5.72","26.2","15.1","0.3","45.1","54.9","45.52","45"
"66",="1409","新纖","16.3","23Q2","5.53","10.8","3.29","23","65.3","16.6","10.8","0.23","4.89","63.9","9.78","0.13","75.9","24.1","21.9","38"
"67",="2347","聯強","58.9","23Q2","9.93","39.7","22.2","59.6","84.2","8.45","4.81","0.32","0.91","57.3","6.34","0.2","67.4","32.6","38.47","34"
"68",="3036","文曄","71.4","23Q2","3.18","36.4","48.7","39.6","89.3","7.14","0.62","1.77","0.23","63.1","5.58","0.72","70.2","29.8","55.32","26"
"69",="9904","寶成","29.85","23Q2","10.9","11.3","13.1","31.3","47.7","23.3","18.4","3.19","0.43","24.2","12.7","1.09","40.8","59.2","40.1","45"
"70",="2353","宏碁","38.55","23Q2","23.2","27.3","20.8","51.1","75.5","8.58","2.11","9.13","1.87","54.4","5.24","0.79","63.6","36.4","23.51","40"
"71",="3037","欣興","180.5","23Q2","28.8","10","4.28","39.2","44.5","5.75","47.3","0.73","0.15","26.1","30.6","1.63","59","41","55.82","57"
"72",="2615","萬海","47.9","23Q2","40.1","1.61","1.21","44.2","46.3","2.93","40.1","0.01","6.87","13.8","13.2","0.54","38.2","61.8","74.67","36"
"73",="5483","中美晶","156.5","23Q2","25.9","5.78","5.45","31.6","52.6","7.56","30.9","3.48","3.5","31.7","26.2","2.02","64.2","35.8","56.58","68"
"74",="2352","佳世達","45.35","23Q2","14.1","21","18.6","35.2","57.8","11.5","20.9","5.14","0.79","43.7","17.8","0.44","64.5","35.5","20.64","38"
"75",="3045","台灣大","93.8","23Q2","6.03","6","3.56","15","19.5","5.96","23.5","40.1","2.58","33.9","24","1.98","64.7","35.3","20.71","49"
"76",="1605","華新","36.4","23Q2","9.12","11.1","12.5","21.5","36.4","32.2","26.1","1.82","0.5","21.2","18.8","1.28","44.5","55.5","34.77","36"
"77",="6488","環球晶","457.5","23Q2","28.2","6.2","5.32","34.4","57.5","6.49","28.6","1.37","3.9","31.5","29.1","2.16","65.9","34.1","135.65","77"
"78",="2301","光寶科","150","23Q2","44.8","18.7","12.5","68.2","82","3.62","9.78","1.98","0.26","53.2","1.6","0.07","56.3","43.7","35.14","51"
"79",="4904","遠傳","71.2","23Q2","2.29","5.67","1.15","12.2","14.5","4.42","23.6","46.1","3.39","25.9","30.1","2.81","64","36","17.88","53"
"80",="4958","臻鼎-KY","96.3","23Q2","25.5","7.82","6.16","34.3","44.2","3.46","46.6","0.96","0.43","34","4.98","3.87","43.9","56.1","94.72","49"
"81",="2474","可成","167.5","23Q2","22.8","3.5","1.06","52.6","53.8","39.2","5.14","0.01","0.13","34","","0.01","36.9","63.1","234.71","62"
"82",="6023","元大期","56","23Q1","8.9","0.22","","95.9","96.4","2.05","0.6","0.07","1.44","85.9","1.41","0.07","87.5","12.5","45.96","57"
"83",="9933","中鼎","39.35","23Q2","26.9","18.8","0.15","68.1","73.7","4.33","15.1","0.97","3.75","63.1","15.5","1.69","81","19","21.18","47"
"84",="2312","金寶","16.8","23Q2","11.9","30.8","19.3","42.7","64.2","9.44","22","0.21","0.95","54.6","16.9","0.8","74.3","25.7","12.86","34"
"85",="6505","台塑化","78.8","23Q2","6.65","16.1","19.7","37.4","61.7","10.3","22.4","","3.22","12.6","6.4","1.21","21.1","78.9","32.92","40"
"86",="2344","華邦電","25.9","23Q2","9.75","6.72","12.4","24.1","37.4","8.63","50.2","0.36","1.27","18.3","23.5","2.53","46.8","53.2","22.29","38"
"87",="2855","統一證","19.2","23Q1","5.68","15.4","","90.1","91.6","4.56","2.27","0.22","1.13","73.2","","0.01","73.2","26.8","20.85","50"
"88",="6770","力積電","26.85","23Q2","25.9","4.08","5.92","31.1","37.5","0.57","52.6","0.2","3.33","17.5","16.4","4.83","45.5","54.5","23.53","49"
"89",="2903","遠百","22","23Q2","10.9","1.21","1.73","14.9","16.9","19.6","27.4","2","1.98","36.4","10.9","0.8","66.1","33.9","22.6","53"
"90",="9945","潤泰新","33.2","23Q2","4.04","1.58","17.2","8.2","26.6","67.3","3.29","0.12","0.6","18.7","14.9","1.16","43.2","56.8","29.22","53"
"91",="2379","瑞昱","407.5","23Q2","12.3","14.7","16.4","63.5","80.4","6.09","7.09","2.63","1.97","61.9","1.66","0.1","66.3","33.7","73.92","55"
"92",="2027","大成鋼","36.45","23Q2","7.48","7.18","44.7","18.9","65.5","3.79","18.6","4.11","1.83","23.2","20.7","0.13","50.1","49.9","35.02","47"
"93",="1907","永豐餘","30.3","23Q2","6.69","9.82","8.52","26","40","22.4","33.9","0.37","1.53","33","14.8","0.3","51.1","48.9","32.58","40"
"94",="6414","樺漢","261.5","23Q2","19.4","12.9","19.7","43.8","69.9","2.78","5.84","16","1.05","50.4","6.22","0.72","60.8","39.2","155.44","47"
"95",="2371","大同","52.2","23Q2","9.21","5.17","14.4","24.8","42.3","29.6","21.9","0.48","1.15","21.3","23.6","0.35","50.9","49.1","22.92","38"
"96",="1314","中石化","9.19","23Q2","4.67","2.24","33.4","7.17","47","33.4","18.7","0.13","0.25","19.9","13.9","5.3","45.5","54.5","20.59","17"
"97",="5903","全家","208.5","23Q2","9.52","3.44","7.81","14","23","2.89","28.5","1.99","2.58","49.9","1.02","4.06","89.7","10.3","29.17","49"
"98",="3034","聯詠","388.5","23Q2","53.8","17.8","8.92","71.6","82.4","3.14","6.03","2.06","5.37","42.3","","10.4","53.2","46.8","90.74","72"
"99",="2923","鼎固-KY","22.55","23Q1","11.5","0.52","42.3","15.3","59","39","0.53","","0.09","15.2","31.8","0.32","54.6","45.4","29.5","51"
"100",="2023","燁輝","15","23Q2","8.58","3.67","11.5","12.7","30.2","18.1","48.5","0.33","1.04","25.1","40.2","0.37","65.8","34.2","15.61","28"
"101",="5347","世界","71.3","23Q2","24.1","6.93","6.23","39.4","45.8","9.91","37.8","0.22","2.09","27.4","23.4","5.45","59.4","40.6","25.24","62"
"102",="2105","正新","37.95","23Q2","17.1","10.7","12.1","27.8","40.7","4.2","49.9","","0.25","19.1","20.7","1.6","42.3","57.7","25.11","51"
"103",="9921","巨大","207","23Q2","18.3","17.9","41.2","37.3","79.5","0.19","13.7","0.47","0.94","51.4","6.44","1.18","62.6","37.4","82.17","45"
"104",="6669","緯穎","1700","23Q2","28.8","31.6","31.6","60.4","92.8","0.21","4.17","0.12","1","48.3","11.7","0.01","61.1","38.9","208.87","40"
"105",="2392","正崴","42.85","23Q2","11.5","13.9","17.7","33.9","60","9.88","21.3","1.94","3.65","38.3","20.8","0.46","61.7","38.3","47.67","43"
"106",="3673","TPK-KY","34.85","23Q1","28","14.9","7.44","66.2","74.4","1.32","18","0.11","0.75","37.1","16.2","0.31","59.3","40.7","90.47","43"
"107",="6239","力成","94.6","23Q2","18","13.9","7.51","34.1","44.1","0.39","52.3","0.96","0.87","19.1","24.4","0.73","45.8","54.2","65.95","53"
"108",="2362","藍天","32.3","23Q2","5.98","3.19","4.46","12.5","18.7","69.9","4.38","0.06","1.95","16.7","25.3","1.31","56.6","43.4","68.94","38"
"109",="2501","國建","14.95","23Q2","9.29","0.66","55.3","13.6","71.5","14.7","5.84","0.07","1.83","37","22","0.29","66.1","33.9","21.21","36"
"110",="5522","遠雄","56.3","23Q2","6.16","0.47","71.2","6.96","87.9","10.3","0.13","0.22","0.49","52.5","0.37","0.39","54.2","45.8","55.77","40"
"111",="2606","裕民","44.6","23Q2","19","1.4","0.66","32.2","33.2","10.6","53.8","0.06","2.4","20.9","39.6","0.09","60.6","39.4","38.55","51"
"112",="1909","榮成","14.6","23Q2","1.56","12","4.75","13.5","20.6","7.23","65.8","0.06","3.04","32.3","34.6","0.5","67.8","32.2","17","28"
"113",="2377","微星","178.5","23Q2","9.27","23.2","35.3","53.6","91.4","0.83","5.58","","0.11","48.9","","0.5","49.8","50.2","55.64","40"
"114",="2547","日勝生","8.7","23Q2","3.22","1.78","14.4","6.77","23.8","28.7","15.4","7.28","20.4","32.4","41.6","0.42","79.8","20.2","12.19","30"
"115",="5530","龍巖","35.9","23Q2","0.4","12.5","25.9","17.4","60.2","24.6","10.9","1.12","1.84","66","","0.09","66.3","33.7","52.03","51"
"116",="2637","慧洋-KY","43.95","23Q1","4.54","0.21","0.17","5.12","8.05","0.45","82.5","","3.02","10.4","28.8","5.73","48.9","51.1","62.54","34"
"117",="3703","欣陸","26.05","23Q2","8.47","3.65","33.5","19.1","58.5","17.8","12.8","1.51","9.22","43","16.7","0.44","60.4","39.6","31.01","30"
"118",="2385","群光","101.5","23Q2","20.7","26.7","15.9","53.5","71.6","8.14","18.3","0.12","0.75","51.5","","0.32","52.4","47.6","47.06","47"
"119",="5213","亞昕","25.85","23Q2","2","0.07","78.1","2.75","90.4","3.02","3.87","0.2","2.44","67.1","14.9","0.41","82.5","17.5","18.04","28"
"120",="1808","潤隆","87.8","23Q2","7.94","1.2","69.5","10.4","94.7","1.73","0.44","0.03","2.94","72.7","11.8","","84.6","15.4","17.73","66"
"121",="6285","啟碁","123","23Q2","6.92","31.3","34.3","43.7","78.9","0.23","16.6","0.29","0.15","58.4","4.63","0.24","65.9","34.1","53.84","34"
"122",="1504","東元","51.2","23Q2","17.2","9.93","9.63","29.9","40.6","34.3","15.2","3.65","0.39","19.5","6.66","1.41","32.9","67.1","38.86","57"
"123",="6024","群益期","43.3","23Q1","11.5","0.77","","97.1","98.9","0.11","0.08","0.13","0.77","85.6","","","85.7","14.3","33.34","61"
"124",="2545","皇翔","38.65","23Q2","1.11","0.45","61.3","2.04","66.5","20","9.03","0","0.18","53.9","23.8","0.15","79.5","20.5","32.09","26"
"125",="1802","台玻","19.35","23Q2","7.14","14.1","14.2","25.1","41.6","7.89","46.3","0.04","0.96","35.8","7.07","1.28","45.2","54.8","15.96","32"
"126",="6456","GIS-KY","64","23Q2","24.2","33.5","13.9","58.4","72.7","0.84","23.5","0.06","0.31","37.9","17.8","0.57","57.2","42.8","88.96","30"
"127",="3017","奇鋐","363","23Q2","34.4","8.96","25","46.8","74","0.94","17.9","0.22","1.81","51.4","9.13","1.14","66.4","33.6","48.57","53"
"128",="1904","正隆","28.8","23Q2","9.1","9.13","12.3","18.2","33.4","4.79","57.2","","0.34","24.1","30.5","0.94","58.4","41.6","25.15","40"
"129",="6139","亞翔","88.9","23Q2","27.7","9.11","1.42","61.3","90.4","1.27","1.54","0.05","0.93","72.1","2.6","0.51","75.8","24.2","38.46","49"
"130",="2492","華新科","94","23Q2","10","10.8","7.52","36.2","44.3","25","27.7","0.68","0.67","30.6","9.39","0.41","42.2","57.8","92.95","45"
"131",="3189","景碩","103","23Q2","23.2","5.68","3.35","32.1","36.8","0.58","41.6","0.08","20.2","20.1","24.8","6.71","52","48","69.34","47"
"132",="2206","三陽工業","73.4","23Q2","13.1","7.72","17.6","20.9","50.8","16.2","22.8","1.68","6.39","35.9","20.7","2.27","62.8","37.2","25.46","57"
"133",="6121","新普","302.5","23Q2","27.2","15.4","20.8","59.6","81.4","1.13","10.9","0.14","4.32","45.9","","0.01","50.1","49.9","177.46","47"
"134",="1532","勤美","37.15","23Q2","11.5","6.64","43.1","18.1","65.9","2.88","19.6","0.8","7.1","44.4","20.6","0.6","69.2","30.8","33.09","38"
"135",="8046","南電","236.5","23Q2","27.5","10.9","5.83","38.8","44.8","0.6","51.3","","0.02","26.7","9.62","2.09","44.3","55.7","70.48","62"
"136",="3665","貿聯-KY","269","23Q1","17.6","16.7","20.9","40.9","62.8","1.74","18.1","11.6","0.97","27","29.3","1.53","62.3","37.7","139.48","45"
"137",="2313","華通","43.75","23Q2","14.7","17.8","13.4","32.7","48.2","0.02","49.3","0.26","0.37","27.1","17","0.54","50","50","30.18","40"
"138",="5469","瀚宇博","54.2","23Q2","29.7","17.4","9.54","48.5","58.6","23","14.6","0.94","0.33","33.7","11","0.46","46.9","53.1","53.17","57"
"139",="2208","台船","21.2","23Q2","2.84","2.92","14.5","24.2","55.1","2.61","30.4","0.11","1.17","54.4","16.5","2.62","83.2","16.8","7.69","23"
"140",="2449","京元電子","64.9","23Q2","13.7","10.7","1.67","24.7","27.5","8.17","62.8","0.03","0.22","17","28.1","1.02","49.6","50.4","28.72","62"
"141",="3044","健鼎","188.5","23Q2","26.7","21.7","11","51.4","64","0.13","27.8","0.06","1.91","40.8","","0.21","46.6","53.4","75.44","49"
"142",="2851","中再保","23.95","23Q1","35.9","0.59","","","","41.9","0.56","0.03","4.49","","","0.33","66.2","33.8","21.7","61"
"143",="6176","瑞儀","118.5","23Q2","61","18.4","2.73","79.4","93","0.82","3.65","0.04","1.05","45.3","","0.16","51.5","48.5","68.74","55"
"144",="2520","冠德","31.95","23Q2","27.5","2.49","39","35.1","79.7","2.92","11.5","0.1","0.24","49.6","6.06","0.19","61.3","38.7","33.65","47"
"145",="2404","漢唐","230.5","23Q2","26","29.3","0.08","71","89.8","5.94","3.15","0.04","0.25","75","","0.63","76.8","23.2","53.68","53"
"146",="6177","達麗","32.1","23Q2","0.84","0.68","79.1","1.54","86.5","7.03","4.23","0.03","1.74","68.5","12.1","0.07","82.3","17.7","18.07","34"
"147",="2354","鴻準","54.9","23Q2","43.9","13.6","2.79","57.5","60.6","33.8","2.59","1.45","0.12","24.3","","0.18","25.1","74.9","70.7","45"
"148",="1717","長興","28.8","23Q2","8.88","27.8","15.8","37.2","57.3","8.08","30.8","0.42","0.6","26.8","26.1","1.31","58.8","41.2","19.66","38"
"149",="6282","康舒","51.9","23Q2","44.9","12","11.6","58.2","78.4","2.3","16","","0.59","44.9","25.7","0.2","74.5","25.5","20.22","43"
"150",="2337","旺宏","30.35","23Q2","19.4","4.74","17.4","24.2","42.3","4.72","49.1","0.17","1.48","21.7","14.5","1.5","39.5","60.5","26.7","43"
"151",="1210","大成","54","23Q2","9.21","12.8","14.2","23.6","46","8.15","37.9","0.25","3.48","46.7","3.47","0.41","52.1","47.9","25.35","45"
"152",="4915","致伸","64.5","23Q2","22","31.7","16.3","54.4","72.2","0.8","16.2","4.18","0.65","56.9","0.94","3","64.4","35.6","34.01","45"
"153",="2908","特力","20.05","23Q2","4.31","19.7","17.8","27.5","46","0.26","14.1","6.43","3.58","38.1","23.4","0.37","82.7","17.3","13.09","36"
"154",="8112","至上","50.4","23Q2","4.04","41.7","42.7","45.7","96.8","0.95","0.68","0.2","1.27","55.9","10.6","3.16","69.7","30.3","27.91","28"
"155",="2634","漢翔","55.1","23Q2","1.11","22.7","35.2","31.4","71.6","2.33","18.7","1.88","1.52","46.4","13.6","0.49","65.8","34.2","17.16","34"
"156",="3105","穩懋","130","23Q2","10.8","1.49","7.67","12.5","20.7","25.4","48.3","0.85","1.49","22.4","23.6","0.32","47.7","52.3","76.61","36"
"157",="5388","中磊","116","23Q2","19.2","23.2","38","42.6","82.7","0.32","12.5","1.11","0.85","58.4","16.2","0.2","75.8","24.2","38.16","40"
"158",="6196","帆宣","140","23Q2","15.9","16.1","18.3","60.8","84.4","2.92","6.11","0.26","0.61","63.7","6.45","0.35","75.4","24.6","49.68","47"
"159",="1722","台肥","62.7","23Q2","6.6","4","2.7","10.8","14.7","67.1","15.8","0.14","0.84","6.39","","20.2","35.6","64.4","54.87","66"
"160",="5534","長虹","77","23Q2","2.15","0.39","91.9","3.22","99.1","0.13","0.17","","0.59","61.5","0","0.11","61.7","38.3","62.95","43"
"161",="6278","台表科","89.9","23Q2","14.5","31.6","6.1","64","70.7","0.25","25.1","","1.78","50.2","5.09","0.2","61.4","38.6","63.56","40"
"162",="1513","中興電","110","23Q2","5.03","6.04","17","20.8","41.5","10","33.9","0.71","2.53","34.1","23.4","0.31","66.4","33.6","30.24","45"
"163",="2536","宏普","25.2","23Q2","1.47","0.12","81","1.58","92.2","6.98","0.19","","0.65","61.2","9.85","0.02","71.1","28.9","33.97","34"
"164",="2850","新產","57.3","23Q1","25.1","4.06","","","","49","2.55","0.05","1.69","","","0.16","64.8","35.2","50.19","61"
"165",="1609","大亞","36.15","23Q2","12.4","8.92","15.5","26.3","44.4","18.5","32.3","0","2.28","33.2","29.7","0.39","65.6","34.4","18.76","55"
"166",="5531","鄉林","9.74","23Q2","2.64","1.63","46.1","4.27","52.9","5.09","25.4","0.01","12.1","39","30","3.24","72.6","27.4","10.59","26"
"167",="2101","南港","38.05","23Q2","4.26","3.53","51.6","8.15","67.9","11.5","19.4","0","0.34","44.8","26.8","0.07","73.7","26.3","12.27","30"
"168",="9910","豐泰","170.5","23Q2","8.52","18.1","17.6","26.6","46.5","2.17","42.3","0.81","1.48","35.5","4.16","8.75","56.3","43.7","23.13","45"
"169",="2376","技嘉","331","23Q2","24.9","19.9","35.7","47.2","85.9","4.07","7.73","0.3","0.35","44.5","0","0.98","45.7","54.3","53.32","45"
"170",="6016","康和證","14","23Q1","4.88","19.4","","79.5","82","12.1","2.89","0.17","5.03","74","2.79","0.01","77.1","22.9","13.86","59"
"171",="3010","華立","86.8","23Q2","8.29","35.6","11.3","44.7","67.2","15.6","13.8","0.81","0.52","40.8","14.4","0.57","59.9","40.1","71.62","34"
"172",="3008","大立光","2050","23Q2","57.9","3.26","3.54","64","68.2","1.36","21.3","0.1","8.79","14.8","","0.04","15.1","84.9","1172.74","79"
"173",="2345","智邦","403","23Q2","23.8","26","26.9","62.8","90.3","0.3","4.78","0.33","0.8","53","1.42","0.04","57.5","42.5","36.76","60"
"174",="2383","台光電","435.5","23Q2","29.1","25.5","8.3","54.6","63.6","0","32.1","1.54","0.9","45.9","8.95","0.95","57.7","42.3","60.96","51"
"175",="1304","台聚","20.85","23Q2","15.4","8.82","9.63","28.9","40.3","18.6","34","0.42","0.89","15.4","14.8","1.12","36","64","21.86","43"
"176",="2515","中工","10.05","23Q2","6.98","14.5","39.7","38.8","81.7","10.5","6.37","","0.22","36.2","14.3","0.07","55","45","14.42","28"
