"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(%)","20Q3業外損益(%)","20Q4業外損益(%)","21Q1業外損益(%)","21Q2業外損益(%)","21Q3業外損益(%)","21Q4業外損益(%)","22Q1業外損益(%)","22Q2業外損益(%)","22Q3業外損益(%)","22Q4業外損益(%)","23Q1業外損益(%)","23Q2業外損益(%)"
"1625",="5227","立凱-KY","50.2","-0.2","-0.4","-86.8","-436","-108","-113","-380","13.2","-4.09","-1.55","-1.9","-6.04","-1.99","-0.55","-2.03"
"1626",="1432","大魯閣","16.75","0","0","0.39","24.9","5.49","0.58","-9.6","7.91","-5.14","-2.39","-8.96","-3.1","2.68","-2.64","-5.01"
"1627",="2903","遠百","23.5","+0.15","+0.64","-2.09","2.2","-5.8","-0.3","-2.71","1.41","-9.07","-2.28","-2.57","2.65","-6.7","-1.62","-0.33"
"1628",="5607","遠雄港","55.1","+0.2","+0.36","-3.55","-2.27","-4.33","-5.01","-4.6","-4.52","-2.86","-3.54","-0.58","-4.05","-2.63","-5.2","-2.99"
"1629",="3666","光耀","24.45","-0.05","-0.2","-4.33","1.69","2.56","2.19","-0.67","0.25","4.58","9.85","-0.2","-41.9","-5.14","-0.56","-24.6"
"1630",="2542","興富發","43.4","0","0","-1.36","-2.41","-5.23","18.8","-1.49","2.43","-4.89","-3.15","-9.56","-4.36","-1.57","-2.44","-2.44"
"1631",="6753","龍德造船","107.5","+3.5","+3.37","-2.36","","-0.94","","-0.9","-1.54","-6.61","-0.92","-4.43","-6.35","-0.35","-0.75","-0.8"
"1632",="8440","綠電","36.75","-0.75","-2","0.12","0.63","3.21","-0.5","0.89","1.14","2.43","-0.73","-8.77","-4.03","1.36","5.43","0.4"
"1633",="6712","長聖","196.5","0","0","29.5","76.6","0.75","2.43","54.1","137","21.8","-39.1","-8.46","-11.6","34.2","82.9","4.1"
"1634",="2511","太子","10.8","+0.05","+0.47","1.78","9.07","4.26","19.8","19.3","-23.3","-1.12","-4.69","-4.9","-1.03","0.69","1.08","2.16"
"1635",="3713","新晶投控","26.8","+2.4","+9.84","-2.75","2.07","0.31","0.16","-2.42","-7.96","-0.41","-3.75","-4","-2.17","-3.41","-2.86","-8.61"
"1636",="1760","寶齡富錦","105","0","0","-0.9","-2.98","-0.2","-1.63","1.26","1.86","1.47","4.11","0.44","1.85","-24.6","9.44","-1.88"
"1637",="3062","建漢","21.75","-0.85","-3.76","1.54","-0.08","0.17","-1.14","7.35","15.4","8.74","-0.1","-0.78","4.99","-14.7","-3.86","2.52"
"1638",="6767","台微醫","41.15","+0.15","+0.37","-6.2","-35.6","-11.7","-35.9","-19.5","-7.04","14.1","-5.03","-7.52","0.23","-2.49","22.9","13.1"
"1639",="6869","雲豹能源-創","81","+0.6","+0.75","10.3","","104","","59.8","-43.1","-2.66","-5.17","-14.8","0.26","-0.26","1.45","3.86"
"1640",="2637","慧洋-KY","45.8","+0.6","+1.33","-3.51","-12.4","-6.49","-2.64","-3.57","6.62","-1.37","-1.66","-0.38","-2.72","-11.2","-13.3","6.85"
"1641",="2436","偉詮電","75.1","+1.8","+2.46","7.41","16.9","19.8","23.5","11","6.45","2.94","-0.66","-7.64","-3.62","-3.71","13","11"
"1642",="1815","富喬","14","0","0","-1.01","5.12","6.2","-1.6","-1.46","-1.32","1.58","2.1","-9.13","-1.02","-5.95","-0.22","-6.4"
"1643",="3494","誠研","6.89","-0.11","-1.57","-3.61","11.6","-31","-11.1","36.8","-7.82","-14.1","2.1","-3.73","0.08","-14.9","-6.2","-4.99"
