"排名","代號","名稱","成交","漲跌價","漲跌幅","平均業外損益(%)","20Q3業外損益(%)","20Q4業外損益(%)","21Q1業外損益(%)","21Q2業外損益(%)","21Q3業外損益(%)","21Q4業外損益(%)","22Q1業外損益(%)","22Q2業外損益(%)","22Q3業外損益(%)","22Q4業外損益(%)","23Q1業外損益(%)","23Q2業外損益(%)"
"1",="4174","浩鼎","81.7","-0.3","-0.37","1694","-1255","-28.6","495","-384","40.6","-589","2433","3435","13603","-6985","540","9018"
"2",="4529","淳紳","9.37","+0.85","+9.98","-15286","","-2084","-1180","-3800","-3225","-165064","8445","610","-2094","160","-258","349"
"3",="6492","生華科","45.55","+0.05","+0.11","1701","207","1355","1830","7615","1515","1529","388","553","808","1392","1540","1679"
"4",="6169","昱泉","20.2","-0.2","-0.98","476","58","19.6","18.6","64.8","98.8","1986","675","1266","138","1295","31.5","65.9"
"5",="2443","昶虹","3.15","0","0","556","-5","23.7","2.13","44","-3.97","23.8","-87.2","120","-282","4307","2589","-63.4"
"6",="2363","矽統","37.8","+0.6","+1.61","494","590","-48.1","153","2.33","632","16.7","240","1433","37.1","12.4","15.7","2838"
"7",="5514","三豐","20","0","0","458","29.9","145","-26.6","-61.9","2735","428","28.5","25","1972","79.8","53.3","90.3"
"8",="1418","東華","23.6","+0.1","+0.43","294","-15.8","219","-52.4","-199","-85","3355","-148","-129","-309","1330","-70.5","-370"
"9",="6222","上揚","23.95","+0.95","+4.13","278","-1.07","-0.08","1.02","0.2","17.5","-23.1","19.9","46.4","2921","-38.2","44.5","347"
"10",="2915","潤泰全","60.7","-0.1","-0.16","473","669","5.69","1095","528","741","246","604","813","1162","-884","22.1","674"
"11",="6240","松崗","22.05","-0.2","-0.9","250","-50.8","313","203","572","78.5","176","-60.7","1584","-190","394","33.2","-48.1"
"12",="6841","長佳智能","97","-0.7","-0.72","174","","178","14.5","151","50.7","58.6","25.5","15.8","26.8","969","307","116"
"13",="1235","興泰","77","0","0","168","124","-18.4","-169","-142","321","157","823","397","279","258","729","-743"
"14",="6404","通訊-KY","19.95","-0.1","-0.5","52","10.3","-19.5","19.7","69","170","104","132","226","393","156","-440","-197"
"15",="5302","太欣","10.1","-0.25","-2.42","136","70.7","15.7","43.5","49","100","183","269","150","295","185","194","78.7"
"16",="5523","豐謙","25.4","0","0","101","1.89","1.24","-0.01","0.5","41.1","3.02","1026","1.1","49","83.1","-0.13","-0.1"
"17",="5205","中茂","31.95","+2.8","+9.61","380","0.32","26.8","-0.26","-0.07","-0.15","-0.08","-0.5","4438","7.95","19","81.1","-13.6"
"18",="6550","北極星藥業-KY","83.4","-1.9","-2.23","5241","","190","467","-27.6","-1531","215","-283","-843","-1701","4685","51528","4954"
"19",="1903","士紙","59.9","-0.4","-0.66","77.5","52.3","-13.9","57.8","-3.5","92.5","-5.56","-7.02","-16.5","833","-17.4","-21.1","-20.7"
"20",="4157","太景*-KY","15","0","0","-1.33","-241","-303","-21.6","-1.74","-39.4","593","429","-113","186","-553","59.2","-10.6"
"21",="2704","國賓","50.9","-0.1","-0.2","80.8","33.1","9.3","-5.69","27","75.9","10.9","-5.12","76.3","49.4","368","62.9","268"
"22",="3066","李洲","17.3","+0.2","+1.17","59.9","8.92","55.9","15.7","5.82","12","118","39.5","128","2.52","394","-11.9","-49.9"
"23",="2924","宏太-KY","23.05","-1.8","-7.24","43.6","-1.24","-56.2","-1.57","0.46","259","-19.1","3.15","403","11.8","0.85","-89","12.3"
"24",="2506","太設","9.1","0","0","35.7","6.03","3.42","-2.16","-4.38","49.8","19.1","-13.2","26.2","28.5","337","-2.75","-18.5"
"25",="6657","華安","61.7","-0.6","-0.96","66.4","","58","","23.7","35.3","19.9","122","144","66.9","28.2","85.8","79.3"
"26",="2025","千興","6.25","+0.25","+4.17","200","2.2","4.76","-0.01","9.67","-0.73","-0.56","66.6","-15.2","682","96.7","0.64","1558"
"27",="6198","瑞築","34.7","-0.6","-1.7","39","-3.64","-5.52","6.36","-45.3","0.78","-0.79","90.3","65.2","100","50","210","0.14"
"28",="1423","利華","23.6","0","0","218","49.2","1462","11.8","382","35.3","63.6","39.3","68.4","177","22.9","171","139"
"29",="4743","合一","179","+1.5","+0.85","655","7692","-7621","3578","-2359","180","1903","3057","-14.1","4194","-2428","-83.1","-234"
"30",="2701","萬企","12.75","-0.05","-0.39","28.2","20.8","48","-48.7","-0.87","43.1","-11.3","-8.4","143","145","-18.5","-15.8","43.3"
"31",="4168","醣聯","27.85","+0.3","+1.09","4681","28134","4457","959","1492","5776","110","47.8","23","6681","249","2600","5645"
"32",="1416","廣豐","10.35","+0.05","+0.49","2785","30034","","1.16","299","23.5","0.02","-37.7","103","137","15.2","11.6","42.6"
"33",="1218","泰山","23.7","+0.05","+0.21","23.9","7.92","7.43","4.78","4.53","3.12","4.89","2.34","4.17","4.66","240","1.42","1.48"
"34",="1419","新紡","42.45","-0.25","-0.59","31.8","47.1","1.89","5.57","-5.38","44.2","0.23","206","31.1","21.7","-0.32","2.44","27.4"
"35",="6419","京晨科","38.7","-1.7","-4.21","33.2","17.2","8.95","21.1","20.7","42.5","34.5","51.2","6.83","155","32.2","-1.74","10.4"
"36",="5314","世紀","38.2","-1.55","-3.9","24.7","-18.8","-30.6","5.62","-57","19.7","9.08","18","60.3","148","42.3","34.4","65.2"
"37",="2706","第一店","15.3","-0.05","-0.33","15.9","-47.7","72","-82.6","-24.1","68.6","-51.7","-15.4","146","129","-23.3","-20.7","41.1"
"38",="4609","唐鋒","6.66","+0.37","+5.88","34.8","7.61","5.49","31.2","9.58","9.05","4.95","110","52","70.5","13.2","48.4","56"
"39",="5864","致和證","19.05","-0.4","-2.06","3.84","4.06","2.19","3.06","1.54","8.83","3.08","2.89","","4.86","8.18","2.22","1.31"
"40",="3354","律勝","14.35","-0.1","-0.69","25.5","-10.5","-4.27","21.5","19.3","0.34","6.07","55.4","61.3","100","-40.1","38.6","58.1"
"41",="6854","錼創科技-KY創","105","-1","-0.94","-31.1","","-573","66.4","-63.4","-2.9","6.82","65.2","86.8","68.2","-11.1","7.56","8.01"
"42",="1713","國化","33.8","-0.1","-0.29","44.6","14.3","37.2","23.2","21.5","25","17.2","27.2","21.7","87.2","87.2","77.2","95.9"
"43",="2702","華園","21.3","-0.05","-0.23","-4.33","-25.8","-123","-16","-25.5","-10.9","-17.1","9.37","25.6","15.6","141","-20.2","-4.39"
"44",="6533","晶心科","414","-3","-0.72","25.3","-0.7","-1.77","10.6","-2.02","14.6","-8","59.9","106","100","-30.2","-2.13","57.5"
"45",="8421","旭源","13.05","-0.05","-0.38","11.6","-11","-8.52","-6.06","-2.03","-3.65","-15.4","169","1.18","4.82","6.61","-0.08","4.25"
"46",="2641","正德","15.4","+0.05","+0.33","15.3","-2.27","-1.26","1.29","-1.71","1.02","-1.72","23.9","6.69","55.4","105","2.37","-5.38"
"47",="3040","遠見","29.95","0","0","74.5","387","80.9","90.2","79","55","8.98","33.4","37","98.5","-5.38","4.03","25.9"
"48",="2474","可成","179.5","-1","-0.55","36.4","-7.88","128","5.95","-4.84","2.22","34.7","27","73.4","78.5","-16","33.4","81.4"
"49",="2434","統懋","37.1","-0.1","-0.27","35.4","3.32","154","1.05","-1.39","0.67","28.7","13.5","0.92","190","-46.1","-12.6","92.4"
"50",="2905","三商","13.4","-0.15","-1.11","24.4","18.7","12.9","0.54","25.5","9.56","7.67","44.9","91.6","96.8","-50.5","25.8","9.54"
"51",="3055","蔚華科","34.15","-0.95","-2.71","19.7","10.6","7.1","-0.76","1.98","1.45","-1.62","-3.06","-4.96","39.3","136","57","-6.95"
"52",="2719","燦星旅","57.7","+0.3","+0.52","33.7","7.51","26","28.7","20.9","53.2","120","47","16.5","25","46.1","9.93","3.66"
"53",="6130","上亞科技","34.65","+0.15","+0.43","26","-6.55","-19.7","-23.1","18.1","49.2","85.9","-53.1","-24.7","33.1","185","-6.59","74.8"
"54",="6101","寬魚國際","38.2","+0.1","+0.26","-22.7","110","-147","1.83","-766","380","-224","13.2","382","92.9","-124","0.21","9.38"
"55",="4950","牧東","11.8","-0.05","-0.42","-21.9","-143","-164","12.3","-2.72","1.74","2.21","25.8","30.7","120","-100","4.7","-51.2"
"56",="8093","保銳","15.65","-0.35","-2.19","14.5","3.35","4.31","-0.39","0.43","1.94","6.1","46.2","67.1","41.4","-0.71","0.8","3.82"
"57",="8101","華冠","4.78","-0.11","-2.25","53.3","-0.93","1.5","-4.45","-7.8","4.43","486","-15.7","180","-22.3","18.6","-9.46","9.07"
"58",="2442","新美齊","18.15","-0.2","-1.09","42.2","-1.4","4.55","1.08","7.05","37.9","16.1","193","-1.51","-6.31","414","-164","6.08"
"59",="6111","大宇資","70.4","-0.3","-0.42","58.9","-27.5","28.7","-29.7","-26.7","-0.69","640","10","5.2","8.33","102","-2.4","-0.72"
"60",="8080","永利聯合","8.57","-0.29","-3.27","11.2","59.2","3.83","-2.68","11","0.53","-49","-7.83","-7.03","123","-0.42","2.07","1.94"
"61",="5464","霖宏","27.7","0","0","19.3","-20.4","-11.7","116","-13.5","-0.27","-4.71","44.2","33.9","76.3","-34.9","-3.43","50.2"
"62",="8087","華鎂鑫","61.6","+5.6","+10","44.7","10.2","20.4","36.9","41.9","12.5","49.4","326","-2.15","-48.4","5.69","84.7","-0.94"
"63",="4108","懷特","19.9","0","0","23.5","40.2","-1.89","10.1","8.53","51.5","11.5","12.1","15.3","80.5","16.3","20.7","17.1"
"64",="5269","祥碩","1035","+5","+0.49","22.6","10.5","9.94","19.9","27","26.7","37.5","35.1","29.6","36.6","17.9","8.4","11.9"
"65",="4119","旭富","99.7","+0.1","+0.1","7.16","-1.02","-116","-1.69","-0.51","0.11","-1.49","18","88.6","4.98","26.3","-0.02","68.7"
"66",="5211","蒙恬","22.85","-0.1","-0.44","-25.8","2.63","1.39","17.9","-8.39","3.1","14","32.1","32.9","59.1","-5.75","-469","10.1"
"67",="6023","元大期","59.6","+0.1","+0.17","31.1","21.1","15.7","13.6","12.3","22.9","11.4","13.4","22","43.8","37.8","59.5","99.6"
"68",="6136","富爾特","18.65","0","0","25.1","49.8","-0.82","0.28","3.46","68.2","54.8","3.64","8.18","106","0.45","3.97","3.49"
"69",="6405","悅城","25.7","+0.2","+0.78","25.7","64.8","11.5","78.5","4.96","-3.11","1.95","25.3","39.1","122","-75.8","9.19","29.9"
"70",="2538","基泰","13.35","-1.45","-9.8","177","-95.3","0.31","44.8","-161","-47.2","-5.42","111","45.8","208","-263","2229","63.6"
"71",="1229","聯華","60.2","-0.1","-0.17","31.2","37.8","33","50.5","34.6","30.4","10.6","47","20.8","26.6","19.8","36.9","26.5"
"72",="6015","宏遠證","10.8","-0.3","-2.7","17.1","12.2","5.87","4.87","2.98","18.5","8.81","30.9","49.8","1.03","36.6","22.4","11.8"
"73",="3706","神達","39.25","-0.4","-1.01","26.7","6.3","10.4","6.33","27.6","151","6.06","5.39","6.32","88.1","2.5","3.69","5.92"
"74",="2617","台航","27.9","+0.05","+0.18","11.8","11.5","8.44","2.33","-4.55","22.5","15","4.58","80.9","2.67","12.1","-8.57","-5.39"
"75",="2305","全友","20.05","0","0","23.3","31.3","3.03","19.1","13.8","16.7","19.5","39.1","46","32.3","-8.28","28.6","38.9"
"76",="1722","台肥","60.3","-0.1","-0.17","20.3","8.73","12.4","19.6","27.8","27.8","22.4","27.3","36.6","23.8","11.7","19.8","5.64"
"77",="4128","中天","49.1","+0.2","+0.41","13.8","151","-256","132","-94","8.28","188","209","-110","145","-97.8","-12.9","-96.7"
"78",="1813","寶利徠","19.6","+0.15","+0.77","14.3","4.31","5.7","9.66","-1.81","12","6.28","31.3","28.1","40.9","-9.09","17.8","26.5"
"79",="3518","柏騰","33.3","-0.25","-0.75","16.9","-1.19","-5.36","1.13","0.51","3.5","16.1","4.01","5.97","8.31","105","61.8","2.22"
"80",="1315","達新","71.5","+0.2","+0.28","15.8","18.5","5.14","2.94","1.16","34.8","2.23","11.7","13.8","64","-5.04","4.28","36"
"81",="2498","宏達電","50.1","-0.9","-1.76","20","10.9","13.7","20.3","35.9","8.66","12.5","26.1","36.6","14.3","14.6","28.8","18.1"
"82",="1236","宏亞","21.3","-0.15","-0.7","7.75","0.86","0.4","1.35","1.41","1.11","0.46","84","0.16","0.46","0.3","0.34","2.11"
"83",="1104","環泥","27.9","-0.15","-0.53","14.8","19.5","14.1","8.13","11.9","6.05","8.79","36.4","11.7","14.8","25.9","6.63","14.3"
"84",="4909","新復興","27","-1.3","-4.59","8.72","-2.91","-9.49","-1.98","-13.6","2.68","-0.11","43.6","41.3","74.6","-56.4","3.15","23.8"
"85",="8450","霹靂","23.55","+0.05","+0.21","8.92","-10.3","-8","7.34","-6.38","0.15","-3.64","20.6","26.2","52.1","-11","-0.47","40.4"
"86",="1439","雋揚","22.9","+0.1","+0.44","-7.53","178","-985","173","50.3","7.99","52.4","34.3","17.1","38.2","-6.14","59.2","291"
"87",="6155","鈞寶","26.75","+0.05","+0.19","9.02","-0.49","-2","-0.42","-12.3","-0.75","3.82","27.4","15.6","40.3","-0.03","9.02","28.1"
"88",="3227","原相","127","-0.5","-0.39","7.89","-0.24","-3.08","2.35","-1.24","2.28","1.1","4.92","7.48","79.7","-7.96","-1.01","10.3"
"89",="5263","智崴","120","+3.5","+3","8.2","-1.96","-4.05","-6.05","2.75","4.65","12.6","19.8","-1.92","69.7","-1.15","3.89","0.08"
"90",="2371","大同","48.75","+0.15","+0.31","6.75","0.17","-38","-7.58","3.75","-2.02","29.5","-11.9","-8.72","115","1.16","-1.04","0.79"
"91",="1525","江申","81.6","-1.6","-1.92","28.4","43.9","46.9","29.1","21.4","23.8","41.7","23.4","16.8","24","14.9","42.5","11.9"
"92",="6531","愛普*","339","-11","-3.14","11.9","-0.28","41.9","2.2","-1.19","4.32","2.84","14.1","18.9","45.5","-11.9","2.56","23.7"
"93",="1314","中石化","9.49","+0.03","+0.32","11.2","8.91","19.2","1.61","5.48","7.69","1.4","2.39","-0.26","53","36.9","-1.44","-0.37"
"94",="5355","佳總","7.5","0","0","9.79","-6.96","-2.3","-1.19","-6.83","-0.91","48.3","9.12","8.16","24.1","33.8","0.84","11.4"
"95",="6762","達亞","260","0","0","5.25","-4.03","-5.24","0.66","-9.78","-1.25","-4.12","27.1","32.2","26.1","-3.42","-3.29","8.12"
"96",="3138","耀登","147.5","-3","-1.99","10.3","2.81","7.33","-0.09","2.77","33","8.71","3.34","5.83","13.1","43.4","0.13","3.26"
"97",="9945","潤泰新","34.8","-0.2","-0.57","38.1","70.2","-2.2","125","47.7","45.7","20.5","46.9","68.2","51","-60.9","-7.77","53.2"
"98",="4192","杏國","49","-0.3","-0.61","-0.16","-46.8","-30.2","165","-398","106","47.6","30.8","220","-120","14.5","24.4","-15.3"
"99",="8354","冠好","14.5","+0.05","+0.35","17.2","-6.5","-12.3","8.54","-14.5","-1.92","137","22.5","19.7","48.9","-26.7","3.51","28.6"
"100",="2316","楠梓電","38.3","-0.1","-0.26","14.8","10.5","13.9","13.4","8.95","12.3","13.1","16.1","13.2","25","16.3","15.8","19.5"
"101",="2431","聯昌","11.1","+0.05","+0.45","13.3","0.34","-0.15","54.4","-1.34","3.4","-1.49","5.24","10.8","12.1","51.8","7.33","17.7"
"102",="1339","昭輝","44.05","-0.2","-0.45","5.24","-7.06","-12.5","5.36","-12","-0.52","5.59","23.3","28.2","33.8","-17","0.93","14.7"
"103",="2059","川湖","847","-28","-3.2","5.65","-9.61","-14.4","3.54","-11.3","1.19","-1.22","21.4","20.6","38.3","-13.6","2.65","30.2"
"104",="3115","富榮綱","10.5","+0.25","+2.44","189","-1.52","-33.3","-1.29","-0.04","0.2","-3.22","2.39","","2285","-704","-48.6","579"
"105",="6733","博晟生醫","35.55","-0.35","-0.97","-106","-643","-710","-258","-186","-163","596","28.8","18.7","7.87","18.4","8.97","4.79"
"106",="1465","偉全","13.2","+0.1","+0.76","1.44","-15.4","-15","6.16","-18","-43.1","-1.16","19.7","25.5","41.3","-10.1","3.76","23.8"
"107",="6547","高端疫苗","73.4","+0.7","+0.96","3838","727","1048","4017","29611","2.16","0.84","3.41","80.3","2983","-92.8","",""
"108",="1593","祺驊","64","-4","-5.88","8.39","4.59","6.59","2.97","1.73","2.02","4.59","6.48","19.6","49.4","-0.06","-0.32","3.15"
"109",="6024","群益期","45.2","-0.1","-0.22","23.6","15.7","13.1","10.9","4.81","6.52","7.2","8.81","9.96","19.4","29.1","54.4","103"
"110",="4162","智擎","85.2","-1.2","-1.39","16.6","-16.8","-5.96","51.8","72.4","2.32","1.99","3.16","4.23","53.2","9.3","12.7","11.3"
"111",="4707","磐亞","12.5","-0.15","-1.19","17.9","15.7","12.3","15.1","16.3","12.3","21.4","17.1","13.9","26.2","12.3","26.6","25.6"
"112",="1463","強盛","15.65","+0.2","+1.29","23.2","10.1","23.8","32.9","3.61","10.7","37.4","-0.74","-33","40.6","60.2","60.9","31.8"
"113",="3499","環天科","20.05","0","0","10.1","-8.74","19","3.94","-0.73","20.8","6.74","13","24.3","38.3","-6.19","-3.35","14.4"
"114",="8926","台汽電","43.1","-0.15","-0.35","16.1","6.82","-0.29","11.2","10.5","4.86","9.57","34.4","-18.6","25.6","22","58.8","28.4"
"115",="3630","新鉅科","31.9","-0.5","-1.54","7.58","2.94","2.42","3.62","0.83","-5.16","3.24","5.96","8.32","17.3","44.4","-0.09","7.21"
"116",="6236","康呈","30.15","+2.7","+9.84","12.2","8.03","6.86","14.4","13","12.9","8.74","19.2","26.5","8.62","9.26","3.93","15.1"
"117",="6499","益安","48.4","-0.35","-0.72","-81.8","-25.2","-2.01","21","37.7","-465","104","5.6","45.3","101","-46.1","29.9","-786"
"118",="3631","晟楠","30.1","-1.35","-4.29","16.2","11.1","25.7","15.6","13.9","18.1","9.56","42.7","10","48.8","-46.9","35.1","10.1"
"119",="4188","安克","22.2","-0.45","-1.99","17.4","37.6","17.1","9.13","7.34","16.2","10.9","14.8","9.24","28.2","15","32.3","11.1"
"120",="3622","洋華","44.3","+0.75","+1.72","17.2","47.8","16.7","3.9","10","31.8","8.28","3.63","3.5","60.1","4.13","8.19","8.36"
"121",="8109","博大","102","-1.5","-1.45","5.48","-7.12","0.08","-2.53","-5.9","-0.09","-3.11","23.8","15.7","36.3","-9.7","2.81","15.4"
"122",="6005","群益證","14.8","+0.1","+0.68","12.9","8.56","8.11","6.93","6.03","7.33","7.07","11.3","22.3","15.4","16.5","17.2","27.5"
"123",="8937","合騏","21.25","+0.2","+0.95","12.4","14.3","8.82","42.5","-17","-36.3","14.7","69.6","-19.7","12.5","-1.52","62.6","-1.59"
"124",="4198","欣大健康","24.55","0","0","12.7","11.1","52.3","7.81","0.76","4.4","12.8","3.96","3.31","42.3","4.99","8.31","0.08"
"125",="3025","星通","42.35","+1.75","+4.31","6.93","-0.04","-1.78","-0.74","-0.61","0.92","0.14","11.4","20.8","29.6","-0.19","5.93","17.8"
"126",="3008","大立光","1985","-85","-4.11","8.31","-2.69","1.19","1.32","-8.86","2.76","2.2","27.2","22.4","30.7","-11.2","7.01","27.7"
"127",="6220","岳豐","27.35","+0.05","+0.18","4.39","-1.38","-1.03","-1.1","-1.06","0.45","-1","-0.62","-0.4","62.3","-5.62","-1.45","3.62"
"128",="2451","創見","72.7","-0.1","-0.14","6.73","0.82","3.01","4.1","0.91","0.77","0.91","13.3","37","15.2","-7.15","1.38","10.5"
"129",="2235","謚源","43.8","+0.3","+0.69","4.91","0.22","-2.37","1.53","-4.26","1.09","-2.03","16.6","16.5","29.9","-14.4","-1.11","17.3"
"130",="2527","宏璟","23.05","+0.1","+0.44","3.44","9.31","-1.81","-1.41","-2.05","3.63","-3.13","-4.48","-4.57","105","-30.6","-39.8","11.7"
"131",="5301","寶得利","13.4","-0.4","-2.9","-38.6","14.9","11.6","-24.1","-169","253","-580","39","-57.1","27.1","24.9","-0.77","-2.23"
"132",="6589","台康生技","93.3","+0.1","+0.11","9.02","-2.58","-8.55","-1.23","3.88","1.85","-1.52","13.7","27.4","31.7","-9.42","7.98","45"
"133",="3297","杭特","16.2","+0.05","+0.31","0.3","-2.56","-68.7","6.33","6.97","-15.4","-18.8","20.1","2.29","30.5","-0.3","13.3","29.9"
"134",="8084","巨虹","79.5","-1","-1.24","5.27","8.62","-3.4","-0.14","0.99","0.61","-0.93","12.8","16.5","3.93","20.3","-1.39","5.41"
"135",="5706","鳳凰","68.5","-0.3","-0.44","56","56.6","65.6","305","83.3","35.1","97.6","98.6","-154","80.9","10.2","-12.8","6.65"
"136",="6228","全譜","11.5","+0.3","+2.68","5.39","-3.52","-2.7","-0.52","-20.2","-1.75","-4.3","27.7","9.83","43.6","-6.56","-6.36","29.5"
"137",="6642","富致","48.3","-0.05","-0.1","3.58","-1.42","-2.38","0.36","-3.93","0.2","-0.39","11.6","14.3","35.3","-8.38","-4.36","2.11"
"138",="6127","九豪","23.35","-0.2","-0.85","15.9","-10.6","-9.74","-0.38","-1.36","2.27","-6.57","-3.49","0.47","67.1","9.94","12.4","131"
"139",="3522","御頂","14.05","-0.55","-3.77","-6.2","1.66","-14","1.49","-28.1","-24.8","-60.4","36.9","-2.98","5.24","4.1","3.5","2.99"
"140",="9944","新麗","19.9","0","0","21.8","6.65","4.47","-0.08","-0.78","5.31","120","3.17","2.4","5.7","47.6","63.2","3.43"
"141",="3679","新至陞","92.6","0","0","4.3","-6.85","-8.2","2.44","-6.22","-0.02","-2.17","8.06","24","27.8","-8.83","0.24","21.3"
"142",="1540","喬福","18.55","-0.5","-2.62","3.46","-33.3","10.3","7.76","-9.79","-5.93","-3.18","22.4","9.12","28.5","-8.93","1.29","23.3"
"143",="8024","佑華","20.45","-0.1","-0.49","4.07","-3.6","-6.43","0.75","-4.12","0.87","-1.08","13.2","16.6","25.6","-10","0.2","16.9"
"144",="2227","裕日車","185","+1","+0.54","16.2","37.3","40.3","11.8","13.8","16.3","19.4","11.5","8.54","21.8","8.18","4.74","0.75"
"145",="6441","廣錠","53.5","-0.9","-1.65","6.76","0.78","2.07","-3.84","-0.9","-3.67","29.2","15.4","17.9","22.3","-2.06","-0.61","4.55"
"146",="1446","宏和","37.6","-0.1","-0.27","3.85","-1.12","-17.3","4.32","-7.37","4.74","4.22","24","15.4","28.1","-13.3","-8.25","12.8"
"147",="2901","欣欣","25.5","+0.1","+0.39","11.2","12.1","6.85","15","4.65","19.9","9.86","8.27","9.96","22.7","9.5","6.43","9.19"
"148",="1103","嘉泥","18.5","-0.05","-0.27","38.9","170","-1.01","4.49","-1.82","201","36.4","9.56","-59.1","72.9","17.6","12.5","4.94"
"149",="6164","華興","11.3","-0.1","-0.88","5.27","4.53","5.33","3.75","2.89","2.12","-7.91","3.76","18","9.26","17.5","3.19","0.73"
"150",="5530","龍巖","36.4","+0.2","+0.55","12.1","15.2","1.72","9.53","7.11","31.7","14.6","12.6","24.6","5.48","3.03","-3.1","22.8"
"151",="8234","新漢","50.2","-0.6","-1.18","4.02","0.11","1.04","0.23","0.34","0.4","0.65","2.48","0.98","44.9","-2.17","0.79","-1.56"
"152",="2929","淘帝-KY","11.45","0","0","7.16","8.08","3.59","2.19","2.77","3.34","1.59","2.31","2.73","57.2","0.63","0.99","0.52"
"153",="1777","生泰","88.6","-0.1","-0.11","6.1","-4.68","-6.22","0.57","-7.53","0.26","31.7","23.2","17.8","20.2","-12.8","0.3","10.3"
"154",="8499","鼎炫-KY","101","-1.5","-1.46","6.42","-6.74","-5.22","1.81","-1.69","2.77","1.6","4.63","14.8","21.1","4.72","15.2","24.1"
"155",="1539","巨庭","23.85","+0.05","+0.21","0.49","-7.74","-9.47","-3","-5.42","-0.23","-4.56","8.13","23.8","11.6","-9.78","-1.83","4.4"
"156",="4702","中美實","13.45","+0.05","+0.37","10.9","0.37","29.6","5.05","0.24","6.57","28.3","7.45","6.65","29.6","12.5","2.05","1.97"
"157",="5481","新華","12.95","-0.05","-0.38","62.3","-18.2","-79.2","4.69","836","-13.4","-10.3","0.02","9.06","28.8","4.1","-12","-1.76"
"158",="4712","南璋","4.38","0","0","-7397","16.2","-1190","-95.3","-733","-108","24.5","439","496","3064","-30","","-83246"
"159",="8085","福華","34.1","-0.3","-0.87","9.08","3.21","21.4","9.04","3.88","7.21","5.87","11.4","12.3","26.8","-6.93","4.36","10.3"
"160",="3086","華義","64.3","-0.2","-0.31","4.14","-10","4.67","0.25","-3.8","-0.58","-0.55","11.4","14.6","28.1","-9.61","0.69","14.5"
"161",="6185","幃翔","17.65","-0.2","-1.12","4.9","-4","-31.1","18.4","1.21","-3.23","-1.85","4.05","0.56","17.1","21.8","9.86","25.9"
"162",="2939","凱羿-KY","27.5","0","0","8.28","-1","-8.29","0.13","-10.9","1.03","0.5","17.2","12.7","47.1","-7.76","7.08","41.6"
"163",="9908","大台北","32.7","-0.1","-0.3","16.3","32.9","9.69","10.2","7.61","31.7","15.9","4.63","2.08","35.1","5.17","13.4","27.2"
"164",="3167","大量","44.6","0","0","6.81","-1.02","28.4","0.54","-0.64","0.69","1.16","4.14","28","9.11","-3.78","2.45","12.6"
"165",="3390","旭軟","17.45","0","0","3.58","-8.78","-3.68","0.14","-6.11","1.96","-1.69","20.7","8.31","23.9","-18","4.42","21.8"
"166",="1453","大將","13.15","+0.1","+0.77","2692","-1.21","3659","71.2","4952","1272","368","38","-152","5.48","5313","4806","11973"
"167",="6120","達運","14.1","0","0","5.56","1.19","0.52","0.91","1.6","1.04","11.5","5.47","5.62","5.37","30.9","0.83","1.76"
"168",="8111","立碁","18.45","-0.15","-0.81","13.4","1.31","-4.38","3.79","-8.02","3.2","91.5","8.86","12.3","33.1","-10.8","-0.62","30.5"
"169",="8222","寶一","54.5","+2.2","+4.21","5.21","4.68","1.44","3.75","-4.11","7.42","-2.62","12.1","11.9","27.3","-12.8","-2.02","15.4"
"170",="6576","逸達","80.9","-0.2","-0.25","839","-32.1","0.46","4.15","-2.46","9882","104","6.33","5.68","83.9","1.56","3.44","11.7"
"171",="3444","利機","76.9","+0.1","+0.13","4.89","1.22","-2.35","0.33","0.64","2.77","1.25","8.97","12","20.6","0.07","6.45","6.64"
"172",="1595","川寶","38.8","0","0","2.87","-4.07","-5.28","0.39","-4.79","0.84","2.24","11.4","11.6","28.8","-12.2","-0.86","6.37"
"173",="2408","南亞科","67.2","0","0","6.03","0.16","-1.13","1.73","-0.63","1.33","0.47","8.85","9.66","20.3","1.58","12","18"
"174",="4167","松瑞藥","17.8","-0.1","-0.56","3.39","-3.6","-2.84","-1.03","-3.49","1.76","-0.77","1.48","0.39","41.6","-7.9","0.15","14.9"
"175",="8942","森鉅","73.2","-0.4","-0.54","10.6","25.2","1.84","19.4","21","7.73","3.32","15.7","5.88","29.3","-18","1.02","14.5"
"176",="4744","皇將","30.15","-0.85","-2.74","3.7","-4.6","-1.1","0.99","-7.57","5.16","-0.15","19","16.4","30.1","-10.9","-6.91","4.09"
"177",="3083","網龍","42.9","-0.2","-0.46","10.2","15.5","2.44","4.28","2.92","25.9","0.5","5.35","18.6","10.9","1.22","4.15","31.2"
"178",="1468","昶和","13.35","0","0","7.26","9.76","9.2","9.08","-2.35","0.73","2.82","7.68","19.7","14.5","-1.72","0.86","16.9"
"179",="2009","第一銅","29.3","-0.1","-0.34","8.27","26.3","6.95","7.07","0.79","18.1","0.25","-1.86","-0.61","43","-0.8","0.31","-0.15"
"180",="9943","好樂迪","89.2","+0.2","+0.22","-4.62","10.4","8.2","8.46","-8","-147","11.2","9.92","7.27","16","5.77","9.61","12.3"
"181",="3498","陽程","35.05","-0.35","-0.99","4.34","-2.68","-0.11","0.92","0.29","7.79","-3.61","6.74","13","21.2","3.69","-1.5","6.3"
