"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","2012發放年度","2013發放年度","2014發放年度","2015發放年度","2016發放年度","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度"
"1",="2603","長榮","12/25","142","-11","-7.19","11.31","135.7","7.57","90.79","0","0","0","0.1","0","0","0.2","0","0","2.49","18","70"
"2",="2609","陽明","12/25","51.8","-5.7","-9.91","7.06","84.71","3.33","40","0","0","0","0","0","0","0","0","0","0","20","20"
"3",="2636","台驊投控","12/25","88.2","-6.9","-7.26","7.54","90.46","3.31","39.67","0.59","0.4","0.76","1.3","1.8","0.8","1.3","2.2","1.32","3.02","13","13.18"
"4",="6204","艾華","12/25","123","+4","+3.36","3.9","46.79","5.06","60.67","1.6","1","1.1","1","0.7","1","1.1","1","2","25","7.2","17.97"
"5",="8924","大田","12/25","88.8","+0.3","+0.34","4.99","59.84","3.42","41.05","0.6","0.5","0","0","0","0","3.4","1.2","3.8","5","13.7","12.85"
"6",="3056","富華新","12/25","29.3","-0.35","-1.18","4.2","50.36","2.15","25.8","1","1","1.8","0.5","2.5","2.5","2","1.5","3","4.4","1.5","4.1"
"7",="8941","關中","12/25","59.1","+0.1","+0.17","3.49","41.83","2.54","30.5","0","0","0","0.5","1.5","3","8","3","1","2.5","3","8"
"8",="2637","慧洋-KY","12/25","49.95","-3.25","-6.11","4.72","51.91","2.42","29.07","1.5","1.75","2","2.92","2.5","1","1","1.49","1.42","1.5","5.5","6.5"
"9",="5609","中菲行","12/25","83","-5.4","-6.11","4.98","59.81","3.05","36.61","1.02","0.68","0.72","1.02","1.02","2","1.18","1.5","1.36","5.2","10.2","10.71"
"10",="3541","西柏","12/25","38.8","-0.45","-1.15","4.43","53.17","3.63","43.59","2","2.5","2.5","4.5","4","4","5","4","5.04","2.02","3.03","5"
"11",="5015","華祺","12/25","44.85","-0.45","-0.99","3.23","38.75","2.59","31.1","1.5","0.2","1.2","3","2","2.5","3.1","4.2","2.4","1.9","3.5","5.6"
"12",="4736","泰博","12/25","161","0","0","10.83","130","7.73","92.76","4","3","4.88","5.2","5","5","4.9","7.99","6.43","11.42","14.94","19.98"
"13",="8938","明安","12/25","73.2","-0.1","-0.14","4.13","49.54","2.56","30.67","1.1","2.2","0.6","0.5","0.7","1.3","2.6","2.2","2.3","2.7","5.5","8.97"
"14",="6174","安碁","12/25","22.6","-0.3","-1.31","1","11.97","0.88","10.6","0.1","0.3","1.2","1.2","1","1","0.5","1","0","0","1.6","2.7"
"15",="3455","由田","12/25","73.3","-0.6","-0.81","3.67","44.07","2.8","33.55","1","0","0","0.5","2.5","3.5","2.05","3","3","4","5.5","8.5"
"16",="6220","岳豐","12/25","25.95","-0.25","-0.95","1.83","21.99","1.14","13.69","0.25","0","0","0.61","1.25","2.3","2.3","2","0.85","1","0.13","3"
"17",="4440","宜新實業","12/25","26.2","0","0","3.85","19.23","2.5","12.5","","","","","","","","3","2","0.5","4","3"
"18",="2221","大甲","12/25","36.5","0","0","2.27","27.27","1.47","17.66","1.3","0.31","0.31","0.31","1.01","1.3","1.5","2.1","1.5","1","3","4"
"19",="8289","泰藝","12/25","32.25","-0.1","-0.31","1.12","13.49","0.78","9.34","0.65","0","0.5","0.65","0.62","0.5","0.3","0.4","0","0.12","2.1","3.5"
"20",="3033","威健","12/25","28.45","-0.35","-1.22","2.22","26.6","1.73","20.82","2.5","1.5","2","1.94","1.5","1.06","1.31","1.02","0.58","1.33","3.01","3.07"
"21",="2545","皇翔","12/25","42.8","-0.2","-0.47","4.96","59.57","3.68","44.1","3","7.5","4","4","1.2","4.5","1.5","1.8","1.2","4.5","6.3","4.6"
"22",="1451","年興","12/25","18.85","-0.05","-0.26","1.18","14.2","1.35","16.2","1","1.3","2","1.8","1.5","1.5","1.5","2","0","0.6","1","2"
"23",="3592","瑞鼎","12/25","388.5","-5","-1.27","17.63","211.6","13.34","160.1","8","8","8","6","6.56","6.5","5.5","7","8","10.5","45","41"
"24",="6227","茂綸","12/25","40.8","0","0","2.44","29.24","1.42","17.05","0.5","0.5","0.4","0.9","1","1","1.1","1.5","1","1.5","3.35","4.3"
"25",="6419","京晨科","12/25","50.8","-2.4","-4.51","0.76","8.34","1.36","14.94","","3.56","6.08","0","0","0","0","0","0","0","0","5.3"
"26",="1539","巨庭","12/25","24.05","-0.25","-1.03","1.95","23.43","0.85","10.19","0","0","0","0.89","1.2","1.2","1","1.8","0.8","0","0.8","2.5"
"27",="6670","復盛應用","12/25","213.5","-0.5","-0.23","18.07","108.4","11.43","68.6","","","","","","","9","11","8","6.6","12","22"
"28",="8420","明揚","12/25","58.3","+0.1","+0.17","2.24","26.94","1.24","14.92","0","0","0.45","0.2","1.2","1.2","0.5","0.8","1.3","0.8","2.5","5.97"
"29",="2430","燦坤","12/25","39.05","0","0","2.8","33.64","2.04","24.46","4.5","2","2","0.4","1.21","2","1.36","0.9","1","1.55","3.54","4"
"30",="5291","邑昇","12/25","26.65","-0.15","-0.56","2","21.95","1.2","13.18","","1.5","1.8","1.78","0.31","0","0","0.8","1.21","1.07","2.01","2.7"
"31",="3209","全科","12/25","35.55","-0.05","-0.14","2.52","30.22","1.44","17.26","1.1","0.6","1.5","1.3","1.2","1.1","0.8","1","1.28","1.4","2.4","3.58"
"32",="5315","光聯","12/25","18.15","+0.05","+0.28","1.05","12.55","0.81","9.72","0","0","0","0","0","2.5","1","1.47","0.82","0.82","1.3","1.8"
"33",="9962","有益","12/25","18.45","0","0","0.76","9.07","0.67","8.05","0.8","1.1","0.7","0.2","0","0.6","0.65","0.9","0.2","0","1.1","1.8"
"34",="6609","瀧澤科","12/25","31.35","0","0","2.58","30.94","1.43","17.2","1.2","1","1.5","2","1.4","0.6","1","2.2","1","0.8","1.5","3"
"35",="3090","日電貿","12/25","57.7","-0.1","-0.17","3.76","45.12","2.79","33.5","1.6","0.3","1","1.5","2","2","2.5","6.5","3.5","3.1","4","5.5"
"36",="2643","捷迅","12/25","73.7","-2.6","-3.41","5.58","55.79","2.83","28.29","","","0.5","1.5","2","2.29","2","2","2","4","5","7"
"37",="3093","港建*","12/25","31.7","+0.5","+1.6","2.89","34.65","2.5","29.98","2.5","2.16","2.45","1.7","2.4","1.82","0.55","1.3","1.6","4.2","6.3","3"
"38",="8401","白紗科","12/25","21.15","-0.1","-0.47","1.06","12.75","0.81","9.71","0.3","0.25","0","1.14","0.6","0.4","1.28","0.85","0.5","0.67","1.73","2"
"39",="3679","新至陞","12/25","106","-0.5","-0.47","6.59","79.02","5.64","67.65","4","3.04","3","3.5","4","8","6.11","3","4","10","9","10"
"40",="4952","凌通","12/25","53.8","-0.3","-0.55","3.1","37.2","2.88","34.6","1.5","1","2.5","2.8","3.2","3.5","3","2.5","1.8","2.4","5.4","5"
"41",="1708","東鹼","12/25","32.3","-0.95","-2.86","2.63","31.55","1.1","13.2","1.5","0.5","0.5","1.5","0.5","0.5","1","0.5","0.8","0.9","2","3"
"42",="8024","佑華","12/25","21.7","-0.15","-0.69","0.47","5.63","0.6","7.23","0.23","1","1","0.5","0.2","0.3","0.3","0.3","0","0","1.4","2"
"43",="3221","台嘉碩","12/25","27.2","-0.3","-1.09","1.05","12.65","0.88","10.57","0.2","0.25","0.94","1.3","0.99","1","0.48","0.42","0.2","0.2","2.1","2.5"
"44",="9907","統一實","12/25","16.1","0","0","0.66","7.95","0.54","6.48","0.55","0.15","0.65","0.45","0.32","0.38","0.5","0.47","0","0.53","1","1.48"
"45",="2615","萬海","12/25","54.5","-5.6","-9.32","7.53","90.34","1.97","23.61","0","0.8","0.8","2","1.2","0.4","0.5","0.61","0.8","1","10.5","5"
"46",="3312","弘憶股","12/25","22.1","-0.05","-0.23","0.85","10.15","0.52","6.2","1","0","0","0","0","0","0","0.6","0.6","0","2","2"
"47",="8482","商億-KY","12/25","68.8","+0.8","+1.18","8.3","49.79","6.32","37.92","","","","","","","6.99","8","6.04","4.8","5.87","6.22"
"48",="3511","矽瑪","12/25","27.75","-0.1","-0.36","0.26","3.14","0.65","7.85","1.5","0.55","1","0","0.8","0","0","0","0","0.5","1","2.5"
"49",="3512","皇龍","12/25","33.35","-0.25","-0.74","0.29","3.46","0.68","8.2","0","0.2","0","0","0","0","0","0","0","2","3","3"
"50",="00858","永豐美國500大","12/25","28.66","+0.03","+0.1","","","1.06","4.25","","","","","","","","","0.08","0.34","1.25","2.57"
"51",="00712","復華富時不動產","12/25","10.1","-0.06","-0.59","","","0.93","6.54","","","","","","0.15","1.78","1.03","1.06","0.77","0.84","0.9"
"52",="2235","謚源","12/25","45","-0.1","-0.22","3.56","42.68","2.88","34.5","1","1.5","2","4","5","4","3.5","3","3","2","1.5","4"
"53",="3703","欣陸","12/25","28.15","-0.05","-0.18","1.3","15.65","0.84","10.08","0.5","0.5","0.5","0","0.5","0.5","0.6","0.9","0.5","1.4","1.68","2.5"
"54",="4995","晶達","12/25","47.3","+0.1","+0.21","2.55","30.6","2.27","27.2","1.07","1","1.2","3","2.52","1.8","2.26","2.15","3.7","1.8","2.5","4.2"
"55",="2597","潤弘","12/25","113.5","-0.5","-0.44","5.92","71.07","5.29","63.45","1.4","1.9","6.9","7.5","4.6","4","2.35","4.8","4.5","6.5","9","10"
"56",="3580","友威科","12/25","51.5","0","0","0.44","5.27","1.23","14.74","0","0","0","0","0","0","3","2.1","1.74","1.3","2.1","4.5"
"57",="4974","亞泰","12/25","66.4","+0.1","+0.15","4.7","56.42","3.18","38.13","2.6","2.44","2.5","2.7","2.65","2.49","2.75","3.1","3.3","3.5","4.3","5.8"
"58",="1569","濱川","12/25","23","-0.05","-0.22","1.27","15.21","0.72","8.63","1.8","0.2","0","0","0","0.39","0.6","0.25","0.29","1.5","1.6","2"
"59",="00690","兆豐藍籌30","12/25","28.84","+0.12","+0.42","","","1.31","9.17","","","","","","0.81","0.66","1.12","0.84","0.84","2.4","2.5"
"60",="1709","和益","12/25","20.8","-0.1","-0.48","1.34","16.08","1.01","12.18","0.8","0.3","0.6","0.6","1.18","1.51","1.5","0.5","0.5","1.2","1.7","1.8"
"61",="2534","宏盛","12/25","20.25","0","0","1.74","20.82","0.96","11.55","1.2","1","1","0.4","0.5","1","2","0","0.5","1","1.2","1.75"
"62",="6438","迅得","12/25","103","-0.5","-0.48","5.97","59.71","4.21","42.12","","","6","3","3.5","2","4","2.8","1.53","4.14","6.3","8.85"
"63",="3028","增你強","12/25","34.05","-0.2","-0.58","2.04","24.47","1.84","22.07","2.1","1.3","1","1.7","1.7","1.5","1.82","1.7","1","1.9","3.44","2.91"
"64",="3557","嘉威","12/25","58.9","-0.3","-0.51","1.12","13.44","1.67","20","0","0","0","0","0","0","0","0","2.35","6.65","6","5"
"65",="8131","福懋科","12/25","38.9","-0.05","-0.13","2.58","30.93","1.98","23.7","1.6","1","0.4","1.4","2","2","2.5","2.5","2.2","2.3","2.5","3.3"
"66",="6270","倍微","12/25","24.8","+0.1","+0.4","0.46","5.48","1.01","12.12","1","0.5","0.5","0.55","0.5","0.5","0.97","1","1.3","1.2","2","2.1"
"67",="6606","建德工業","12/25","23.65","-0.1","-0.42","1.83","9.17","1.59","7.96","","","","","","","","0.76","1.2","2","2","2"
"68",="9906","欣巴巴","12/25","54.1","+0.1","+0.19","1.99","23.92","0.44","5.23","0","0","0","0","0","0","0","0","0","0","0.66","4.57"
"69",="1315","達新","12/25","71.8","+0.1","+0.14","4.44","53.25","2.83","33.95","1.7","1","1","1.1","1.1","1.1","1.1","1.2","7.65","6","5","6"
"70",="6494","九齊","12/25","78.5","-1.5","-1.88","5.4","48.6","3.63","32.7","","","","2.2","1.8","3","3.5","2.2","2","3.5","8","6.5"
"71",="8928","鉅明","12/25","31.6","-0.05","-0.16","2.33","28.02","1.48","17.7","0","0","0","2","2.5","1.5","1.5","1.5","2","1.6","2.5","2.6"
"72",="6641","基士德-KY","12/25","42.6","0","0","5.54","38.8","3.56","24.94","","","","","","1.06","3.01","3.8","4.57","4.5","4.5","3.5"
"73",="8064","東捷","12/25","18.3","+0.25","+1.39","0.81","9.75","0.68","8.2","0","0","0.9","1","0.5","0.85","0","1","1","0.2","1.25","1.5"
"74",="3048","益登","12/25","24.45","0","0","1.97","23.7","1.18","14.17","0.68","0.5","0.5","0.99","1","0.5","1","0.7","1","1.9","3.4","2"
"75",="6525","捷敏-KY","12/25","67.7","-0.3","-0.44","6.02","48.15","4.14","33.1","","","","","3.3","3.8","3","4","3.5","4.5","5.5","5.5"
"76",="6591","動力-KY","12/25","48.55","-0.45","-0.92","5.77","40.4","2.45","17.13","","","","","","1.5","2","1.5","1.46","2.73","4","3.94"
"77",="6195","詩肯","12/25","42","0","0","4.82","57.84","3.8","45.56","4.5","4","5","5.11","3.5","2.97","3.94","3","1.8","3.94","4.4","3.4"
"78",="9960","邁達康","12/25","27.3","-0.45","-1.62","1.25","15","0.89","10.65","1","1","0.8","0.8","0.5","0.4","0","0.45","0.8","1","1.7","2.2"
"79",="6261","久元","12/25","62.2","0","0","5.05","60.66","4.09","49.07","5.24","4.66","3.67","5","3.3","3.1","4.1","3","3","4","5","5"
"80",="8016","矽創","12/25","274","-7","-2.49","12.27","147.2","8.46","101.5","2","2.5","3","4.5","5","6","5.5","5","6.5","7.5","32","22"
"81",="6180","橘子","12/25","72.8","-0.5","-0.68","2.86","34.37","2.32","27.84","0.8","0","0.5","0.7","1.2","0","0.5","6.2","3.14","4","5","5.8"
"82",="6206","飛捷","12/25","69.5","-0.7","-1","5.97","71.59","4.78","57.3","3.5","3.35","6","5.95","6","5","4.5","5","4.5","4","4","5.5"
"83",="6508","惠光","12/25","34","0","0","2.48","29.8","1.69","20.31","1.3","1.3","1.4","1.8","1.3","1.3","1.35","1.5","1.8","1.59","2.99","2.69"
"84",="8049","晶采","12/25","38.25","+0.05","+0.13","1.42","17.07","1.21","14.52","0","0","0.11","0.31","0.85","1.3","1.4","2","1.8","1.65","2.1","3"
"85",="3501","維熹","12/25","51.2","-0.1","-0.19","4.72","56.64","3.17","38","3","3.2","3","2.6","4","4","3.2","3.5","3","2.5","2","4"
"86",="2548","華固","12/25","96.1","0","0","9.01","108.1","5.99","71.9","5.6","5","5.5","5","5.5","5.6","5.2","5","7.5","7","7.5","7.5"
"87",="6642","富致","12/25","46.2","+0.2","+0.43","3.06","18.34","2.47","14.83","","","","","","","1.7","2.63","1.5","1.8","3.6","3.6"
"88",="3597","映興","12/25","21.85","-0.35","-1.58","0.89","10.67","0.88","10.57","0.5","0","0.6","0.71","0.8","0.51","0.2","1.8","0.85","1.2","1.7","1.7"
"89",="2474","可成","12/25","193","+2","+1.05","22.79","273.4","9.43","113.1","5","6","4.9","6","10","10","12","12","10","12","10.21","15"
"90",="3556","禾瑞亞","12/25","60.7","-0.1","-0.16","4.43","53.19","4.06","48.7","4.3","2.15","7","4.3","3.7","3.7","4.1","3.3","3.3","3.15","5","4.7"
"91",="4935","茂林-KY","12/25","51.7","+0.3","+0.58","5.02","55.17","2.58","31","2.5","1.2","1","2","3.5","3","1","0.8","1.5","5.5","5","4"
"92",="6294","智基","12/25","114.5","+0.5","+0.44","6.89","82.62","5.22","62.6","0","0","0","0","3.8","8","7.5","8","8","9","9.5","8.8"
"93",="8421","旭源","12/25","13.15","+0.05","+0.38","0.51","6.06","0.38","4.58","0.45","0.8","0","0","0.49","1.18","0.3","0.35","0","0","0","1.01"
"94",="3528","安馳","12/25","53.4","-0.1","-0.19","3.28","39.35","2.55","30.6","1.8","1.8","2","2.2","2.3","2.4","2.3","2.5","2.5","2.9","3.8","4.1"
"95",="1537","廣隆","12/25","131","0","0","9.32","111.8","7.67","92","2.5","4.5","5.5","6.5","7.5","9","9.5","10","10","10","7","10"
"96",="6176","瑞儀","12/25","131","-2.5","-1.87","9.98","119.8","6.82","81.8","6.5","8","7","5.5","4.5","4.5","4.8","7","8","8","8","10"
"97",="6570","維田","12/25","51.6","0","0","2.51","20.08","1.95","15.63","","","","","2","1.5","1","1.8","1.4","1","3","3.93"
"98",="6147","頎邦","12/25","72.3","-1","-1.36","5.12","61.42","3.28","39.35","2","2.6","2.6","2.6","2.1","2.1","2.35","3.5","4.2","3.8","6","5.5"
"99",="8091","翔名","12/25","92.2","-0.1","-0.11","5.68","68.16","4.23","50.79","2.97","5.13","3.97","3.42","3","3.63","8.1","5.63","1.45","2.58","3.91","7"
"100",="8074","鉅橡","12/25","19.85","-0.05","-0.25","1.72","20.61","1.28","15.38","1","1.5","1.3","1.3","1.49","1.67","1.39","1.24","1","1","1","1.5"
"101",="00915","凱基優選高股息30","12/25","22.38","+0.04","+0.18","","","1.69","1.69","","","","","","","","","","","","1.69"
"102",="4987","科誠","12/25","59.8","-0.2","-0.33","5.26","63.07","3.72","44.7","2.3","2.5","4","5","5","3.5","4.7","5","3.2","2","3","4.5"
"103",="6278","台表科","12/25","93.1","-0.7","-0.75","5.75","69.03","2.58","31","2","1.5","1.8","1.5","1.5","1","1.3","1.3","2.8","3.3","6","7"
"104",="8032","光菱","12/25","29.3","-0.1","-0.34","2.69","32.32","1.67","20.03","1.3","1.3","2.2","2.3","1.3","1.8","1.7","2","1.13","1","1.8","2.2"
"105",="6768","志強-KY","12/25","66.6","-0.2","-0.3","5","14.99","3.83","11.5","","","","","","","","","","3","3.5","5"
"106",="6651","全宇昕","12/25","80.2","+0.4","+0.5","5.14","30.86","2.81","16.86","","","","","","","1.84","1.02","1","3","4","6"
"107",="5011","久陽","12/25","26.7","+0.25","+0.95","0.96","11.49","0.86","10.35","1.8","1.2","0.78","1.6","0.53","0.5","0","1","0","0","0.95","1.99"
"108",="6151","晉倫","12/25","26.8","+0.05","+0.19","1.99","23.85","1.59","19.1","0.8","0.9","0.7","1.2","2.2","2.2","2","1.3","1","1.8","3","2"
"109",="8112","至上","12/25","59","-0.9","-1.5","3.04","36.51","2.22","26.68","1.19","0.4","0.67","1.1","0.94","2.48","2.8","3","2.7","3","4","4.4"
"110",="5410","國眾","12/25","33.5","-0.3","-0.89","1.59","19.03","1.29","15.48","0.64","0.65","0.83","1.08","1.22","1","1.23","1.3","1.5","1.69","1.85","2.49"
"111",="3015","全漢","12/25","51.1","-0.8","-1.54","2.2","26.44","1.94","23.28","2","1.99","1.8","0.1","1.5","1.5","1.5","1.25","1.54","3","3.3","3.8"
"112",="8481","政伸","12/25","51.1","+0.1","+0.2","5.02","40.18","4.01","32.1","","","","","3.6","2.2","3","3","3","7","6.5","3.8"
"113",="4417","金洲","12/25","39","-0.2","-0.51","3.46","41.48","1.72","20.7","0.5","0.9","0.5","1","1.8","2.2","1.8","2.5","2","2.5","2.1","2.9"
"114",="2030","彰源","12/25","20.25","+0.35","+1.76","0.97","11.61","0.61","7.31","0","0","0","0.5","0","0.3","1","1","0.51","0.5","2","1.5"
"115",="00918","大華優利高填息30","12/25","21.88","-0.12","-0.55","","","1.62","1.62","","","","","","","","","","","","1.62"
"116",="00919","群益台灣精選高息","12/25","22.02","-0.1","-0.45","","","1.63","1.63","","","","","","","","","","","","1.63"
"117",="1712","興農","12/25","38.05","-0.25","-0.65","1.7","20.43","1.19","14.33","0.8","0.8","0.8","0.9","0.6","0.94","1","1.3","1.3","1.3","1.8","2.8"
"118",="5608","四維航","12/25","20.4","-1.5","-6.85","0.55","6.58","0.63","7.51","1.5","1","1","0.51","0","0","0","0","0","0","2","1.5"
"119",="3034","聯詠","12/25","504","-2","-0.4","17.75","213","14.39","172.7","4.6","5.59","6","10","9","7","7.1","8.8","10.5","15.6","51.5","37"
"120",="8046","南電","12/25","246","+4.5","+1.86","4.32","51.81","3.2","38.4","2","0","0","1.3","1","0.8","0.5","0.7","0.7","3.4","10","18"
"121",="6215","和椿","12/25","24.65","-0.15","-0.6","1.01","12.1","0.7","8.45","0.4","0","0.6","1","0.25","0.5","0.6","0.5","0.5","0.5","1.8","1.8"
"122",="6728","上洋","12/25","137","+0.5","+0.37","8.03","40.15","5.63","28.13","","","","","","","","0.93","4","4.2","9","10"
"123",="3030","德律","12/25","61.7","+0.1","+0.16","4.53","54.42","3.51","42.1","2.7","3.7","3.3","4.3","4","3","3","3.7","3.3","3.3","3.3","4.5"
"124",="2414","精技","12/25","34.3","+0.1","+0.29","1.82","21.88","1.56","18.7","1.35","1.15","1","1.2","1.25","1.3","1.4","1.45","1.5","1.8","2.8","2.5"
"125",="2420","新巨","12/25","48.1","+0.2","+0.42","3.36","40.28","2.7","32.35","2","2","2.8","3.5","2.5","3","2.7","2.8","2","2.55","3","3.5"
"126",="3042","晶技","12/25","96.6","0","0","4.24","50.9","3.31","39.7","2.2","2.2","2.2","2.5","2.5","2.8","2.5","2","2.5","3.8","7.5","7"
"127",="8021","尖點","12/25","27.6","-0.15","-0.54","1.98","23.76","1.2","14.41","0.72","0.71","0.8","1.22","1.36","0.91","0.4","1.2","1.2","1.58","2.3","2"
"128",="3646","艾恩特","12/25","28.6","0","0","1.02","12.28","1.25","15.01","2","1","1.5","1","1","0.99","1","1","0.85","0.92","1.68","2.07"
"129",="6581","鋼聯","12/25","90","+0.4","+0.45","5.87","41.06","4.26","29.83","","","","","","3.4","5.35","4.98","2.6","3","4","6.5"
"130",="2641","正德","12/25","20.75","-0.95","-4.38","0.85","10.21","0.27","3.3","0.2","0.2","0.2","0.2","0.1","0","0","0","0.1","0","0.8","1.5"
"131",="5519","隆大","12/25","29.15","0","0","2.85","34.25","1.13","13.59","1.21","1.08","1","0.6","0.6","0.5","0.4","0.95","1.35","1.8","2","2.1"
"132",="2303","聯電","12/25","50.2","+0.2","+0.4","1.78","21.34","1.11","13.33","0.5","0.41","0.5","0.55","0.57","0.5","0.71","0.59","0.8","1.6","3","3.6"
"133",="8050","廣積","12/25","78.1","-2.6","-3.22","3.73","44.7","3.12","37.4","2.99","2.93","4.52","3.33","3.49","4.03","2.51","2","2.01","1.83","2.16","5.58"
"134",="3546","宇峻","12/25","77.1","-3","-3.75","3.41","40.87","2.81","33.73","0.49","2.74","1.5","0.5","0","2.57","3.1","4.3","3.35","4.68","5","5.5"
"135",="4931","新盛力","12/25","30.7","-0.4","-1.29","-0.52","-6.28","0.54","6.48","0","0","0","0","0","0.5","0.2","1","1.7","0.89","0","2.19"
"136",="3303","岱稜","12/25","28.1","+0.1","+0.36","1.33","15.99","1.17","14","0","0.79","1.3","0.6","1.2","1.5","0.49","1.6","1.67","1.4","1.45","2"
"137",="00900","富邦特選高股息30","12/25","13.67","-0.11","-0.8","","","1.16","2.32","","","","","","","","","","","1.35","0.97"
"138",="2504","國產","12/25","28.2","+0.05","+0.18","0.8","9.55","0.6","7.25","0.2","0.2","0","0.4","0.1","0","0.5","0.25","0.3","1.5","1.8","2"
"139",="5522","遠雄","12/25","56.4","+0.4","+0.71","5.74","68.92","3.83","46.01","4.8","3.5","1.5","3.8","3.5","3.8","2.5","3","4.61","4.5","6.5","4"
"140",="5534","長虹","12/25","77.7","-0.1","-0.13","9.69","116.3","5.77","69.22","5.5","9.97","6.5","4","2.83","6","6.2","7","6.3","5","4.41","5.5"
"141",="1565","精華","12/25","191","+1.5","+0.79","26.34","316.1","19.99","239.8","15.5","17.5","22.5","23.85","23.5","27","25","26.5","18","12","15","13.5"
"142",="8424","惠普","12/25","66.6","+0.1","+0.15","4.22","50.66","3","36","1.5","0.5","1.5","2.5","2.5","3","3.5","3.8","4","4","4.5","4.7"
"143",="00770","國泰北美科技","12/25","39.76","+0.19","+0.48","","","1.47","5.89","","","","","","","","","0.76","0.38","1.95","2.8"
"144",="5508","永信建","12/25","90.5","+0.5","+0.56","5.55","66.55","4.82","57.87","1.66","10.77","10.08","6.11","2.37","1.81","2.72","2.86","1.8","3.34","8.01","6.35"
"145",="6506","雙邦","12/25","17.15","-0.05","-0.29","1.31","15.76","0.9","10.8","0.4","0.3","0.4","0.3","0.8","1.5","1","1","1.1","0.8","2","1.2"
"146",="2451","創見","12/25","80.1","+0.2","+0.25","6.1","73.26","5.79","69.45","5.5","6.5","6.7","7.8","6.8","6","6","5","4.5","3.05","6","5.6"
"147",="8083","瑞穎","12/25","146","-0.5","-0.34","8.43","101.1","7.71","92.5","3","4","5","7.5","7.8","8.5","8.5","8.8","9","10","10.2","10.2"
"148",="2433","互盛電","12/25","51.6","0","0","3.91","46.88","3.46","41.55","4.35","2.5","4","3.2","3.3","2.7","3.5","3.5","3.8","3.6","3.5","3.6"
"149",="6115","鎰勝","12/25","45.9","0","0","3.42","41.08","3.24","38.86","3.5","3.14","3.44","3.49","3.49","4","3","3","3","2.8","2.8","3.2"
"150",="4577","達航科技","12/25","23.45","-0.1","-0.42","1.78","8.92","1.26","6.31","","","","","","","","0.7","1.05","1.39","1.53","1.63"
"151",="6514","芮特-KY","12/25","50.5","+0.1","+0.2","2.73","24.53","1.9","17.08","","","","0","1.9","0.3","1.4","0.28","3","3.5","3.2","3.5"
"152",="3413","京鼎","12/25","199","-0.5","-0.25","9.22","110.7","4.62","55.46","0","0","0","1","4","4","6","7","4","6.98","8.69","13.79"
"153",="6727","亞泰金屬","12/25","57.4","-0.3","-0.52","5.77","28.83","2.69","13.47","","","","","","","","2","2","2.5","3","3.97"
"154",="4568","科際精密","12/25","55","0","0","5.54","38.78","3.96","27.72","","","","","","3.78","4.43","4.48","3.23","4","4","3.8"
"155",="6486","互動","12/25","74.6","+0.1","+0.13","5.05","45.43","4.67","42","","","","4","3","3.5","3.2","4.8","6","6","6.37","5.13"
"156",="00882","中信中國高股息","12/25","10.21","-0.02","-0.2","","","0.86","2.59","","","","","","","","","","0.68","1.21","0.7"
"157",="5220","萬達光電","12/25","26.35","-0.05","-0.19","3.05","30.51","1.92","19.2","","","0","1.5","1.2","2.5","2.6","3","1.4","3","2.2","1.8"
"158",="8070","長華*","12/25","34.35","+0.7","+2.08","8.65","103.8","5.76","69.15","0.6","3","3.1","3.5","7","10","11","16.1","8.76","1.4","2.35","2.34"
"159",="3211","順達","12/25","89.1","-9.8","-9.91","7.41","88.92","5.67","68.06","6.5","6.5","5","5","3.5","3","2.5","3.5","5","6.5","15.03","6.04"
"160",="8916","光隆","12/25","55.9","+0.9","+1.64","3.45","41.35","2.8","33.54","1","1.3","2.57","2.97","2.99","3.58","2.99","3.37","2.99","3","3","3.79"
"161",="3498","陽程","12/25","29.65","0","0","1.11","13.34","1.05","12.59","0","0.8","4.3","2.2","2.28","0.5","0.5","0","0","0","0","2"
"162",="2617","台航","12/25","32.7","-1.25","-3.68","1.7","20.43","0.99","11.87","1.5","0.8","0.8","0.65","0.22","0","0.7","1.3","0.8","0.9","2","2.2"
"163",="3711","日月光投控","12/25","131","-0.5","-0.38","8.56","51.38","4.5","26.98","","","","","","","2.5","2.5","2","4.19","7","8.79"
"164",="2484","希華","12/25","32.8","0","0","1.35","16.23","1.01","12.1","0","0","0.6","1","1.2","1.2","1","1.45","0.95","1","1.5","2.2"
"165",="1526","日馳","12/25","32.9","-0.05","-0.15","2.29","27.52","1.03","12.4","0","0","0","0","0.4","0.8","1","1","0.8","1.8","4.4","2.2"
"166",="3040","遠見","12/25","30.05","-0.1","-0.33","2.98","35.82","2.9","34.8","0.4","0.2","1","3","3","5","9","2","1.5","5.7","2","2"
"167",="6210","慶生","12/25","30.05","+0.05","+0.17","3.76","45.13","3.05","36.6","3","3","3.5","4","4","2","3.5","2.6","3","3","3","2"
"168",="6190","萬泰科","12/25","30.15","-0.15","-0.5","0.66","7.97","0.63","7.51","0.2","0","0","0","0","0.51","0.6","1","0.8","1.01","1.39","2"
"169",="1436","華友聯","12/25","77.6","+0.2","+0.26","2.64","31.72","1.73","20.79","0","0","0","1.5","0","1","2.5","2","2.5","2","4.15","5.14"
