"排名","代號","名稱","股價日期","成交","漲跌價","漲跌幅","EPS平均","EPS合計","股利平均","股利合計","2012發放年度","2013發放年度","2014發放年度","2015發放年度","2016發放年度","2017發放年度","2018發放年度","2019發放年度","2020發放年度","2021發放年度","2022發放年度","2023發放年度"
"693",="2852","第一保","12/25","18.25","+0.05","+0.27","1.56","18.78","0.68","8.16","0.2","1.5","1.1","0.38","0","0.65","0.6","0.49","0.96","0.35","1.21","0.72"
"694",="5288","豐祥-KY","12/25","179","+2","+1.13","9.01","90.12","4.56","45.56","","","3","3.5","5.01","4","4","5","5.5","4","4.5","7.06"
"695",="2439","美律","12/25","113.5","-0.5","-0.44","7.71","92.49","5.81","69.67","1.51","2","3.7","4.8","3.24","8.88","15.82","8.5","7.7","5.07","3.97","4.47"
"696",="2062","橋椿","12/25","25.4","-0.1","-0.39","2.54","30.44","1.31","15.66","2.2","2","4.5","2.68","1","1","0.3","0.3","0.1","0.08","0.5","1"
"697",="2453","凌群","12/25","55.9","-0.3","-0.53","1.15","13.8","0.92","11","0.5","0.5","0.6","0.6","0.5","0.5","0.7","0.5","1","1.5","1.9","2.2"
"698","00780B","國泰A級金融債","12/25","36.59","-0.07","-0.19","","","1.04","5.18","","","","","","","","0.43","0.85","0.84","1.62","1.44"
"699",="1702","南僑","12/25","50.9","+0.4","+0.79","3.51","42.16","2.05","24.66","0.55","1","2","2.1","2.6","2.81","2.7","2.7","2","2","2.2","2"
"700",="6843","進典","12/25","63.7","-0.1","-0.16","3.01","9.02","2.17","6.5","","","","","","","","","","2","2","2.5"
"701","00775B","新光投等債15+","12/25","34.67","-0.27","-0.77","","","1.13","5.66","","","","","","","","0.52","1.46","1.18","1.14","1.36"
"702",="5244","弘凱","12/25","38.25","+1.1","+2.96","1.65","19.81","1.03","12.4","0.5","0.6","0.3","0.1","0","0.4","1.5","1","1.5","2","3","1.5"
"703",="6624","萬年清","12/25","45.9","+0.6","+1.32","1.39","9.73","1.26","8.82","","","","","","0.55","2.25","2.22","2","0","0","1.8"
"704",="4741","泓瀚","12/25","35.7","-0.1","-0.28","3","36","2.1","25.23","1.2","1.8","1.5","4","3.98","3.5","3","1.95","1.5","0.6","0.8","1.4"
"705",="2832","台產","12/25","25.55","+0.05","+0.2","1.92","23.02","1.02","12.21","1.16","1.1","1.1","0.9","1.2","0.9","1.1","0.9","1","1.1","0.75","1"
"706","00777B","凱基AAA至A公司債","12/25","35.92","+0.04","+0.11","","","1.23","6.14","","","","","","","","0.65","1.48","1.23","1.38","1.4"
"707","5871A","中租-KY甲特","12/25","97.3","0","0","","","2.94","8.81","","","","","","","","","","1.21","3.8","3.8"
"708",="2515","中工","12/25","13.5","-0.15","-1.1","0.39","4.65","0.24","2.84","0.12","0.14","0.14","0.17","0.2","0.19","0.19","0.2","0.2","0.23","0.53","0.53"
"709",="8043","蜜望實","12/25","27.75","+0.25","+0.91","1.84","22.05","0.93","11.18","1","0.7","0.5","1","0.8","1","0.8","2.6","0.5","0.2","1","1.08"
"710",="4739","康普","12/25","77.1","-1","-1.28","2.75","33.04","1.83","21.92","1.2","0.3","0.5","1.02","1.56","2.7","3.01","3.2","1.23","1.2","3","3"
"711",="9939","宏全","12/25","123.5","+0.5","+0.41","4.8","57.55","2.98","35.75","3","3","2.5","2.2","2","2.5","2.5","2.3","3.05","3.6","4.3","4.8"
"712",="2607","榮運","12/25","32.2","-2.4","-6.94","0.95","11.4","0.41","4.9","0.3","0.3","0.3","0.35","0.35","0.35","0.35","0.35","0.3","0.3","0.4","1.25"
"713",="2227","裕日車","12/25","186","+1","+0.54","17.55","210.6","16.85","202.2","10.2","13.3","19.47","30","12.5","22","21","17.67","21.27","18.53","9.06","7.22"
"714",="2359","所羅門","12/25","38.7","-0.3","-0.77","1.33","16.01","0.73","8.8","0","0","0","1","1","1","1","1.1","0.8","0.5","0.9","1.5"
"715",="3709","鑫聯大投控","12/25","25.8","+0.3","+1.18","2.06","12.38","1.08","6.5","","","","","","","0.8","0.7","1","1.4","1.6","1"
"716",="4171","瑞基","12/25","38.75","-0.4","-1.02","1.46","16.11","0.91","10.04","","0","0","0","0","0","0","0","0","3.54","5","1.5"
"717",="1785","光洋科","12/25","38.8","-0.05","-0.13","0.93","11.12","0.82","9.87","1","1.51","0.97","0.8","0","0","0","0.4","1","1.2","1.49","1.5"
"718",="2360","致茂","12/25","207","-0.5","-0.24","5.48","65.82","3.86","46.34","2.5","2","2.5","2.61","2.37","3.22","4.48","4.18","3.01","4.5","6.98","8"
"719",="6186","新潤","12/25","57","-0.2","-0.35","2.57","30.88","1.95","23.45","0","1","3","2.5","3","2","1.5","1","3","1.25","3","2.2"
"720",="6823","濾能","12/25","64.8","-2.2","-3.28","5.94","17.82","1.68","5.03","","","","","","","","","","0.5","2.03","2.5"
"721",="6170","統振","12/25","54.5","-1","-1.8","0.73","8.02","0.68","7.47","0.63","0","0","0.29","0.43","0.12","","0","0.9","1.4","1.6","2.1"
"722","00791B","復華信用債1-5","12/25","54.4","-0.15","-0.27","","","2.09","10.43","","","","","","","","1.36","2.55","2.28","2.15","2.09"
"723",="6197","佳必琪","12/25","83.2","-0.3","-0.36","2.03","24.31","1.93","23.2","0","0.8","1.2","2.23","2","1.2","1.68","2","3","2.9","3","3.2"
"724",="2897","王道銀行","12/25","9.88","+0.03","+0.3","0.6","7.17","0.29","3.53","0.2","0.2","0.2","0.4","0.5","0.45","0.3","0","0.4","0.2","0.3","0.38"
"725",="1582","信錦","12/25","78","-0.6","-0.76","5.19","62.23","4.52","54.19","3","3.94","3.5","4.5","4.5","5.45","5","6.5","4.5","5","5.3","3"
"726","00836B","永豐10年A公司債","12/25","31.55","-0.11","-0.35","","","1.34","6.7","","","","","","","","0.82","2.04","1.32","1.31","1.21"
"727",="3532","台勝科","12/25","190","+2","+1.06","3.49","41.91","2.45","29.42","0","0.1","0.3","1","1.1","0.67","2.08","9","3.5","2.15","2.22","7.3"
"728",="3596","智易","12/25","169.5","-2.5","-1.45","5.52","66.2","3.52","42.21","1.5","1","2.1","2.2","1.6","3.9","2","3.5","4.7","6.5","6.71","6.5"
"729",="1720","生達","12/25","65.2","+0.1","+0.15","2.37","28.45","1.67","20.06","1","1.16","2.5","1","1.5","1.5","1.6","1.5","1.5","1.8","2.5","2.5"
